id,question,A,B,C,D,answer
59,甲客户与乙银行签订借款合同，借款金额为10万元，借款期限为1年，由丙客户作为借款保证人。合同签订3个月后，甲客户因扩大生产规模急需资金，经与乙银行协商，将贷款金额增加到15万元，甲客户和乙银行通知了丙客户，丙客户未予答复，后甲客户到期不能偿还债务。该案处理结果是（）。,因为丙对于甲和乙的通知未予答复，视为默认，丙客户应承担15万元的保证责任,因为保证合同因甲、乙变更了合同的数额条款而致保证合同无效，丙客户不再承担保证责任,丙客户对10万元应承担保证责任，增加的5万元不承担保证责任,因为甲与乙变更借款合同条款未得到丙的同意，丙客户不再承担保证责任,C
60,甲乙两人在某银行从事柜台业务，乙为会计主管，工作中两人关系密切、无话不谈，下列两人对密码管理的做法正确的是（）。,两人密码互相知悉,各自定期或不定期更换密码并严格保密,需要业务授权时，甲输入乙的密码进行授权,乙用甲的密码为客户办理业务,B
61,监管部门进行现场检查工作时，规范的现场检查包括检查准备、()五个阶段。,检查处理、检查报告、检查实施、检查档案整理,检查档案整理、检查处理、检查报告、检查实施,检查实施、检查报告、检查处理、检查档案整理,检查报告、检查处理、检查档案整理、检查实施,C
62,借款人无法足额偿还贷款本息，即使执行担保，也肯定要发生一定的损失，这类贷款属于（）。,关注类贷款,可疑类贷款,次级类贷款,正常类贷款,B
63,金融机构及其从业人员在参与市场竞争时，下列做法中符合职业操守要求的是()。,低价销售,丰富金融服务的种类、提高质量及效率,贬低对手,夸张宣传,B
64,金融市场发展对商业银行的促进作用不包括()。,能够在很多方面直接促进商业银行的业务发展和经营管理,银行上市发行股票，其股票和债券的价格会影响商业银行的经营管理，尤其是可能导致银行经营管理者的短期行为,为商业银行的客户评价及风险提供了参考标准,货币市场和资本市场能为商业银行提供大量的风险管理工具，在市场上通过正常的交易来转移风险,B
65,经贷款人同意，个人贷款可以展期。一年以内（含）的个人贷款，展期期限累计不得超过原贷款期限；一年以上的个人贷款，展期期限累计与原贷款期限相加，不得超过（）。,原贷款期限,展期期限,该贷款品种规定的最长贷款期限,贷款银行根据借款人实际还款能力确定的贷款期限,C
66,经济资本计量不包括()的计量。,经济资本供给量,经济资本需求量,经济资本缓冲量,经济资本损失量,D
67,客户将100000元存入银行，5年期定期利率是4.5%，5年后到期本息合计应为()元。(答案取近似数值),120000,124618,128884,122500,D
68,客户经理制是一种()的业务组织架构。,以产品、市场和客户为中心,以产品为导向,以方便银行为目标,以市场和客户为中心,D
69,理财资金投资非标准化资产的余额在任何时点均以理财产品余额的____与商业银行上一年度审计报告披露总资产的____之间孰低者为上限。（）,35%；4%,30%；4%,35%；5%,30%；5%,A
70,历史成本法坚持（），即要把成本平均摊派到与其相关的创造收入的会计期间，从而无法反映特殊情况下资产负债的变化。,匹配原则,审慎原则,及时原则,真实原则,A
71,临时性贷款的期限一般不超过()。,12个月,6个月,3个月,1个月,
72,某非政府的民间金融组织确定的利率属于()。,市场利率,公定利率,官方利率,法定利率,
73,某公司以其商标权担保，向银行贷款1000万元。这种担保属于（ ）。,动产质押,不动产抵押,权利质押,动产抵押,
74,某基金为了应对投资者随时可能的赎回，而必须持有一定量现金，则该基金属于()。,开放式基金,公募基金,国际基金,成长型基金,
75,某企业向银行申请短期季节性融资，银行经借款需求分析，发现该企业比以往季节性融资时所持现金少很多，原因是该企业新近购买了一台长期设备，此时银行应向企业提供（）。,短期贷款,长期贷款,固定资产贷款,长、短期贷款相结合的贷款,
76,某商业银行的贷款业务发生呆账贷款，经审核批准核销后，应首先（）,冲减贷款呆账准备金,冲减税后利润,增加贷款呆账准备金,冲减税前利润,
77,某商业银行由于违规销售某款理财产品导致客户的投资损失，其他客户对其在改银行购买理财产品的安全性产生了担心，该风险是()。,市场风险,法律风险,声誉风险,战略风险,
78,某商业银行资本充足率为11.8%，核心资本充足率为6%，根据资本充足的情况，该商业银行属于（）。,资本充足的商业银行,资本不足的商业银行,资本严重不足的商业银行,资本太过充足的商业银行,
79,目前在我国商业银行客户信用评级中运用较广泛的分析方法是（）。,定量分析法,专家分析法,内部定性分析法,外部定量分析法,
80,票据承兑业务一般归于()。,现金业务,储蓄业务,信贷业务,理财业务,
81,企业年金不仅仅要由企业和职工个人共同缴纳，而且缴纳金额也有一定限制，某企业上年度职工工资总额为600万元，则根据我国劳动和社会保障部颁发的《企业年金试行办法》规定，企业和职工个人缴费合计不超过（）万元。,125,100,150,170,
82,前进机械厂购买批设备急需资金500万元，向甲商业银行申请贷款，并请市第三人民医院提供保证，按照法律规定，该医院()。,可以担保,不能担保,银行同意即可担保,如有足够清偿能力即可,
83,如果不能及时还清当期信用卡应付款总额的话，信用卡金融机构一般对全部消费款从消费发生日起收取()的利息,百分之五,千分之五,万分之五,万分之一,
84,丧失一个或多个客户，而这些客户财力雄厚或关系到企业生产能力的某一客户的订货变化无常等因素是属于（）。,有关财务状况的预警信号,有关经营状况的信号,有关市场状况的信号,有关经营者的信号,
85,商业银行董事会应下设审计委员会，其负责人原则上应由（）担任。,职工监事,独立董事,审计人员,董事长,
86,商业银行发行的信用卡按照发卡对象的不同可以分为()。,个人卡和单位卡,商务差旅卡和商务采购卡,贷记卡和准贷记卡,转账卡、专用卡和储值卡,
87,商业银行销售风险评级为（）级（含）以上理财产品时，除非与客户书面约定，否则应当在商业银行网点进行。,五,四,三,二,
88,商业银行应根据设定的控制目标，全面系统持续地收集相关信息，结合实际情况，及时进行（）。,风险防范,风险评估,风险管理,风险预测,
89,商业银行应向理财产品投资人充分披露投资非标准化债权资产情况的内容不包括（）。,剩余融资期限,到期收益分配,交易结构,融资份额,
90,商业银行在不良资产处置中应综合考虑不良资产类型、债务关联人偿债意愿和偿还能力、市场需求、处置时限、资产实际情况等因素。下列不属于常用的不良资产处置方式的是（）。,债务减免,长期挂账,呆账核销,批量转让,
91,食品业和公用事业属于()。,增长型行业,周期型行业,衰退型行业,防守型行业,
92,市净率的计算公式()。,市净率=股票价格(P)/每股收益(E),市净率=净利润/期末总股本,市净率=每股市价(P)/每股净资产,市净率=净利润/资本净额,
93,"售后回租业务是指承租人将自有物件出卖给出租人，同时与出租人签订融资租赁合同,再将该物件从()处租回的融资租赁形式。",保管人,使用人,承租人,出租人3,
94,授信额度是指银行在客户授信限额以内，根据客户的授信需求、还款能力和银行的客户政策最终决定给予客户的（）。,最高授信额度,平均授信额度,最低授信额度,授信总额,
95,诉前财产保全是指债权银行因情况紧急，不立即申请财产保全将会使其合法权益受到难以弥补的损失，因而在起诉前向()申请采取财产保全措施。,人民法院,当地银监会,银行总行,当地人民银行,
96,损益表分析中，计算企业净利润的步骤应为()。,收入→利润总额→毛利润→净利润,毛利润→营业利润→利润总额→净利润,营业利润→毛利润→利润总额→净利润,营业利润→利润总额→毛利润→净利润,
97,替代品价格越()、用户转换成本越()，其所能产生的竞争压力就越强。,低，低,低，高,高，低,高，高,
98,通过()，理财师可以掌握客户目前所处的阶段，进而掌握客户的收入状况和风险承受能力，估测客户的保费负担能力。,客户的健康状况,客户的财产状况,生命周期,理财能力,
99,同业拆借应遵守相互自愿、恪守信用的原则，利率和期限均由拆借双方在协商一致的基础上签订合同确定，但期限最长不得超过（）个月。,1,2,3,4,
100,我国商业银行最主要的资产是()。,现金资产,贷款资产,证券资产,固定资产,
101,下列()属于借款人挪用贷款的情况。,用流动资金贷款购买辅助材料,外借母公司进行房地产投资,用流动资金贷款支付货款,用中长期贷款购买机器设备,
102,下列不属于合规管理的重点内容的是()。,建设强有力的合规文化,建立符合政策法规的合规目标,建立有利于合规风险管理的基本制度,建立有效的合规风险管理体系,
103,下列不属于判断借款申请人购车行为真实性的方法是（）。,调查所购汽车的新旧程度,调查二手车的交易双方是否有亲属关系,调查所购买汽车价格与本地区价格是否差异很大,调查借款申请人对所购汽车的了解程度,
104,下列不属于商品期货的标的商品是( ),大豆,利率期货,原油,钢材,
105,下列不属于商业银行托管业务范围的是()。,信托资产托管,自营买卖基金托管,代保管业务,社保基金托管,
106,下列不属于中间业务的是（）。,即期外汇交易,国内贸易融资,远期外汇交易,利率互换,
107,下列对单位外汇存款操作表述正确的是（）。,境内机构经常项目外汇账户的限额统一采用人民币核定,单位资本项目外汇账户不包括还贷账户,境内机构原则上只能开立一个经常项目外汇账户,境内机构原则上可以开立多个经常项目外汇账户,
108,下列符合金融创新原则的是()。,银行在创新过程中对不涉及商业秘密、不影响知识产权的部分进行充分披露,银行在创新过程中坚持信息保密的原则，不披露任何信息,银行在开展金融创新的过程中进行低价倾销、恶性竞争,银行在创新过程中以银行自身利益为中心,
109,下列各项中，不属于银行贷款重组方式的是()。,调整利率,变更担保条件,调整还款期限,资本转为债务,
110,下列关于《个人信用信息基础数据暂行管理办法》的说法，错误的是（）。,明确个人信用数据库是中国人民银行组织商业银行建立的全国统一的个人信用信息共享平台,规定了个人信用信息保密原则,规定了个人信用数据库采集个人信用信息的范围和方式,规定商业银行和征信服务中心在采集信息时应结合自身的主观判断,
111,下列关于低经营杠杆企业的说法，正确的有()。,固定成本占有较大的比例,规模经济效应明显,当市场竞争激烈时更容易被淘汰,对销售量比较敏感,
112,下列关于电子式储蓄国债，说法错误的是()。,电子式储蓄国债是财政部在境内发行的，以电子方式记录债权的可流通人民币债券,电子式储蓄国债是面向境内个人投资者发售的,相较凭证式国债，电子式储蓄国债在便携性方面有很大提高,电子式储蓄国债需要投资者开立个人国债托管账户，并指定对应的资金账户,
113,下列关于风险调整后资本回报率说法不正确的是()。,风险调整后资本回报率是银行进行价值管理的核心指标,风险调整后资本回报率只考虑了预期损失，真实的反映了收益水平，在银行实际收益与所承担的风险之间建立了直接联系,风险调整后资本回报率在银行盈利能力分析中应用日益广泛,风险调整后资本回报率=【(总收入-资金成本-经营成本-风险成本-税项)/经济资本】×100%,
114,下列关于风险监管的说法，不正确的是（）。,监管部门所关注的风险状况包括行业整体风险状况、区域风险状况和银行机构自身的风险状况,银行监管部门通过现场检查和非现场监管等手段，对银行机构风险状况进行全面评估和监控,按照诱发风险的原因，通常可将风险分为信用风险、市场风险、操作风险、流动性风险、国家风险、声誉风险、法律风险以及战略风险八大类,应将监管的重心转移到银行风险管理和外部控制质量的评估上,
115,下列关于个人贷款对象的表述，正确的是（）。,个人贷款的对象仅限于我国公民,个人贷款的对象不能是企业的法定代表人,个人贷款的对象可以是自然人，也可以是法人,个人贷款的对象可以是个体工商户,
116,下列关于个人住房组合贷款的表述，正确的是（）。,商业性贷款与公积金贷款的组合,房屋购置贷款与房屋装修贷款的组合,公积金贷款与个人委托贷款的组合,一手房贷款与二手房贷款的组合,
117,下列关于合同有效性风险中，未履行法定提示义务的说法，错误的是（）。,商业银行作为格式条款的提供方，应当遵循公平原则确定当事人之间的权利和义务,提请借款人注意可在借款合同签订后作出,商业银行应采取合理的方式提示对方注意免除或者减轻其责任等与对方有重大利害关系的条款,法律对“合理的方式提示”并没有明确要求,
118,下列关于混合类理财产品的特点，说法错误的是（）。,通过组合投资，可以进一步分散投资风险，避免某一大类资产配置过于集中的单一市场风险,赋予产品发行主体较大的主动投资管理权限,混合类理财产品不能同时可享受跨市场的投资收益,混合类理财产品在大类资产配置上可进可退，灵活度更大,
119,下列关于计算VAR的方差——协方差法的说法，不正确的是()。,假定投资组合中各种风险因素的变化通常为正态分布,是所有计算VaR的方法中最简单的,反映了高阶非线性特征,反映了风险因素对整个组合的一阶线性和二阶线性影响,
120,下列关于金融资产管理公司监管指标的说法错误的是（）。,法人单一客户业务集中度不高于10%,法人拨备覆盖率不低于150%,法人杠杆率不低于6%,集团合并杠杆率不低于6%,
121,下列关于商业银行对信用风险限额的管理说法错误的是（）,信用风险限额的管理包括结算前信用风险限额和结算信用风险限额,结算前信用风险限额根据交易对手的信用状况计算,结算信用风险限额根据交易工具的实际结算方式计算,结算前信用风险限额根据交易工具的实际结算方式计算,
122,下列关于商业银行和客户在理财顾问服务中的角色的说法中，正确的是()。,商业银行提出建议并做出决策，客户不参与,商业银行只提出建议，最终决策权在客户,客户提出建议并做出决策，商业银行不参与,客户只提出建议，最终决策权在商业银行,
123,下列关于商业银行进行信贷分析的说法中，错误的是()。,银行信贷分析主要采用财务分析和非财务分析两种方法,财务分析偏重于定量分析,非财务分析偏重于定性分析,财务分析主要包括宏观分析、行业分析、经营分析、管理层分析等,
124,下列关于商业银行整存整取定期存款的表述，正确的是（  ）。,期限越长，利率越低,期限越长，利率越高,利率高低与期限长短无关,相同期限，本金越多，利率越低,
125,下列关于行业内竞争程度的说法，正确的是（）。,低经营杠杆增加竞争,具有行业分散特征的行业竞争程度较低,市场成长越迅速，竞争程度越大,退出市场的成本越高，竞争程度越大,
126,下列关于债券违约风险的说法，不正确的是()。,违约风险又称信用风险，是债券发行者不能按照约定的期限和金额偿还本金和支付利息的风险,违约风险一般是由于发行者经营状况不佳、财务状况恶化或信誉不高带来的风险,不同发行者发行的债券违约风险不同,一般来说，国债的违约风险高于公司债券,
127,下列关于中央银行说法错误的是()。,中央银行对法定货币发行权的垄断，决定了最后贷款人功能应该也必须由中行银行来承担,中央银行的营利性和独立性确保了最后贷款人负担的是宏观经济责任而不是微观经济责任,中央银行拥有在贴现、公开市场业务等货币政策工具，能够在流动性缺乏时通过不同的操作方式给予支持,作为银行的银行，中央银行更加易于通过组织其他银行给那些处于困难之中的银行提供协调贷款等方式给予流动性支持,
128,下列机构从业人员中，不属于《银行业从业人员职业操守》必须遵守的内容是（）。,村镇银行工作人员,保险公司工作人员,政策性银行工作人员,农村信用社工作人员,
129,下列事项中，商业银行应予以披露的公司治理信息是（  ）。,风险计量模型建模情况,员工学历结构,基层员工培训情况,独立董事工作情况,
130,下列属于流动性资产的是（）。,债券投资,小额消费信贷,基金投资,活期存款,
131,下列属于商业银行承诺业务的是()。,备用信用证,银行保函,项目贷款承诺,不可撤销信用证,
132,下列行为没有破坏金融管理秩序的是()。,银行工作人员为不符合条件的社会公益组织出具资信证明,银行根据客户的指示，运用客户资金进行债券投资,收买他人信用卡信息资料,某公司根据自身资金需要，吸收社会公众存款,
133,下列选项中，不会引起短期现金需求的是（ ）。,季节性营运资本投资增长,短期的应收账款周转率下降,短期的存货周转率下降,重置部分固定资产,
134,下列选项中，不属于公司的非预期性支出的是（ ）。,法律诉讼费,保险之外的损失,解雇员工产生的费用,原材料采购款,
135,下列选项中，公司发放红利不是合理的借款需求原因的是()。,红利必须发放，但是公司股息发放的压力很大,公司的营运现金流不能满足偿还债务、资本支出和预期红利发放的需要,定期支付红利的公司发展速度无法满足红利支付水平,公司的投资者不愿在经营状况不好时削减红利，股息发放的压力很大,
136,下列选项中，属于商业银行贷款类文件的有（）,企业法人执照,已正式签署的合营合同,借贷双方已正式签署的借款合同,已正式签署的建设合同,
137,下列选项中，通常不用于反映银行经营安全性指标的是（  ）。,资本充足率,存贷比,不良贷款率,拨贷比,
138,下列选项中不属于有利于商业银行合规风险管理基本制度的是（  ）。,合规问责制度,合规绩效考核制度,诚信举报制度,公平竞争制度,
139,下列银行业务中，在申办时不需进行资信审查的是()。,个人生产经营贷款,住房按揭,借记卡,信用卡,
140,下列有关商业银行个人理财业务报告管理的有关问题，说法错误的是（）。,商业银行发售理财计划法实行审批制,商业银行应由主管个人理财业务的高级管理人员对理财计划的报告材料进行审核批准后，报送银监会或其派出机构,商业银行报告的材料不齐全或者不符合形式要求的，应按照银监会或其派出机构的要求进行补充报送或调整后重新报送,商业银行应在理财计划销售文件和宣传材料中提供全面、完整的理财计划相关信息，进行充分的销售前信息披露,
141,下列有关银行同业买入返售（卖出回购）业务的说法，错误的是（）。,该业务项下的金融资产应当为银行承兑汇票、债券、央票等金融资产,卖出回购方不得将业务项下的金融资产从资产负债表转出,买入返售（卖出回购）相关款项在买入返售（卖出回购）金融资产会计科目核算,三方或以上交易对手之间的类似交易应纳入买入返售或卖出回购业务管理和核算,
142,下列资产中，无法使用市场价值法确定价值的是（）。,股票,外汇,期货,贷款,
143,现代管理学认为，组织架构是由工作任务、工作流程、汇报关系和()所组成的一个系统。,交流渠道,投诉管理,风险管理,财务管理,
144,限制人身自由的行政法规，只能由（）规定。,行政法规,地方性法规,刑法,法律,
145,小王是某银行的理财经理，目前该行新推出了一款非保本浮动收益理财产品。在此之前该行有一款与之类似的产品年回报率已实现5%，于是小王向客户介绍:“该产品是一款投资理财产品，预期收益大约为5%。”下列对该行为表述正确的是（  ）。,小王的介绍突出了该产品的优势，且进行了有效的风险提示，客户更容易接受,小王的介绍透露了银行产品的内部信息，违反了商业保密原则,小王绍简明扼要，抓住了产品的特点，值得借鉴,历史不能代表未来，小王的推荐容易误导客户，违反了销售人员应客观、真实地向客人介绍银行产品和服务的原则,
146,薪酬中的()会给退休规划提供更多收入保障，如延期收入中的福利部分如企业年金、社会保险等可以为客户提供一部分退休金，是退休生活的收入来源之一。,当期收入,福利,津贴,延期收入,
