id,question,A,B,C,D,answer
17,在失能老人收益影响商业保险中，被商业保险入除开全残时得到保障金外还能根据缴納颜外保险费用的方法得到其补充权益，反映在补充权益的条文包含（）等。,一部分存活保障金给付条文,不能抗辩条文,通胀条文,一同同呼吸共命运条文,A
18,单身期的理财优先顺序是（）。,职业规划，现金规划，投资规划，大额消费规划,现金规划，职业规划，投资规划，大颤消费规划,投资规划，职业规划，现金规划，大额消费规划,大颜消费规划，职业规划，现金规划，投资规划，,A
19,某股份公司从2002年1月1日起对期末存货采用成本与可变现净现值孰低计价，成本与可变现净值采用单项比较法。该公司2002年6月30日，甲，乙，丙三种存货的成本分别是10万元，20万元，30万元，甲，乙，丙三种存货的可变现净值分别是8万元，22万元，5万元。该公司当年6月30日资产负债表中反映的存货净额是（）。,60万元,53万元,55万元,62万元,B
20,下列各项中，不属于筹资活动现金流量的是（）。,银行存款利息收入收到的现金,吸收权益性投资收到的现金,发行债券收到的现金,从银行借款收到的现金,A
21,下列属于非居民纳税人的自然人有（）。,在中国境内有住所，但目前未居住,在中国境内无住所,在中国境内无住所，但居住时间满1个纳税年度,在中国境内无住所且不居住，但有来源于中国境内所得,D
22,依据个人所得税法规定，对个人转让有价证券取得的所得，应属（）征税项目。,偶然所得,财产转让所得,股息红利所得,特权使用费所得,B
23,下列各项中，属于劳务报酬所得的有（）。,发表论文取得的报酬,提供著作权的使用权取得的报酬,将外国小说翻译出版取得的报酬,受托从事文字翻译取得的报酬,D
24,某人某年取得特许权使用费两次，一次收入为3000元，另一次收入为4500元。该人两次特许权使用费所得应纳的个人所得税为（）。,1160,1200,1340,1500,A
25,某人购买了10万元的终身寿险。在保险期间，不幸被一辆汽车撞死。按照有关法律规定，肇事司机应该赔偿其家属5万元。事后该被保险人的丈夫持单向保险公司索赔，保险公司对该案件的处理方式是（）。,赔偿10万元,先赔偿10万元，然后再向肇事司机追偿5万元赔款,赔偿5万元,不赔，因为不属于保险责任,A
26,在投保时，那些有较大风险的投保人试图以平均的保险费率购买保险的行为称为（）。,道德危险,心理风险,逆选择,承保风险,C
27,管理伦理要求企业管理者在追求企业自身利益的同时必须考虑社会效益。企业在经营过程中应该承担社会责任，尊重消费者的权益。（）,对,错,,,A
28,保险代理人对投保人诚实守信，要求做到（）：I、如实介绍保险公司的业务情况、险种、保险条款内容及涵义；II、不做夸张宣传III、不隐瞒对投保人有利的条款解释IV、不因私利而刁难被保险人。,I、II、III、,II、III、IV、,I、II、IV、,I、II、III、IV、,D
29,行政伦理以效率为目标，以下是行政伦理提高行政效率的举措的是（）：I、监管人内职能权限的合理划分：II、做出合理的决策，减少不必要的监管III、增加工作流程，缩短工作时间。,I、II、,I、II、III、,I、III、,II、III、,A
30,李莉虽然是甲寿险公司的代理人，但在客观公正的前提下，她可以向刘菲介绍其他寿险公司的产品，以便进行产品比较。（）,对,错,,,A
31,银行代理乙保险公司的投资连结产品业务，李莉为了争取陈扬代理甲寿险公司的新型寿险产品，就告诉陈扬乙保险公司的产品不如甲寿险公司的产品，并诋毁乙寿险公司。李莉违反了基本行为规范中的“公平竞争”规范。（）,对,错,,,A
32,职业道德建设的落脚点是使每个从业人员成为自觉的道德主体。（）,对,错,,,A
33,关于道德与法律关系的陈述，错误的是（）。,道德规范表现为一种抽象的原测与信念，法律规范测有明确、具体的行为模式和行为后果,道德与法律调整的对象与范围不同,道德与法律的评价标准完全相同,法律是传播道德的有效手段，道德是法律的有益补充,C
34,以下有关保险管理人员工作职责的陈述，正确的有（）：I、保险管理人员需要承担一部分下属的责任，为下属的工作考虑：II、保险管理人员被赋予制度化的权利，使其能够调度、指挥他人的工作活动，并拥有判断他人工作成果及奖惩的职权；III、保险管理人员在职务上必须保证公司的利益，并以社会利益为最终价值目标和考量，需要忽略自身价值的实现目标，IV、管理人员以完成既定管理目标为基本责任，通过管理工作来增强组织的实力，保持公司持续的发展。,II、III、IV、,I、II、IV、,I、II、III、IV、,I、II、III、,B
35,目前，社会上存在唯利是图、损公肥私、损人利已、以权谋私、挥霍浪费等腐败的管理失序现象。以下有助于解决这些失序问题的措施有（）：I、进一步健全制度II、加强监督III、完善管理IV、管理人员加强伦理道德识的学习，提高自身修养。,III、IV、,I、II、IV、,I、II、III、IV、,I、II、III、,C
36,保险销售人员为了具备专业能力，自觉学习保险识、保险产品和条款，了解消费者心理、消费者行为以及各种影响因素，这些努力体现了保险销售人员专业服务的职业道德。（）,对,错,,,A
37,保险代理人除了在执业前取得法定资格之外，以下体现了保险专业代理人“专业胜任”规范的是（）：I、在实践过程中有意识地检验自己的知识水平和结构，做出合乎实际的自我评价，发扬优点，改正错误II、参加中国人身保险从业人员资格考试项目，努力取得各类资格III、参加北京某大学的保险专业硕士研究生在职学习IV、在与客户见面时主动出示相关执业证件。,III、IV、,I、II、IV、,I、II、III、IV、,I、II、III、,D
38,保险经纪人代表投保人完成投保后，应当按照委托合同的约定，跟踪客户需求的变化，做好后续工作。包括（）：I、在保险期届满之前及时通知客户续保，并按照客户要求办理续保事宜II、如果客户提出退保，应提醒客户注意保单中有关退保的条款、退保可能引致的财务损失以及退保后所面临的保单保障范围内的风险III、如果客户决定退保，应按照客户的要求为其办理有关事项IV、如果客户提出更换保险公司，应为客户做好退保和投保之间的衔接事宜。,II、III、IV、,I、III、IV、,I、II、III、IV、,I、II、III、,C
39,以下（）不属于行政伦理在保险监管中的作用。,保证保险监督管理机关正确行使其行政权力,促使保险公司提高经营管理效率,提升监管人员的职业素质与职业道德,维护保单持有人合法权益的有力保证,B
40,提高核保理赔的工作效率，要求核保理赔人员做到（）：I、减少不必要的时间拖延II、减少不必要的评估和检查III、减少过多的技术要求IV、减少对合同的审核。,I、II、III、,I、II、III、IV、,I、III、IV、,II、III、IV、,A
41,以下关于企业价值观特征的说法，不正确的是（）。,企业价值观是自发产生的,企业价值观是企业所有员工或大多数员工共同特有的精神品格,企业价值观是企业文化的核心,企业价值观对企业员工具有持久的精神支撑力,A
42,以下关于保险企业社会责任的说法，不正确的是（）。,保险企业社会责任由经济责任、法律责任、伦理责任和慈善责任构成,保险企业要生存和发展必须履行经济责任和法律责任,伦理责任与慈善责任是更高层次的责任，对保险企业具有法律约束力,承担社会责任有利于保险企业培养员工共同的价值观和归属感,C
43,（）是社会公德中一个最普遍、最重要的要求，是职业道德规范的基础。,诚实守信,爱岗敬业,服务群众,办事公道,B
44,根据《保险代理机构管理规定》有资格参加保险代理从业人员资格考试的人员，应当具有的文化程度是（）。,初中以上,高中以上,大专以上,大学本科以上,A
45,根据我国反不正当竞争法的规定，因调查被侵害合法权益的经营者所支付的合理费用应由（）。,被侵害的经营者承担,侵权人承担,监督检查门承担,相关的行业协会承担,B
46,根据我国反不正当竞争法的规定，经营者销售或者购买商品时，可以以明示的方式给中间人佣金，接受佣金的经营者对佣金采取的方式应当是（）。,帐外挂帐,如实上缴,直接坐支,如实入帐,D
47,如果在代理合同或所属机构的授权中，不包括理赔查勘事宜，保险代理从业人员进行了此项代理业务，则视其为（）。,违法代理,委托代理,越权代理,表见代理,C
48,我国对从事保险代理业务人的文化程度的最低要求是（）。,高中,大学本科,初中,高职,C
49,在普通医疗保险中，由于医疗费用和检查费用的支出控制有一定的难度，因此大都规定有限制性条款。该保单最常见的限制性条款有（）。,免赔额条款和比例给付条款,免赔额条款和年龄误告条款,现金价值条款和比例给付条款,现金价值条款和年龄误告条款,A
50,在意外伤害保险中，订立失踪条款或关于失踪的特别约定的目的是（）。,界定因一般原因失踪的保险责任,界定因意外伤害失踪的保险责任,界定因意外伤害死亡的保险责任,界定因意外伤害残废的保险责任,B
51,在许多万能保险中，保险人通常规定收取较高的首年退保费用，其直接目的是（）。,保持保单永不退保,避免保单过早终止,维护保单持有人的利益,稳定保险人的解约收益,B
52,年金保险费由投保人一次全缴清后，于约定时间开始，按期由年金受领人领取年金的年金保险称为（）。,定额年金,变额年金,期缴年金,趸缴年金,D
53,在人寿保险定价方法中，积累公式法又称为（）。,负债份颜定价法,资产份额定价法,权益份额定价法,支出份额定价法,B
54,在我国，依照以死亡为给付保险金条件的合同所签发的保单，要进行转让或者质押，必须征得书面同意的人是（）。,保险人,投保人,受益人,被保险人,D
55,不属于责任保险的赔偿限额的基本类型有（）。,每次责任事故的人身伤害保险金额,每次责任事故的财产损失赔偿限额,累计的人身伤害赔偿限额,每次责任事故的财产损失和人身伤害合并赔偿限颜,C
56,在雇主责任保险中，保险人承保雇员应承担的经济赔偿责任。引起这些赔偿责任的原因是（）等。,意外事故和职业病,自然灾害和意外事故,战争行为和雇主迫害,重大过失和职业病,A
57,由于采取不同运输工具的货物运输途程的不固定性，因此确定货物运输保险的保险责任期限的主要依据是（）。,一年定期制,仓至仓条款,一年内短期制,一年以上长期制,B
58,我国机动车辆保险中，对于实行事故累进免赔的保险公司，一般当保险车辆发生第二次保险事故时，保险公司将实行的免赔规定是（）。,在事故责任免赔率的基础上实行5%的绝对免赔率,在事故责任免赔率的基础上实行10%的绝对免赔率,在事故责任免赔率的基础上实行15%的绝对免赔率,在事故责任免赔率的基础上实行20%的绝对免赔率,B
59,根据《保险销售从业人员监管办法》，资格证书由持有人保管，保险公司及其他组织和个人以任何理由扣留资格证书的，保监会将给予（），并依法处以罚款。,警告,公示,通报,教育,C
60,在火箭发射中，如果因发射当天遇到恶劣的天气导致火箭发射失败，那么，引起火箭发射失败的风险因素是（）。,火箭设计没有达到技术要求,操作人员操作失误,发射当天遇到的恶劣的天气,火箭坠毁损失,C
61,在海上保险实务中，投保人或被保险人保证保险船舶必须有适航能力，这类保证形式一般属于（）。,确认保证,承诺保证,明示保证,默示保证,D
62,在责任保险中，以损失发生的时间作为承保基础确定保险责任事故有效期间的方法是（）。,期内发生式,期内索赔式,期满发生式,期满索赔式,A
63,王某，男35岁，现投保5年期定期寿险一份，保险金额为10万元，假设死亡给付发生在期末，利率为2%，35岁那年的死亡率为0.001，则王某35岁那年的自然保费是（）。,96元,98元,100元,102元,C
64,在从事自身业务的同时，根据保险人的委托，向保险人收取保险代理手续费，在保险人授权的范围内代办保险业务的单位，被称为（）。,保险兼业代理机构,专业保险代理机构,综合保险代理机构,个人保险代理机构,A
65,保险合同中被保险人为了享有保险合同约定的赔偿或给付保险金权利，投保人必须支付相应的保险费，这个特征说明保险合同属于（）。,单务合同,有偿合同,附和合同,诚信合同,B
66,在解释合同时，对保险合同中使用的专业术语应按本行业的通用含义解释，这种解释是（）。,文义解释,意图解释,补充解释,立法解释,A
67,在分红保险中，定价的精算假设一般比较保守，就死亡率因素来看，“保守”表现为（）。,增大预定死亡率,减小预定死亡率,增大实际死亡率,减小实际死亡率,A
68,社会公德是指适用于社会公共领域中的道德规范或者道德要求，其突出的特点是（）。,具有社会强制性质,具有社会公共性质,具有社会自律性质,具有社会自愿性质,B
69,根据我国消费者权益保护法的规定，如果经营者提供的商品存在缺陷时，其应当承担的责任是（）。,行政责任,民事责任,刑事责任,合同责任,B
70,在风险管理中，风险识别是指（）。,对企业、家庭或者个人面临的和潜在的风险加以判断、归类和对风险性质进行鉴定,对企业、家庭或者个人已经发生的风险加以判断、归类和对风险性质进行鉴定,价值进行合理的估,对损害物品的,A
71,投资连结保险的交费机制有两种，其中一种方式是取消了交费期间、交费频率、交费数额的概念，投保人可随时支付任意数额（有最低数额的限制）的保险费，并按约定的计算方法进入投资帐户，对保险人而言，这种方式的特点（）。,降低了保险人对保费支付的可控性和可预测性,增加了保险人对保费支付的可控性和可预测性,降低了保险人对保费支付的不可控性和不可预测性,增加了保险人对保费支付的不可控性和不可预测性,
72,某定期生存保险的被保险人在领取生存保险金时，保险人发现其投保年龄小于实际年龄，按照我国保险法有关规定，保险人通常运用的正确处理方法是（）。,增加保险金给付额,减少保险金给付额,退还多收保险费,收取少交保险费,
73,我国现行的保险销售从业人员最基本的行为规范是（）。,《保险保险销售从业人员资格证书》,《保险销售从业人员执业证书》,《保险保险销售从业人员执业行为守则》,《保险代理从业人员职业道德指引》,
74,根据我国反不正当竞争法的规定，经营者假冒他人的注册商标，将受到相应的处罚，其处罚依据是（）。,《中华人民共和国商标法》《中华人民共和国合同法》的规定,《中华人民共和国民法通则》《中华人民共和国产品质量法》的规定,《中华人民共和国经济法》《中华人民共和国产品质量法》的规定,《中华人民共和国商标法》《中华人民共和国产品质量法》的规定,
75,我国保险销售从业人员资格考试的统一组织者是（）。,电大系统,行业协会,国家人事部,中国保监会,
76,在万能保险中，保单可以收取的费用的种类包括（）等.,初始费用、风险保费、保单管理费、手续费和退保费用,初始费用、储蓄保费、保单管理费、手续费和退保费用,初始费用、财务费用、保单管理费、手续费和退保费用,初始费用、保障基金、保单管理费、手续费和退保费用,
77,在人身意外伤害保险费率厘定过程中，保险金额损失率的作用是,确定纯费率的基础,确定附加费率的基础,确定管理费用的基础,确定理赔费用的基础,
78,在定期死亡保险中，由于实际死亡率小于预定死亡率而产生的利益称为（）。,理赔益,理赔损,死差损,死差益,
79,与商业保险相比较，民间救济的主体是（）。,保险公司,政府,投保人,个人或单位,
80,根据《保险营销员管理规定》，中国保监会披露保险营销员资格证书。展业证信息以及保险营销员的诚信记录的载体是（）。,指定媒体和文件,指定媒体和网站,内部简报和文件,内部简报和网站,
81,在寿险核保中，由于弱体风险类别的人在健康和其他方面存在缺陷，致使他们的预期寿命低于正常的人，保险人对他们所采取的承保方式是（）。,拒保,按照标准费率承保,按照高于标准的费率予以承保,按照低于标准的费率予以承保,
82,在寿险核保中，寿险公司指定的医疗机构对被保险人进行体检后，所出具的报告是（）。,代理人提供的风险分析报告,投保人填写的询问回答书,医生提供的体检报告,保险人提供的保单,
83,在死亡保险中，以死亡为给付保险金条件，且保险期限为固定年限的人寿保险称为（）。,定期寿险,年金保险,终身寿险,两全保险,
84,保险代理是代理行为的一种，属于民事法律行为。保险代理为主体是（）。,保险人,投保人,被保险人,保险代理人,
85,在财产保险合同中，确定保险金额的基础是（）。,保险标的,保险价值,保险利益,保险事故,
86,保险公司在对投保标的的信息全面掌握、核实的基础上，对可保风险进行评判与分类，进而决定是否承保，以什么样的条件承保的过程被称为（）。,保险核保,保险承保,风险评估,风险核查,
87,在保险合同变更的各种情况中，由于保险人的变动而引起的保险合同变更属于（）。,保险合同主体变更,保险合同内容变更,保险合同客体变更,保险合同效力变更,
88,在我国，由货物运输部门代理货物运输保险业务，由航空人身意外伤害保险等的兼业代理形式，属于（）。,银行代理,机关代理,行业代理,社区代理,
89,因为健康保险的特殊性，一些国家把健康保险和意外伤害保险列为（）。,第一领域,第二领域,第三领域,第四领域,
90,在财产保险核保中，认真检查投保财产是否属于易燃、易爆品或易受损物品；机器设备是否超负荷运转，以下属于核保要素中的（）。,保险标的物所处的环境,保险财产的占用性质,投保标的物主要风险隐患和关键防护部位,有无处于危险状态中的财产,
91,保险代理从业人员资格证书持有人申请换发时，应当提交的材料之一是（）。,前1年内每年接受后续教育情况的有关证明,前3年内每年接受后续教育情况的有关证明,前5年内每年接受后续教育情况的有关证明,前7年内每年接受后续教育情况的有关证明,
92,在分红保险中，保险公司和客户所承担共同风险是（）。,费用风险,死亡风险,投资风险,精算风险,
93,在社会生产和生活中，动态风险所导致的损失很多下列损失中属于动态风险所致的损失是（）。,洪水等所致的损失,地震等引起的损失,由于技术进步所致的损失,意外伤害事故所致的损失或损害,
94,人寿保险的定价假设通常考虑的因素，以下不包括哪项（）。,风险率假设,利率假设、失效率假设,死亡率假设,费用率假设和平均保额,
95,根据《保险法》和国务院的授权，对保险代理机构履行监管职责的机构是（）。,中国保险公司,中国保险学会,中国保险协会,中国保监会,
96,船舶因遭受鱼雷的袭击而进水，导致沉没这是根据保险的（）原则。,保险利益,损失补偿,近因,最大诚信,
97,在收入保障保险中，对于被保险人还能从事一些有收入的其他职业的残疾称为（）。,期间残疾,推定残疾,部分残疾,暂时残疾,
98,根据我国反不正当竞争法的规定，经营者假冒他人的注册商标，将受到相应处罚，其处罚依据是（）。,《中华人民共和国商标法》、《中华人民共和国合同法》的规定,《中华人民共和国民法通则》、《中华人民共和国产品质量法》的规定,《中华人民共和国经济法》、《中华人民共和国产品质量法》的规定,《中华人民共和国商标法》、《中华人民共和国产品质量法》的规定,
99,保险的三项功能是一个有机联系、相互作用的整体。其中（）是保险最基本的功能，是保险区别于其他行业的最根本的特征。,保险保障功能,资金融通功能,损失补偿功能,社会管理功能,
100,保险营销员接受保险公司委托代表其从事保险营销活动的证明是（）。,保险营销员从业资格证书,保险营销员执业证书,保险营销员展业证,保险营销证,
101,在责任保险中，被保险人在法律上应负的民事损害赔偿责任属于（）。,保险责任,保险内容,保险对象,保险标的,
102,流动资产的保险价值是保险财产出险时的（）。,市场价值,重置价值,账面余额,评估价值,
103,保险合同约定的全部权利和义务自始不产生法律效力，保险合同的状态是（）。,部分无效,全部无效,可以撤销,合同中止,
104,下雪导致人冻伤，则下雪是（）。,风险因素,风险事故,保险事故,损失因素险,
105,在我国，暂保单的有效期一般为（）。,90天,10天,60天,30天,
106,投保人填写投保单，向保险人提出保险要求的行为是（）。,要约,要约邀请,承诺,订约,
107,准保护开拓工作可以分为五步进行，其中第三步是（）。,获取尽可能多的人的姓名,经人引荐，拜访准保户,淘汰不合格的准保户,建立准保护信息库，储存准保护的资料,
108,人身保险业务不包括（）。,信用保险,人寿保险,意外伤害保险,健康保险,
109,在分红保险中，当采用固定费用率时，其不列入分红保险账户的收入项目包括（）等。,纯保险费收入,资金运用收入,死亡保费收入,附加保费收入,
110,寿险理赔的核定环节内容不包括（）。,给付理赔计算,拒付,豁免保费计算,归档,
111,根据我国消费者权益保护法的规定，消费者协会履行的职能之一是（）。,参与生产企业的年度生产计划的制定,从事营利性服务,参与销售企业市场开拓计划的制定,参与有关行政部门对商品和服务的监督、检查,
112,就合同的性质而言，各类财产保险合同和人身保险中健康保险合同的疾病津贴和医疗费用合同都属于（）。,给付性保险合同,补偿性保险合同,固定保险合同,超额保险合同,
113,根据风险管理理论，风险管理的对象是（）。,风险,产品,销售,市场,
114,在万能保险保单的第二周期，其死亡给付分摊及费用分摊也要从上期期末现金价值余额及本期保费中扣除。扣除后的余额按照新投资利率累积至期末时的余额是（）。,第一期期末的现金价值,第二期期初的现金价值,第二期期末的现金价值,第三期期末的现金价值,
115,在我国，机动车辆保险的承保方式是（）。,定额保险,重置价值保险,定值保险,不定值保险,
116,保险合同中所规定的权利和义务不得与法律和行政法规的强制性或禁止性规定相抵触，这一特征说明（）。,保险合同客体必须合法,保险合同内容必须合意,保险合同主体必须合法,保险合同内容必须合法,
117,根据《保险营销员管理规定》，保险营销员首次从事保险营销活动前接受的、经中国保监会认可的培训机构组织的专业培训属于（）。,教育培训,技能培训,实务培训,岗前培训,
118,在终身寿险中，当保险公司实际投资收益率低于预定利率时所产生的损失称为（）。,利差益,利差损,投资益,投资损,
119,《保险营销员管理规定》的施行日期是（）。,38869,38899,38930,38961,
120,在非寿险的理赔中，保险人审核保险责任的内容之一是（）。,保险单是否有效,投保单填写字迹是否规范,保险金额是否经被保险人书面认可,投保单是否经被保险人亲笔签名,
121,保险人以预定死亡率和预定利率为基础所计算的保险费属于（）。,纯保险费,毛保险费,风险保费,附加保费,
122,依照《民法通则》规定，委托代理可以采用书面形式，但是委托书授权不明时对第三人承担的民事责任应该（）。,完全由被代理人承担,完全由代理人承担,由被代理人和代理人共同承担,由被代理人承担，代理人负连带责任,
123,保险双方当事人协商修改和变更保险单内容的一种单证被称为（）。,保单,批单,暂保单,保险凭证,
124,在人身意外伤害保险中，如果被保险人在保险期限内遭受意外伤害，责任期限届满时治疗仍在继续，保险人将按照责任期限结束时被保险人的残废程度给付残疾保险金。对于以后被保险人残疾程度加重或死亡的情形，保险人的处理意见是（）。,保险人追加给付部分保险金,保险人不再追加给付保险金,保险人追加给付足额保险金,保险人追加给付保险金，并支付适当的利息,
125,在寿险契约保全中，客户申请保单借款、险别转换等所涉及的寿险契约保全的具体内容属于（）。,合同权益行使,保险关系转移,合同内容变更,保险金和退保金的给付,
126,从一般意义上讲，意外伤害的含义包括（）。,未知和不定,意外和伤害,损失和损害,死亡和残疾,
127,在雇主责任保险中，对于经医生证明暂时丧失工作能力超过5天的赔偿标准是（）。,雇员的工资,雇员未来的工资总额,保单规定的最高赔偿额度,保单所规定的赔偿比例乘以保单规定的赔偿额度,
128,在各类保险单证中，保险双方当事人享有权利与承担义务的最重要的凭证和依据是（）。,保险单,小保单,投保单,暂保单,
129,某公司投保了国内货物运输保险，保险金额为60万元。当时起运地货价加运费为120万元。在保险期限内发生保险事故造成货物损失80万元。保险公司应该赔偿的金额是（）。,40万元,60万元,80万元,120万元,
130,保险资金融通需要满足的前提条件是（）。,保证资金获得最大收益,保证保险的赔偿或给付,保证资金的最大安全,保证资本市场的繁荣发展,
131,保险代理从业人员资格证书遗失的，其持有人应当承担的基本义务是（）。,在保险行业协会指定的媒体和网站上公告,在国家工商局指定的媒体和网站上公告,在中国保监会指定的媒体和网站上公告,在保险公司指定的媒体和网站上公告,
132,在由于汽车刹车失灵酿成车祸而导致车毁人亡的事件中，属于风险因素的是（）。,刹车失灵,车祸,车辆毁坏,人员伤亡,
133,在我国健康保险经营实务中，保险人对疾病保险所作的投保规定是（）。,作为附加险种投保,作为独立险种投保,作为辅助险种投保,作为组合险种投保,
134,根据《保险营销员管理规定》，保险公司向资格证书持有人发放展业证前，应当向当地保险行业协会办理（）。,该持有人的身份证登记注册,该持有人展业证的登记注册,该保险公司的登记注册,该保险公司许可证的登记注册,
135,保险行业自律组织制定的规范从业人员行为的规则对保险代理从业人员的行为所起的作用是：（）,间接约束作用,直接约束作用,无限约束作用,短暂约束作用,
136,不属于责任保险的赔偿范围的情况是：（）,被保险人因对第三者造成的人身伤害而依法应承担的责任,被保险人因对第三者造成的财产损失而依法应承担的责任,被保险人因对第三者造成的意外伤害而依法应承担的责任,被保险人因对第三者造成的身体伤害而依法应承担的责任,
137,在人身意外伤害保险中，最常见的责任期限是（）,5天、10天或30天,90天、180天或一年,一年、两年或三年,三年、四年或十年,
138,当投保人与被保险人为同一人时，保险合同的当事人可以包括（）,保险人、投保人和受益人,保险人、被保险人和受益人,保险人、投保人和代理人,保险人、投保人和被保险人,
139,在现代人寿保险经营中，采用的保险费率形式是（）,自然费率,均衡费率,主观费率,客观费率,
140,在合同存续期间，由于某种原因的发生而使保险合同的效力暂时失效，这一保险合同的效力状态被称为（）,保险合同中止,保险合同终止,保险合同变更,保险合同消灭,
141,在医疗保险中，规定保险承担医疗保险金的最高给付限额的条款称为（）,顺序给付条款,给付限额条款,比例给付条款,重复保险条款,
142,委付是一种重要的法律行为，也是一种赔偿制度。被保险人经常实施这种行为的险种是（）。,责任险,火灾保险,家庭财产保险,海上保险,
143,就销售渠道而言，保险公司利用保险代理人进行销售的方法属于（）。,直接销售渠道,间接销售渠道,宽销售渠道,窄销售渠道,
144,根据保险代位求偿原则，导致保险标的损失的第三者对被保险人的损害赔偿责任形式属于（）。,合同责任,行事责任,刑事责任,民事责任,
145,民法通则》的规定，未成年的李某的父母已经死，下面可以成为李某的监护人的是：（）,未成年的姐姐,患脑瘫的舅舅,街道办事处,当地派出所,
146,由于农业生产在很大程度上受自然因素的影响，所以与其他财产相比，农业保险具有的特征之一是（）。,商业性,政策性,单向性,给付性,
147,按照保险利益原则制造商因其制造的产品，缺陷而使用户或消费者造成人生伤害或财产损失，依法应承担经济赔偿责任，具有保险利益。利益制造商可以投保的险种是（）。,产品质量保险,财产损失保险,职业责任保险,产品责任保险,
148,营销员从事保险营销活动时，做虚假或误导性说明、宣传，根据《保险营销员管理规定》应给于的处罚是（）。,所属保险公司给于警告，并处于一万元以下罚款,中国保监会给于警告，并处于一万元以下罚款,保险行业协会给于警告，并处于一万元以下罚款,消费者协会给于警告，并处于一万元以下罚款,
149,按照保险法的规定，对于被保险人为防止或减少保险标的的损失所支付的必要合理费用，有义务承担的主体是（）。,投保人,被保险人,保险人,保险代理人,
150,我国反不正当竞争法规定，经营者不得采用不正当竞争手段从事市场交易，损害竞争对手，该法所列举的是（）。,以次充好,在商品上伪造名优标志,生产淘汰产品,伪造检疫结果,
