id,question,A,B,C,D,answer
64,在正向市场上，套利交易者买入5月大豆期货合约同时卖出9月大豆期货合约，则该交易者预期()。,未来价差缩小,未来价差扩大,未来价差不变,未来价差不确定,A
65,使用期货投资者保障基金前，中国证监会和保障基金管理机构应当监督期货公司核实投资者保证金权益及损失，积极清理资产并变现处置，应当先以（）弥补保证金缺口。,风险准备金,期货投资者保障基金,公积金,自有资金和变现资产,D
66,()成立并引入期货交易机制，标志着我国商品期货市场的起步。,上海期货交易所,上海金属交易所,大连商品交易所,郑州粮食批发市场,D
67,下列拟持有期货公司5％以上股权的股东中，不符合条件的是（）。,甲股东实收资本和净资产均达到2亿元人民币,乙股东或有负债占净资产的40％,丙股东净资产占实收资本的50％,丁股东实收资本和净资产分别为3500万元和1500万元,D
68,期货公司高级管理人员最多可以在期货公司参股的()家公司兼任董事、监事。,1,2,3,4,B
69,对于某债券组合，三只债券投资额分别为200万元、300万元和500万元，其久期分别为3、4、5，则该债券组合的久期为()。,3.6,4.2,3.5,4.3,D
70,现代意义上的结算机构的产生地是()。,美国芝加哥,英国伦敦,法国巴黎,日本东京,A
71,下列关于会员制期货交易所会员大会的说法，正确的是（  ）。,会员制期货交易所设监事会,会员大会可以选举和更换董事长,会员大会由全体会员组成,会员大会是会员制期货交易所的咨询机构,
72,禽流感疫情过后，家禽养殖业恢复，玉米价格上涨。某饲料公司因提前进行了套期保值，规避了玉米现货风险，这体现了期货市场的()作用。,锁定利润,利用期货价格信号组织生产,提高收益,锁定生产成本,
73,下列关于期货公司经营业务的说法错误的是（）。,期货公司不得从事或者变相从事期货自营业务,期货公司不得从事经营境外期货经纪业务,期货公司不得为其股东、实际控制人或者其他关联人提供融资，不得对外担保,除法律、行政法规或者国务院期货监督管理机构另有规定外，期货公司不得从事与期货业务无关的活动,
74,如果企业在套期保值操作中，现货头寸已经了结，但仍保留着期货头寸，那么其持有的期货头寸就变成了（）头寸。,投机性,跨市套利,跨期套利,现货,
75,看涨期权多头的行权收益可以表示为()。(不计交易费用),权利金卖出价-权利金买入价,标的物的市场价格-执行价格-权利金,标的物的市场价格-执行价格+权利金,标的物的市场价格-执行价格,
76,国家根据期货市场发展的需要，设立期货投资者()。,保障基金,风险基金,储备基金,准备基金,
77,在正向市场中买近卖远的牛市套利交易最突出的特点是()。,投机者的损失无限而获利的潜力有限,投机者的损失有限而获利的潜力也有限,投机者的损失有限而获利的潜力巨大,投机者的损失无限而获利的潜力也是无限的,
78,期货合约的标准化带来的优点不包括()。,简化了交易过程,降低了交易成本,减少了价格变动,提高了交易效率,
79,期货公司()负责监督期货投资咨询业务管理制度的制定和执行，对期货投资咨询业务的合规性定期检查，并依法履行督促整改和报告职责。,总经理,董事长,首席风险官,理事长,
80,当期货交易的买卖双方均为平仓交易且交易量相等时，持仓量()。,增加,不变,减少,不能确定,
81,客户保证金不足时应该()。,允许客户透支交易,及时追加保证金,立即对客户进行强行平仓,无期限等待客户追缴保证金,
82,期货的套期保值是指企业通过持有与现货市场头寸方向（）的期货合约，或将期货合约作为其现货市场未来要交易的替代物，以期对冲价格风险的方式。,相同,相反,相关,相似,
83,投资者适当性制度实施方案及相关工作制度的备案机关是（）。,期货业协会,期货交易所,中国证监会,工商行政管理部门,
84,若其他条件不变的情况下，当石油输出国组织(OPEC)宣布减产，则国际原油价格将（  ）。,上涨,下跌,不受影响,保持不变,
85,某套利者以69700元／吨卖出7月份铜期货合约，同时以69800元／吨买入9月份铜期货合约，当价差变为（  ）元／吨时，若不计交易费用，该套利者将获利。,100,50,200,-50,
86,根据《期货交易管理条例》，期货公司的交易软件、结算软件供应商拒不配合调查，对直接负责的主管人员和其他直接责任人员给予警告，并处（  ）的罚款。,5万元以上10万元以下,1万元以上5万元以下,3万元以上10万元以下,1万元以上3万元以下,
87,在期货交易中，根据商品的供求关系及其影响因素预测期货价格走势的分析方法为()。,江恩理论,道氏理论,技术分析法,基本面分析法,
88,当期货从业人员发现投资者有不诚信行为时，应报告()。,中国期货业协会,中国证监会派出机构,期货交易所,所在期货经营机构,
89,假设某日美元兑人民币即期汇率为1美元-6.1972元人民币，人民币1个月期上海银行间同业拆借利率(SHIBOR)为5.3640％，美元1个月期伦敦银行间同业拆借利率(LIBOR)为0.1848％，则1个月期(31天)美元兑人民币远期汇率约为（  ）。,6.5364,6.2248,6.235,6.1972,
90,依法负责期货从业人员资格的认定、管理及撤销的机构是()。,中国证监会,中国期货业协会,期货保证金安全存管监控机构,期货交易所,
91,下列()项不是技术分析法的理论依据。,市场行为反映一切,价格呈趋势变动,历史会重演,不要把所有的鸡蛋放在一个篮子里,
92,目前我国期货公司的业务范围不包括（  ）。,为客户管理资产，承诺实现收益,为客户提供期货市场信息，进行期货交易咨询,对客户账户进行管理，控制客户交易风险,根据客户指令买卖期货合约，办理结算和交割手续,
93,根据《期货公司风险监管指标管理办法》，期货公司保存风险监管报表的期限为()。,不少于15年,不少于20年,不少于10年,不少于5年,
94,()负责向通过期货从业资格考试的人员颁发期货从业资格考试合格证明。,期货业协会,中国证监会,期货交易所,期货从业人员所在的期货公司,
95,期货从业人员被迫执行违法违规指令，在()情况下可以从轻、减轻或者免予行政处罚。,向期货交易所报告的,公开声明的,辞职的,依法履行了报告义务的,
96,如果交易商在最后交易日仍未将期货合约平仓，则必须（）。,交付违约金,强行平仓,换成下一交割月份合约,进行实物交割或现金交割,
97,下列关于期货交易方式中互联网交易的表述，错误的是（）。,客户通过互联网下达交易指令的，期货公司应当以适当的方式保存该交易指令,期货公司为客户提供互联网委托服务的，应该对客户进行互联网交易风险的特别提示,客户通过互联网下达交易指令的，期货公司应当对客户账户资金进行验证,期货公司必须为客户提供互联网委托服务,
98,期货从业人员违反《期货从业人员管理办法》的规定，中国证监会及其派出机构可以（  ）。,给予其训诫、公开谴责,进行调查.给予纪律惩戒,采取责令改正、监管谈话等措施,进行调查，限制其人身自由,
99,以标准仓单充抵保证金的，期货交易所以充抵日前一交易日该标准仓单对应品种最近交割月份期货合约的()为基准计算作价。,结算价,最高价,最低价,平均价,
100,期货公司任用境外人士担任经理层人员职务的比例不得超过公司经理层人员总数的()。,0.3,0.25,0.2,0.1,
101,世界各地期货交易所的会员构成不尽相同，欧美国家期货交易所会员以（）为主。,自然人会员,法人会员,全权会员,专业会员,
102,2015年4月初，某玻璃加工企业与贸易商签订了一批两年后交收的销售合同，为规避玻璃价格风险，该企业卖出FG1604合约。至2016年2月，该企业将进行展期，合理的操作是（  ）。,平仓FG1604，开仓卖出FG1602,平仓FG1604，开仓卖出FG1603,平仓FG1604，开仓卖出FG1608,平仓买入FG1602，开仓卖出FG1603,
103,期货交易所联网交易的，应当于决定之日起()内报告中国证监会。,3日,5日,10日,30日,
104,下列情形中，属于基差走强的是（）。,基差从-10元/吨变为-30元/吨,基差从10元/吨变为20元/吨,基差从10元/吨变为-10元/吨,基差从10元/吨变为5元/吨,
105,期货公司办理客户销户手续时，应当及时按照申请注销客户在期货交易所的()。,交易编码,交易账户,开户地址,开户名称,
106,会员单位应当完善（）机制，为投资者提供合理的投诉渠道，告知投诉的途径、方法和程序，妥善处理纠纷。,客户矛盾化解,确保客户收益,客户纠纷处理,提高客户收益,
107,我国期货市场上，某上市期货合约以涨跌停板价成交时，其成交撮合的原则是()。,价格优先和平仓优先,平仓优先和时间优先,价格优先和时间优先,时间优先和价格优先,
108,非结算会员对交易结算报告的内容有异议的，应当()。,在结算协议约定的时间内书面向期货交易所提出异议,在期货交易所规定的时间内书面向全面结算会员期货公司提出异议,在结算协议约定的时问内书面向全面结算会员期货公司提出异议,在期货交易所规定的时间内书面向期货交易所提出异议,
109,发生()情形时，会员制期货交易所应当召开理事会临时会议。,1／4以上理事联名提议,理事长提议,中国证监会提议,总经理提议,
110,多头套期保值者在期货市场采取多头部位以对冲其在现货市场的空头部位，他们有可能()。,正生产现货商品准备出售,储存了实物商品,现在不需要或现在无法买进实物商品，但需要将来买进,没有足够的资金购买需要的实物商品,
111,沪深300股指期货的交割方式为()。,现金和实物混合交割,滚动交割,实物交割,现金交割,
112,某日，某公司有甲、乙、丙、丁四个客户，其保证金占用及客户权益数据分别如下:甲:213240；225560乙:5156000；6440000丙:4766350；5779900丁:356700；356600则()客户将收到《追加保证金通知书》。,甲,乙,丙,丁,
113,生产经营者通过套期保值并没有消除风险，而是将其转移给了期货市场的风险承担者即()。,期货交易所,其他套期保值者,期货投机者,期货结算部门,
114,某期货公司拟从事金融期货经纪业务，在申请业务资格的前2个月，公司应当慎重考虑的实质性因素是（）。,公司的交易规模,公司风险监管指标,公司的客户数量,公司的发展规划,
115,期货从业人员被迫执行违法违规指令，在（  ）情况下可以从轻、减轻或者免予行政处罚。,依法履行了报告义务的,辞职的,公开声明的,依法赔偿损失的,
116,看涨期权的损益平衡点(不计交易费用)等于（）。,权利金,执行价格一权利金,执行价格,执行价格+权利金,
117,期货公司变更住所，应当向拟迁入地（）提交申请书等材料。,期货交易所,中国保监会,中国证监会派出机构,中国人民银行,
118,以下关于设立客户开户编码的说法，正确的是（  ）。,由期货公司为客户设立开户编码,由中国期货业协会为客户设立统一的开户编码,由中国期货市场监控中心为客户设立统一的开户编码,由期货交易所为客户设立开户编码,
119,交易型开放指数基金(ETF)与普通的封闭式基金的显著区别为()。,基金投资风格不同,基金投资规模不同,基金投资标的物不同,申购赎回方式不同,
120,中国证监会在受理金融期货结算业务资格申请之日起()个月内，做出批准或者不批准的决定。,1,2,3,5,
121,以下看涨期权多头和空头损益平衡点的表达式，正确的是（  ）。,多头和空头损益平衡点=执行价格-权利金,多头和空头损益平衡点=标的资产价格+权利金,多头损益平衡点=执行价格+权利金,空头损益平衡点=执行价格-权利金,
122,当标的资产的市场价格下跌至()时，将导致看跌期权卖方亏损。(不考虑交易费用),执行价格以下,执行价格以上,损益平衡点以下,执行价格与损益平衡点之间,
