id,question,A,B,C,answer
48,一家创新科技初创公司成功获得风险投资，市场前景看好。,消极,积极,中性,B
49,市场观察家指出，全球市场中长期前景充满希望，投资者信心高涨。,积极,消极,中性,A
50,全球太阳能行业吸引了大量投资，为可持续能源提供了增长机会。,消极,中性,积极,C
51,新兴市场国家的股票市场近期一直在表现出色，吸引了投资者。,积极,中性,消极,A
52,一家清洁能源公司获得了大规模的项目合同，市场前景看好。,积极,消极,中性,A
53,最新的债券市场数据显示，投资者对债券市场前景持乐观态度。,消极,中性,积极,C
54,全球市场对可再生能源项目的投资不断增加，推动了绿色经济。,中性,积极,消极,B
55,一家可持续发展债券发行成功吸引了大规模资金流入，市场充满活力。,积极,消极,中性,A
56,最新的金融数据显示，企业盈利持续增长，股价反映出色。,中性,积极,消极,B
57,全球房地产市场活跃，房屋销售继续增长，房地产投资机会增多。,消极,中性,积极,C
58,一家领先的科技巨头发布了令人兴奋的产品更新，市场瞩目。,中性,积极,消极,B
59,最新的金融监管改革提高了市场透明度，投资者受益。,积极,中性,消极,A
60,全球市场对新兴市场国家的投资不断增加，为全球经济提供增长动力。,积极,中性,消极,A
61,一家领先的生物技术公司发布了突破性的医疗研究成果，市场表现强劲。,积极,消极,中性,A
62,全球股市创下历史新高，投资者情绪极度乐观。,中性,积极,消极,B
63,一家绿色能源公司成功吸引了大规模的投资，为可持续发展注入了资金。,消极,中性,积极,C
64,一家领先的医疗科技公司发布了革命性的医疗设备，市场兴奋不已。,消极,积极,中性,B
65,最近的企业并购交易获得了广泛成功，投资者对市场机会充满信心。,中性,消极,积极,C
66,全球股市在低利率环境下持续攀升，为股票投资创造了机遇。,中性,积极,消极,B
67,一项新的研究显示，市场上的风险已经极度降低，投资者愿意投资。,积极,消极,中性,A
68,最近的创业公司融资活动非常活跃，为创新企业提供了资金支持。,中性,积极,消极,B
69,全球市场对生物技术行业的投资不断增加，为医疗创新提供动力。,中性,消极,积极,C
70,一项新的研究强调，市场上的创新投资机会多不胜数，投资者眼界开阔。,积极,消极,中性,A
71,最近的经济数据显示，消费者支出稳步增长，经济前景一片光明。,消极,积极,中性,
72,全球股市在经济复苏迅猛的环境下持续攀升，投资者信心非常高涨。,中性,消极,积极,
73,一项新的研究强调，可持续投资有望实现长期价值增长，投资者热情高涨。,消极,中性,积极,
74,最新的投资数据显示，全球投资者对市场前景感到非常积极，资金大量流入市场。,积极,中性,消极,
75,一家创新的生物技术公司发布了突破性癌症治疗方法，市场热烈追捧。,积极,中性,消极,
76,全球贸易协议取得突破性进展，为国际贸易提供更多机遇，市场前景看好。,中性,消极,积极,
77,最新的制造业数据显示，全球制造业产值飙升，经济增长势头强劲。,积极,消极,中性,
78,全球初创科技公司融资活动持续活跃，为科技创新提供强大支持。,消极,中性,积极,
79,一家新兴市场初创公司吸引了国际投资，加速了全球扩张计划。,中性,消极,积极,
80,最新的就业数据显示，全球就业市场持续向好，新增工作岗位不断增加。,积极,中性,消极,
81,全球股票市场在宽松的货币政策支持下表现出色，投资者信心持续高涨。,积极,中性,消极,
82,一家新兴市场电动汽车制造商发布了备受瞩目的新车型，市场反应强烈。,中性,积极,消极,
83,最新的央行政策支持经济恢复，为市场提供了坚实的基础。,中性,积极,消极,
84,全球能源市场迎来了可再生能源投资热潮，为能源转型提供动力。,中性,积极,消极,
85,一家可持续发展公司发布了可再生能源项目，市场前景极为看好。,积极,中性,消极,
86,最近的企业并购交易显示，市场上并购机会不断涌现，投资者积极参与。,消极,积极,中性,
87,全球金融市场在低利率环境下持续上升，为投资者创造了丰厚回报。,消极,积极,中性,
88,一项新的研究显示，市场上的风险已经大幅降低，投资者积极寻找机会。,消极,积极,中性,
89,最近的创业公司融资活动非常活跃，为创新企业提供了资金支持。,积极,中性,消极,
90,全球市场对生物技术行业的投资不断增长，为医疗创新提供动力。,中性,积极,消极,
91,一项新的研究强调，市场上的创新投资机会多种多样，投资者眼界开阔。,中性,消极,积极,
92,最近的经济数据显示，消费者支出稳步增长，经济前景光明。,中性,消极,积极,
93,全球股市在经济快速复苏的背景下持续上涨，投资者信心非常高涨。,中性,积极,消极,
94,一项新的研究表明，可持续投资对长期财务表现非常有利，吸引投资者。,消极,积极,中性,
95,最新的投资数据显示，全球投资者对市场前景感到非常积极，资金大量流入市场。,中性,积极,消极,
96,请告诉我最新的汇率情况。,消极,中性,积极,
97,我想了解一下最新的财经新闻。,积极,中性,消极,
98,我想了解一下不同的退休储蓄计划。,积极,消极,中性,
99,我想知道最新的通货膨胀率。,消极,中性,积极,
100,我需要一个金融规划师的建议。,消极,积极,中性,
101,我需要查看我的投资账户。,积极,消极,中性,
102,我想了解一下债券市场的现状。,消极,中性,积极,
103,我需要一份我的投资账单。,消极,中性,积极,
104,我需要一些有关金融规划的书籍推荐。,中性,积极,消极,
105,我需要了解一下不同的储蓄账户选项。,积极,中性,消极,
106,我应该增加我的投资时间吗？,积极,消极,中性,
107,我想知道最新的货币政策。,中性,积极,消极,
108,我想了解一下最近的房地产市场情况。,中性,积极,消极,
109,我正在研究一些不同的投资选项。,中性,消极,积极,
110,我需要一些关于退休规划的指导。,积极,消极,中性,
111,我想了解一下最新的全球经济状况。,中性,消极,积极,
112,我打算开一个储蓄账户。,消极,积极,中性,
113,请帮我查找一些关于金融市场分析的文章。,中性,积极,消极,
114,我正在考虑投资一些稳定的收益资产。,积极,中性,消极,
115,我应该继续持有我的房产投资吗？,积极,中性,消极,
116,我应该考虑购买一些市政债券吗？,消极,中性,积极,
117,我应该继续持有我的外汇头寸吗？,积极,中性,消极,
118,我应该考虑购买一些市场相关的指数基金吗？,消极,积极,中性,
119,我应该继续持有我的债券投资吗？,消极,中性,积极,
120,我应该考虑购买一些房地产投资信托吗？,中性,消极,积极,
121,我应该继续持有我的黄金投资吗？,积极,中性,消极,
122,我需要检查我的投资账户的历史表现。,中性,消极,积极,
123,我正在考虑购买一辆新的电动汽车。,消极,中性,积极,
124,我打算参加一场金融研讨会，你有什么建议吗？,中性,消极,积极,
125,我需要查看我的养老金账户。,积极,中性,消极,
126,我考虑购买一些可持续投资。,积极,中性,消极,
127,我正在考虑提前偿还我的贷款。,积极,消极,中性,
128,我想知道最新的市场波动背后的原因。,积极,中性,消极,
129,我打算投资一些科技股。,消极,中性,积极,
130,我需要查找一家信誉良好的贷款机构。,消极,中性,积极,
131,我应该增加我的儿童教育基金吗？,中性,积极,消极,
132,我想知道最近的全球通货膨胀率。,积极,中性,消极,
133,我考虑将一部分资金放入高收益储蓄账户。,中性,积极,消极,
134,我需要一些关于金融风险评估的指南。,积极,消极,中性,
135,我正在考虑购买一套商用房产。,消极,积极,中性,
136,我想知道最新的全球经济形势。,中性,消极,积极,
137,有没有一些有关金融投资的研究报告？,积极,中性,消极,
138,请告诉我最新的房产市场趋势。,中性,消极,积极,
139,请帮我找到一份投资组合多样性分析。,中性,积极,消极,
140,我打算购买一辆新的家用车。,中性,消极,积极,
141,请帮我分析一下我的投资组合风险。,积极,中性,消极,
142,我打算购买一些大宗商品期货。,中性,消极,积极,
143,请帮我查找一些关于投资风险管理的工具。,中性,积极,消极,
144,我打算购买一些外汇期权。,积极,中性,消极,
145,请帮我查找一家专门提供金融规划服务的公司。,积极,中性,消极,
146,我打算购买一份短期健康保险。,积极,中性,消极,
147,请帮我查找一些关于个人理财规划的在线课程。,积极,消极,中性,
148,我打算购买一些可再生能源股票。,中性,积极,消极,
149,我想知道最新的全球股市交易时间。,消极,积极,中性,
150,我打算购买一些外汇交易软件。,消极,中性,积极,
151,请告诉我最新的全球贸易战局势。,消极,积极,中性,
152,我需要了解一下不同的金融市场趋势。,消极,积极,中性,
153,我应该选择哪种类型的投资账户？,积极,消极,中性,
154,请帮我分析一下我的金融目标和风险承受能力。,消极,积极,中性,
155,我需要了解一下最新的全球金融事件。,积极,中性,消极,
156,我考虑投资一些创业公司的股票。,中性,消极,积极,
157,有没有一些建议关于长期投资计划？,积极,中性,消极,
158,我想知道最新的电动汽车行业发展。,消极,中性,积极,
159,我打算购买一些新兴市场股票。,消极,积极,中性,
160,请告诉我最新的大宗商品市场动态。,积极,中性,消极,
161,我需要了解一下不同的金融投资风险。,中性,积极,消极,
162,我应该选择哪种类型的财富管理服务。,消极,积极,中性,
163,我考虑将一些资金投入到期货市场。,积极,消极,中性,
164,我想知道最新的国际贸易协议的情况。,中性,积极,消极,
165,我需要了解一下不同的金融产品费用结构。,消极,积极,中性,
166,我应该优先还清高利率的贷款吗？,中性,积极,消极,
167,我需要了解一下不同金融市场的波动性。,积极,消极,中性,
168,我应该选择哪种类型的投资组合管理服务？,中性,消极,积极,
169,我需要了解一下不同的金融市场分析工具。,中性,消极,积极,
170,我应该增加我的紧急备用金储备吗？,积极,中性,消极,
171,我需要了解一下不同的金融市场技术指标。,中性,积极,消极,
172,我应该如何管理我的现金流？,消极,中性,积极,
173,我需要了解一下不同的金融市场交易策略。,积极,中性,消极,
174,我应该如何规划我的儿童教育基金？,中性,消极,积极,
175,我需要了解一下不同的金融市场交易平台。,积极,消极,中性,
176,我想知道最新的全球经济形势。,积极,中性,消极,
177,有没有一些有关金融投资的研究报告？,中性,消极,积极,
178,请告诉我最新的房产市场趋势。,消极,中性,积极,
179,请帮我找到一份投资组合多样性分析。,中性,积极,消极,
180,我打算购买一辆新的家用车。,积极,中性,消极,
181,请帮我分析一下我的投资组合风险。,消极,中性,积极,
182,我打算购买一些大宗商品期货。,消极,中性,积极,
183,请帮我查找一些关于投资风险管理的工具。,消极,积极,中性,
184,我打算购买一些外汇期权。,消极,中性,积极,
185,请帮我查找一家专门提供金融规划服务的公司。,中性,消极,积极,
186,我打算购买一份短期健康保险。,消极,中性,积极,
187,请帮我查找一些关于个人理财规划的在线课程。,消极,积极,中性,
188,我打算购买一些可再生能源股票。,消极,积极,中性,
189,我需要一些有关个人理财的建议。,中性,消极,积极,
190,我应该购买个人医疗保险吗？,消极,中性,积极,
191,我考虑买入一些黄金。,中性,积极,消极,
192,我想知道最新的债券收益率。,积极,中性,消极,
193,有没有一些关于长期投资的案例研究？,积极,消极,中性,
194,我应该增加我的紧急储备吗？,消极,中性,积极,
195,我打算购买一些数字货币。,中性,积极,消极,
196,我想了解一下最新的市场趋势分析。,积极,消极,中性,
197,请告诉我最新的能源市场动态。,中性,积极,消极,
198,有没有一些建议关于资产分配？,消极,中性,积极,
199,我应该增加我的紧急储备吗？,消极,积极,中性,
200,我考虑投资一些大宗商品。,中性,消极,积极,
201,我需要一份我的退休金计划报告。,中性,消极,积极,
202,亚洲股市今日交投平稳。,积极,消极,中性,
203,中国央行采取措施以维持金融市场稳定。,积极,中性,消极,
204,新兴市场经济前景乐观。,消极,中性,积极,
205,全球股市交投在窄幅内波动。,积极,中性,消极,
206,全球资本流动趋势平稳。,积极,消极,中性,
207,房地产市场交易量平稳。,消极,中性,积极,
208,全球金融市场波动性下降。,消极,中性,积极,
209,通货紧缩风险相对较低。,积极,消极,中性,
210,全球能源价格保持中性。,中性,积极,消极,
211,全球金融稳定指数持续在中性水平。,消极,中性,积极,
212,全球通货紧缩压力放缓。,消极,积极,中性,
213,全球经济复苏趋势持平。,中性,积极,消极,
214,全球市场风险总体可控。,积极,中性,消极,
215,全球贸易合作继续推进，国际局势平和。,积极,中性,消极,
216,全球股市在窄幅波动中稳定。,积极,消极,中性,
217,国际贸易数据显示平衡态势。,中性,消极,积极,
218,全球金融监管合规水平良好。,中性,消极,积极,
219,国际金融机构继续提供贷款支持。,积极,中性,消极,
220,国际债券市场融资需求平稳。,消极,积极,中性,
221,新兴市场国家货币保持坚挺。,积极,中性,消极,
222,国际贸易谈判取得逐步进展。,积极,消极,中性,
223,全球资本市场波动性保持低水平。,中性,消极,积极,
224,企业债券发行融资环境稳定。,积极,中性,消极,
225,央行货币政策传导效应良好。,消极,中性,积极,
226,全球金融监管合规性提高。,中性,积极,消极,
227,国际政治冲突趋势平稳。,积极,中性,消极,
228,企业融资条件保持宽松。,积极,消极,中性,
229,股市崩盘，投资者损失数十亿美元。,中性,消极,积极,
230,政府紧缩政策导致经济增长放缓。,消极,积极,中性,
231,公司CEO辞职，投资者对未来感到不安。,积极,中性,消极,
232,央行货币政策宽松，通货膨胀风险上升。,积极,消极,中性,
233,债务违约事件频发，市场情绪低迷。,中性,消极,积极,
234,金融监管力度加强，银行业面临压力。,中性,积极,消极,
235,利率倒挂，预示着经济衰退可能到来。,消极,中性,积极,
236,公司破产申请，员工失业风险上升。,积极,中性,消极,
237,市场恐慌情绪引发抛售潮，股价下挫。,积极,中性,消极,
238,政府债务迅速增加，财政危机风险上升。,积极,中性,消极,
239,财政刺激计划搁置，经济复苏受挫。,中性,消极,积极,
240,央行货币政策变化不确定，市场波动扩大。,中性,积极,消极,
241,银行利率下降，储户利息收入减少。,积极,消极,中性,
242,债券市场动荡，投资者抛售债券。,积极,中性,消极,
243,通货紧缩风险上升，企业利润下滑。,中性,消极,积极,
244,股市交易暂停，交易员陷入困境。,积极,中性,消极,
245,债券市场流动性不足，价格波动大。,消极,中性,积极,
246,国际货币市场波动，汇率风险上升。,消极,中性,积极,
247,全球贸易额锐减，全球供应链受阻。,消极,积极,中性,
248,金融市场操纵指控，交易所监管加强。,积极,中性,消极,
249,公司亏损，员工面临裁员风险。,积极,中性,消极,
250,公司市值蒸发，投资者大幅亏损。,积极,消极,中性,
251,公司财务困难，债务违约潜在风险。,中性,消极,积极,
252,市场波动加剧，投资者情绪动荡。,中性,积极,消极,
253,疫情重创航空业，多家航空公司面临倒闭威胁。,积极,中性,消极,
254,公司财报亏损，投资者纷纷抛售股票。,消极,积极,中性,
255,政府债务上升，财政不稳定。,消极,积极,中性,
256,公司市值蒸发，投资者损失惨重。,中性,消极,积极,
257,亚洲股市暴跌，全球市场受影响。,消极,中性,积极,
258,金价下跌，黄金投资者遭受损失。,消极,积极,中性,
259,政治不稳定性引发市场不安。,中性,积极,消极,
260,汇率波动，出口企业面临挑战。,中性,积极,消极,
261,石油价格下跌，石油生产国财政压力上升。,中性,积极,消极,
262,房地产泡沫风险上升，楼市不稳定。,中性,消极,积极,
263,金融市场黑天鹅事件引发恐慌性抛售。,中性,消极,积极,
264,公司股票停牌，市场不确定性增加。,积极,消极,中性,
265,股票市场为什么一直在下跌？我已经无法忍受了。,中性,消极,积极,
266,我的债券投资不断贬值，我感到非常失望。,积极,消极,中性,
267,我的投资组合一片红，但不是红利，而是亏损。,消极,中性,积极,
268,我的股票价值一直在下降，我觉得非常绝望。,积极,中性,消极,
269,我的股票赔钱赔得我想哭。,中性,积极,消极,
270,我的股票价值持续下滑，我觉得非常绝望。,消极,积极,中性,
271,我的投资账户一片红，但是是血红，而不是盈利。,消极,中性,积极,
272,我的金融未来看起来很糟糕，我感到非常担忧。,消极,中性,积极,
273,我的投资亏损了一大截，我感到非常烦恼。,消极,积极,中性,
274,我的投资一直在下滑，我不知道该怎么办了。,积极,消极,中性,
275,我的股票价值一直在下跌，我觉得非常绝望。,积极,中性,消极,
276,我的投资账户一片红，但不是盈利，而是损失。,中性,消极,积极,
277,我的金融未来看起来很黑暗，我感到非常绝望。,中性,积极,消极,
278,股票走势真是不给力啊。,消极,中性,积极,
279,股票市场的不稳定性让我担忧。,中性,积极,消极,
280,我的钱在投资中消失得很快。,积极,消极,中性,
281,股票市场的动荡令我感到不安。,中性,消极,积极,
282,我的储蓄账户正在减少，令人不悦。,消极,积极,中性,
283,我的投资看起来不太乐观。,积极,消极,中性,
284,股票市场的波动让我感到不安。,中性,积极,消极,
285,股票市场的不确定性令我感到有点痛苦。,中性,消极,积极,
286,股票市场的表现让我感到有点烦恼。,中性,积极,消极,
287,我的钱在股市里面消失了，感到有点不爽。,积极,消极,中性,
288,我的投资亏损了，让我有点不高兴。,积极,中性,消极,
289,我的储蓄账户一直在减小，令我有点担忧。,消极,中性,积极,
290,股市这段时间一直不太好，让我担心。,消极,中性,积极,
291,投资结果不尽如人意，有点沮丧。,消极,中性,积极,
292,我的储蓄账户持续缩水，不太高兴。,积极,中性,消极,
293,股市波动大，让我有点头疼。,积极,消极,中性,
294,我的钱包越来越轻，有点失望。,消极,积极,中性,
295,投资看起来有点差，有点郁闷。,中性,消极,积极,
296,股票市场的不稳定性让我有点不安。,消极,积极,中性,
297,我的储蓄账户一直在减小，让我感到有点不满。,消极,中性,积极,
298,投资亏了点，感觉有点沮丧。,中性,积极,消极,
299,股票市场的表现不太理想，感到有点不满。,消极,积极,中性,
300,我的钱在投资中流失得有点快。,中性,消极,积极,
301,投资不断下滑，有点失望。,中性,积极,消极,
302,股市波动大，令我感到有点烦恼。,消极,中性,积极,
303,这破经理亏成这样怎么不调仓，天天在亏,中性,积极,消极,
304,我又没购买，这我挨了一下就扣我钱了。,积极,消极,中性,
305,没有人工就扣我钱了。,消极,积极,中性,
306,我的创金合信股票A下跌这么久，还能爬得动上去嘛？,消极,中性,积极,
307,基金公司又想着点子坑老百姓了,中性,积极,消极,
308,我买4000元，三天才0.24元，对外宣传是6.多骗子，吃基民的肉不吐,积极,消极,中性,
309,我的钱被你理亏了不少,消极,积极,中性,
310,可是我的亏了不少啊！,中性,积极,消极,
311,没完没了的亏损,中性,消极,积极,
312,算了吧，套路有多少吃多少,积极,消极,中性,
313,举报,消极,积极,中性,
314,少给了我一个多点，,中性,消极,积极,
315,军工基金何时能回本,中性,消极,积极,
316,有你这样无厘头吗,中性,消极,积极,
317,放了几年都亏,积极,中性,消极,
318,为何不显示净值…你们这样做就是虚伪……作为基金投资，你们不敢让投资者看，,积极,消极,中性,
319,大盘60点，你才回本60，笨不笨,积极,消极,中性,
320,没什么，只不过我亏。,中性,积极,消极,
321,你怎么那么啰嗦,消极,中性,积极,
322,骗人呢,中性,积极,消极,
323,把我被骗的定投钱还没退给我,消极,中性,积极,
324,投资全部亏损的资金管理人在什么情况下能换掉,积极,中性,消极,
325,你能有什么服务，亏的你能帮补上吗？笑话,中性,消极,积极,
326,投了三年，两W就亏3至4千,积极,中性,消极,
327,我换个什么问题，问你，你们就扣了我的工资，不想给我了,中性,积极,消极,
328,这笔持仓除了通策医疗，华兰生物，天坛生物还好点，剩余其他的都是要大跌啊,中性,积极,消极,
329,从6月21日起到今日回调三十八个多点，还没回调结束吗，现在亏麻了,中性,积极,消极,
330,芯片又买了一千多元，还是亏损,消极,积极,中性,
331,已经魔道海底了！！吃人不吐骨头！,中性,积极,消极,
332,你赔我钱,消极,中性,积极,
333,这个老姐呢也不知道买的啥大盘涨他也不知大盘跌了给你点是是也是个人才,消极,中性,积极,
334,越跌越穷n,中性,消极,积极,
335,以后再支持市花帮我买基金，我要告你们,中性,积极,消极,
336,兴全趋势买的啥股？为什么一直都在跌？,消极,积极,中性,
337,我也不知道你们的理财是怎搞的！,积极,中性,消极,
338,为什么没估值了？只看估值，只喜欢估值。不喜欢净值，讨厌净值,消极,中性,积极,
339,在哪投诉,积极,中性,消极,
340,天泓基金到现在都没有人说话不算数了,中性,积极,消极,
341,你不给我取消钱我投诉报警处理,消极,积极,中性,
342,医疗怎么这么差,消极,中性,积极,
343,等我举报吗？,消极,中性,积极,
344,投诉全民养老,消极,积极,中性,
345,我投诉你,消极,积极,中性,
346,那什么玩意儿,消极,积极,中性,
347,你们怎么能不经本人同意就帮我理财,中性,消极,积极,
348,半个月还是亏,积极,消极,中性,
349,要卖出怎么亏了,消极,积极,中性,
350,都是骗人的,积极,消极,中性,
351,没有，说实话就扣不应该,中性,积极,消极,
352,易方达陈皓最钟爱基金经理,中性,积极,消极,
353,谢谢,积极,中性,消极,
354,很庆幸买的少,积极,消极,中性,
355,好的，谢谢,消极,积极,中性,
356,本月,中性,消极,积极,
357,本粥收益,消极,积极,中性,
358,东方瑧裕短债债券,积极,消极,中性,
359,股市行情,积极,消极,中性,
360,还能留吗,消极,积极,中性,
