id,question,A,B,C,D,answer
38,财联社4月21日电，华为鸿蒙板块继续走弱，跌幅超过3%，其中*ST蓝盾跌幅超8%，拓维信息跌幅超8%，软通动力跌幅超7%。,利好,中性,未知,利空,D
39,财联社4月21日电，ChatGPT板块继续走弱，跌幅超过3%，其中凡拓数创跌幅超8%，鸿博股份跌幅超8%，拓维信息跌幅超8%。,未知,中性,利空,利好,C
40,财联社4月21日电，超高清视频板块继续走弱，跌幅超过3%，其中全志科技跌幅超12%，博汇科技跌幅超7%，北京君正跌幅超6%。,利好,未知,利空,中性,C
41,财联社4月21日电，AI模型板块继续走弱，跌幅超过4%，其中顺网科技跌幅超9%，首都在线跌幅超8%，凌云光跌幅超8%。,利空,中性,利好,未知,A
42,财联社4月21日电，云计算板块继续走弱，跌幅超过3%，其中顺网科技跌幅超9%，电科网安跌幅超8%，首都在线跌幅超8%。,未知,利好,利空,中性,C
43,财联社4月21日电，靶材板块继续走弱，跌幅超过4%，其中阿石创跌幅超4%，江丰电子跌幅超4%，有研新材跌幅超3%。,未知,利空,中性,利好,B
44,财联社4月21日电，网络安全板块继续走弱，跌幅超过3%，其中平治信息跌幅超9%，浩瀚深度跌幅超9%，博汇科技跌幅超8%。,中性,未知,利空,利好,C
45,财联社4月21日电，快手概念板块继续走弱，跌幅超过4%，其中万润科技跌幅超9%，首都在线跌幅超8%，因赛集团跌幅超6%。,利好,利空,中性,未知,B
46,财联社4月21日电，国资云板块继续走弱，跌幅超过4%，其中电科网安跌幅超8%，易华录跌幅超7%，深桑达A跌幅超6%。,利好,中性,未知,利空,D
47,财联社4月21日电，面板板块继续走弱，跌幅超过3%，其中瑞联新材跌幅超11%，路维光电跌幅超7%，清越科技跌幅超6%。,未知,利空,利好,中性,B
48,财联社4月21日电，边缘计算板块继续走弱，跌幅超过3%，其中京蓝科技跌幅超9%，顺网科技跌幅超8%，拓维信息跌幅超8%。,中性,利空,未知,利好,B
49,财联社4月21日电，虹膜识别板块继续走弱，跌幅超过3%，其中汉王科技跌幅超6%，神思电子跌幅超5%，广电运通跌幅超4%。,未知,中性,利空,利好,C
50,财联社4月21日电，数字货币板块继续走弱，跌幅超过3%，其中新国都跌幅超8%，电科网安跌幅超8%，创识科技跌幅超6%。,利好,中性,未知,利空,D
51,财联社4月21日电，百度概念板块继续走弱，跌幅超过3%，其中易华录跌幅超8%，慧博云通跌幅超7%，亚康股份跌幅超6%。,中性,利好,未知,利空,D
52,财联社4月21日电，安防板块继续走弱，跌幅超过3%，其中罗普特跌幅超10%，深桑达A跌幅超9%，易华录跌幅超8%。,利空,利好,中性,未知,A
53,财联社4月21日电，国产软件板块继续走弱，跌幅超过4%，其中赛意信息跌幅超14%，鼎捷软件跌幅超9%，软通动力跌幅超8%。,利好,未知,利空,中性,C
54,财联社4月21日电，存储器板块继续走弱，跌幅超过3%，其中万润科技跌幅超9%，创益通跌幅超7%，北京君正跌幅超7%。,利空,未知,利好,中性,A
55,财联社4月21日电，谷歌概念板块继续走弱，跌幅超过3%，其中易点天下跌幅超7%，中国长城跌幅超6%，智度股份跌幅超5%。,利好,未知,利空,中性,C
56,财联社4月21日电，5G终端板块继续走弱，跌幅超过3%，其中全志科技跌幅超13%，平治信息跌幅超10%，共进股份跌幅超9%。,未知,利好,中性,利空,D
57,财联社4月21日电，华为产业链板块继续走弱，跌幅超过3%，其中赛意信息跌幅超14%，碳元科技跌幅超10%，鸿博股份跌幅超9%。,利空,利好,未知,中性,A
58,财联社4月21日电，Web3.0板块继续走弱，跌幅超过4%，其中顺网科技跌幅超9%，凌云光跌幅超8%，东方国信跌幅超7%。,未知,利空,中性,利好,B
59,财联社4月21日电，数据中心板块继续走弱，跌幅超过3%，其中南凌科技跌幅超10%，首都在线跌幅超9%，拓维信息跌幅超8%。,未知,利空,中性,利好,B
60,财联社4月21日电，信创板块继续走弱，跌幅超过4%，其中凡拓数创跌幅超8%，拓维信息跌幅超8%，品高股份跌幅超8%。,未知,利空,中性,利好,B
61,财联社4月21日电，MLED板块继续走弱，跌幅超过4%，其中乾照光电跌幅超12%，万润科技跌幅超9%，路维光电跌幅超7%。,中性,利空,利好,未知,B
62,财联社4月21日电，IPv6板块继续走弱，跌幅超过4%，其中天邑股份跌幅超11%，电科网安跌幅超8%，天源迪科跌幅超6%。,未知,利空,利好,中性,B
63,【数据要素板块跌势扩大深桑达A跌停】财联社4月21日电，数据要素板块盘中跌势扩大，深桑达A跌停，新华网、顺网科技、金桥信息、易华录、中文在线、天亿马均大跌超7%。,中性,利空,未知,利好,B
64,财联社4月21日电，金融科技板块继续走弱，跌幅超过4%，其中软通动力跌幅超9%，迪普科技跌幅超8%，新致软件跌幅超7%。,利空,中性,利好,未知,A
65,财联社4月21日电，中芯国际概念板块继续走弱，跌幅超过4%，其中全志科技跌幅超13%，清溢光电跌幅超7%，概伦电子跌幅超6%。,利好,中性,未知,利空,D
66,财联社4月21日电，华为手机板块继续走弱，跌幅超过3%，其中碳元科技跌幅超10%，东田微跌幅超8%，希荻微跌幅超8%。,利空,利好,未知,中性,A
67,财联社4月21日电，电子车牌板块继续走弱，跌幅超过3%，其中易华录跌幅超9%，金溢科技跌幅超4%，高新兴跌幅超4%。,中性,未知,利好,利空,D
68,财联社4月21日电，数字货币板块继续走弱，跌幅超过4%，其中电科网安跌幅超10%，新国都跌幅超9%，东方国信跌幅超8%。,利空,利好,未知,中性,A
69,财联社4月21日电，华为鸿蒙板块继续走弱，跌幅超过5%，其中软通动力跌幅超10%，*ST蓝盾跌幅超10%，拓维信息跌幅超9%。,中性,未知,利空,利好,C
70,财联社4月21日电，工业互联网板块继续走弱，跌幅超过3%，其中赛意信息跌幅超11%，鼎捷软件跌幅超10%，品高股份跌幅超9%。,未知,利空,利好,中性,B
71,财联社4月21日电，VR/AR板块继续走弱，跌幅超过4%，其中全志科技跌幅超13%，平治信息跌幅超10%，顺网科技跌幅超9%。,利空,利好,中性,未知,
72,财联社4月21日电，存储器板块继续走弱，跌幅超过4%，其中万润科技跌幅超9%，北京君正跌幅超8%，德明利跌幅超8%。,未知,中性,利好,利空,
73,财联社4月21日电，超级计算机板块继续走弱，跌幅超过4%，其中天源迪科跌幅超8%，北信源跌幅超5%，浪潮信息跌幅超5%。,未知,利空,利好,中性,
74,财联社4月21日电，华为鲲鹏板块继续走弱，跌幅超过5%，其中赛意信息跌幅超12%，鼎捷软件跌幅超10%，拓维信息跌幅超9%。,利空,中性,未知,利好,
75,财联社4月21日电，5G网络架构板块继续走弱，跌幅超过3%，其中北纬科技跌幅超7%，中富通跌幅超7%，恒实科技跌幅超6%。,未知,利好,中性,利空,
76,财联社4月21日电，5G产业链板块继续走弱，跌幅超过3%，其中全志科技跌幅超13%，天邑股份跌幅超12%，统联精密跌幅超10%。,利好,利空,未知,中性,
77,财联社4月21日电，PCB板块继续走弱，跌幅超过4%，其中芯碁微装跌幅超7%，华正新材跌幅超7%，迅捷兴跌幅超7%。,利好,中性,未知,利空,
78,财联社4月21日电，智慧矿山板块继续走弱，跌幅超过3%，其中龙软科技跌幅超6%，云鼎科技跌幅超5%，北路智控跌幅超3%。,利好,利空,未知,中性,
79,财联社4月21日电，第三代半导体板块继续走弱，跌幅超过4%，其中乾照光电跌幅超12%，联动科技跌幅超12%，路维光电跌幅超10%。,利空,中性,利好,未知,
80,财联社4月21日电，超高清视频板块继续走弱，跌幅超过5%，其中全志科技跌幅超14%，博汇科技跌幅超12%，景嘉微跌幅超9%。,中性,利好,利空,未知,
81,财联社4月21日电，手势识别板块继续走弱，跌幅超过5%，其中北京君正跌幅超8%，恒信东方跌幅超8%，汉王科技跌幅超7%。,中性,利空,利好,未知,
82,财联社4月21日电，地理信息板块继续走弱，跌幅超过4%，其中立昂技术跌幅超6%，四维图新跌幅超6%，龙软科技跌幅超6%。,中性,利好,利空,未知,
83,财联社4月21日电，时空大数据板块继续走弱，跌幅超过5%，其中熙菱信息跌幅超6%，中通国脉跌幅超6%，超图软件跌幅超6%。,未知,利空,中性,利好,
84,财联社4月21日电，百度概念板块继续走弱，跌幅超过4%，其中易华录跌幅超10%，慧博云通跌幅超8%，亚康股份跌幅超7%。,利空,中性,未知,利好,
85,财联社4月21日电，AIGC板块继续走弱，跌幅超过5%，其中新华网跌幅超9%，新国都跌幅超9%，中文在线跌幅超9%。,利好,利空,未知,中性,
86,财联社4月21日电，腾讯概念板块继续走弱，跌幅超过3%，其中新国都跌幅超9%，中文在线跌幅超9%，熵基科技跌幅超9%。,未知,中性,利好,利空,
87,财联社4月21日电，腾讯概念板块继续走弱，跌幅超过3%，其中新国都跌幅超9%，中文在线跌幅超9%，熵基科技跌幅超9%。,利空,中性,利好,未知,
88,财联社4月21日电，激光雷达板块继续走弱，跌幅超过5%，其中源杰科技跌幅超10%，东田微跌幅超9%，天孚通信跌幅超9%。,利空,中性,利好,未知,
89,财联社4月21日电，液态金属板块继续走弱，跌幅超过3%，其中东方锆业跌幅超3%，云路股份跌幅超3%，安泰科技跌幅超3%。,利空,中性,未知,利好,
90,财联社4月21日电，教育信息化板块继续走弱，跌幅超过3%，其中拓维信息跌幅超9%，天亿马跌幅超9%，威创股份跌幅超7%。,未知,利好,利空,中性,
91,财联社4月21日电，谷歌概念板块继续走弱，跌幅超过4%，其中易点天下跌幅超7%，中国长城跌幅超7%，智度股份跌幅超6%。,利空,中性,利好,未知,
92,财联社4月21日电，彩票板块继续走弱，跌幅超过4%，其中鸿博股份跌幅超10%，数字认证跌幅超8%，人民网跌幅超7%。,利空,中性,未知,利好,
93,财联社4月21日电，华为产业链板块继续走弱，跌幅超过4%，其中赛意信息跌幅超12%，鼎捷软件跌幅超11%，软通动力跌幅超11%。,利空,利好,中性,未知,
94,财联社4月21日电，安防板块继续走弱，跌幅超过4%，其中罗普特跌幅超12%，易华录跌幅超11%，深桑达A跌幅超10%。,利好,利空,未知,中性,
95,财联社4月21日电，网络安全板块继续走弱，跌幅超过5%，其中博汇科技跌幅超12%，平治信息跌幅超11%，浩瀚深度跌幅超10%。,中性,利好,未知,利空,
96,财联社4月21日电，影视板块继续走弱，跌幅超过4%，其中百纳千成跌幅超8%，捷成股份跌幅超8%，奥飞娱乐跌幅超7%。,利好,未知,利空,中性,
97,财联社4月21日电，大数据板块继续走弱，跌幅超过5%，其中南凌科技跌幅超12%，博汇科技跌幅超12%，易华录跌幅超11%。,利空,利好,未知,中性,
98,财联社4月21日电，数字政务板块继续走弱，跌幅超过6%，其中云从科技跌幅超12%，易华录跌幅超11%，宏景科技跌幅超10%。,利空,未知,利好,中性,
99,财联社4月21日电，算力芯片板块继续走弱，跌幅超过6%，其中芯原股份跌幅超12%，景嘉微跌幅超10%，恒烁股份跌幅超10%。,利好,利空,未知,中性,
100,财联社4月21日电，沥青板块继续走弱，跌幅超过3%，其中宝丰能源跌幅超5%，国创高新跌幅超3%，信德新材跌幅超2%。,未知,利空,利好,中性,
101,财联社4月21日电，半导体设备板块继续走弱，跌幅超过4%，其中联动科技跌幅超12%，和林微纳跌幅超10%，耐科装备跌幅超8%。,利空,未知,利好,中性,
102,财联社4月21日电，氮化镓(GaN)板块继续走弱，跌幅超过5%，其中乾照光电跌幅超12%，必易微跌幅超8%，南大光电跌幅超7%。,利好,利空,中性,未知,
103,财联社4月21日电，证券板块继续走弱，跌幅超过3%，其中首创证券跌幅超7%，红塔证券跌幅超6%，信达证券跌幅超6%。,利好,未知,利空,中性,
104,财联社4月21日电，屏下指纹板块继续走弱，跌幅超过5%，其中东田微跌幅超9%，隆利科技跌幅超7%，虹软科技跌幅超7%。,未知,利空,利好,中性,
105,财联社4月21日电，3D感应板块继续走弱，跌幅超过4%，其中华天科技跌幅超6%，晶方科技跌幅超6%，歌尔股份跌幅超5%。,未知,利空,利好,中性,
106,财联社4月21日电，5G网络架构板块继续走弱，跌幅超过4%，其中中富通跌幅超9%，恒实科技跌幅超8%，富春股份跌幅超8%。,中性,未知,利好,利空,
107,财联社4月21日电，中芯国际概念板块继续走弱，跌幅超过5%，其中全志科技跌幅超14%，清溢光电跌幅超8%，东芯股份跌幅超8%。,未知,中性,利好,利空,
108,财联社4月21日电，融合通信(RCS)板块继续走弱，跌幅超过5%，其中平治信息跌幅超11%，初灵信息跌幅超10%，挖金客跌幅超9%。,利好,利空,未知,中性,
109,财联社4月21日电，华为电视板块继续走弱，跌幅超过5%，其中广电网络跌幅超9%，数码视讯跌幅超6%，聚飞光电跌幅超4%。,未知,中性,利空,利好,
110,财联社4月21日电，京东概念板块继续走弱，跌幅超过3%，其中科大讯飞跌幅超8%，三人行跌幅超7%，齐心集团跌幅超6%。,利好,中性,利空,未知,
111,财联社4月21日电，胎压监测板块继续走弱，跌幅超过3%，其中四维图新跌幅超7%，必创科技跌幅超5%，华阳集团跌幅超3%。,未知,利好,中性,利空,
112,财联社4月21日电，数字乡村板块继续走弱，跌幅超过3%，其中京蓝科技跌幅超9%，广电网络跌幅超9%，东方国信跌幅超8%。,中性,未知,利空,利好,
113,【CPO概念震荡回升华工科技再创历史新高】财联社4月21日电，CPO板块震荡回升，华工科技大涨8%，股价再创历史新高，先前永鼎股份涨停，通宇通讯大涨5%，锐捷网络、联特科技、太辰光、仕佳光子快速跟涨。,未知,利好,中性,利空,
114,财联社4月21日电，横琴新区板块继续走弱，跌幅超过3%，其中全志科技跌幅超14%，光库科技跌幅超7%，汇金科技跌幅超7%。,利好,利空,中性,未知,
115,财联社4月21日电，人脸识别板块继续走弱，跌幅超过5%，其中云从科技跌幅超9%，奥比中光跌幅超9%，蓝特光学跌幅超8%。,未知,中性,利空,利好,
116,财联社4月21日电，eSIM板块继续走弱，跌幅超过5%，其中思特奇跌幅超9%，澄天伟业跌幅超8%，天喻信息跌幅超7%。,未知,中性,利空,利好,
117,财联社4月21日电，人工智能板块继续走弱，跌幅超过5%，其中博汇科技跌幅超13%，浩瀚深度跌幅超13%，凌云光跌幅超12%。,利空,利好,未知,中性,
118,财联社4月21日电，MLOps板块继续走弱，跌幅超过8%，其中创意信息跌幅超12%，传音控股跌幅超9%，东方国信跌幅超9%。,未知,中性,利好,利空,
119,财联社4月21日电，铁矿石板块继续走弱，跌幅超过3%，其中河钢资源跌幅超6%，厦门信达跌幅超5%，中信金属跌幅超5%。,中性,利好,利空,未知,
120,财联社4月21日电，边缘计算板块继续走弱，跌幅超过5%，其中顺网科技跌幅超11%，创意信息跌幅超11%，初灵信息跌幅超11%。,利好,未知,利空,中性,
121,财联社4月21日电，次新股板块继续走弱，跌幅超过3%，其中杰华特跌幅超13%，C颀中跌幅超13%，凌云光跌幅超13%。,未知,利空,中性,利好,
122,财联社4月21日电，字节跳动板块继续走弱，跌幅超过5%，其中每日互动跌幅超12%，中文在线跌幅超10%，万润科技跌幅超9%。,中性,未知,利空,利好,
123,财联社4月21日电，国产软件板块继续走弱，跌幅超过6%，其中赛意信息跌幅超13%，*ST蓝盾跌幅超12%，永信至诚跌幅超12%。,未知,利空,利好,中性,
124,财联社4月21日电，MLED板块继续走弱，跌幅超过6%，其中乾照光电跌幅超12%，明微电子跌幅超11%，路维光电跌幅超10%。,未知,利好,中性,利空,
125,财联社4月21日电，Web3.0板块继续走弱，跌幅超过6%，其中凌云光跌幅超13%，顺网科技跌幅超11%，中文在线跌幅超10%。,中性,利空,利好,未知,
126,【统计局：4月中旬生猪（外三元）价格环比下降2.8%】财联社4月24日电，国家统计局数据显示，对全国流通领域9大类50种重要生产资料市场价格的监测显示，2023年4月中旬与4月上旬相比，19种产品价格上涨，29种下降，2种持平。其中，生猪（外三元）价格为14.1元/千克，环比下降2.8%。,利空,中性,未知,利好,
127,财联社4月24日电，液冷IDC板块继续走强，涨幅超过3%，其中科创新源涨幅超7%，高澜股份涨幅超7%，烽火通信涨幅超6%。,中性,未知,利好,利空,
128,【CPO板块持续走强永鼎股份5天3板】财联社4月24日电，CPO板块持续走强，永鼎股份录得5天3板，德科立、中际旭创大涨超10%，烽火通信冲板，凌云光、博创科技大涨超6%。消息面上，LightCounting预计，2023年开始800G光模块有望启动新一轮增长，预计在2026年突破30亿美元大关。,中性,未知,利好,利空,
129,上证报中国证券网讯4月24日，ChatGPT板块震荡反弹，截至9：50，世纪天鸿大涨超17%，昆仑万维、吴通控股大涨超6%，星辉娱乐、科大讯飞、方直科技等跟涨。,利好,利空,中性,未知,
130,上证报中国证券网讯4月24日，传媒股震荡反弹，截至10：03，世纪天鸿、思美传媒、读者传媒涨停，南方传媒、中国出版、芒果超媒等跟涨。,中性,利好,未知,利空,
131,财联社4月24日电，液冷IDC板块继续走强，涨幅超过4%，其中烽火通信涨幅超10%，科创新源涨幅超8%，浪潮信息涨幅超6%。,利空,未知,中性,利好,
132,财联社4月24日电，云游戏板块继续走强，涨幅超过6%，其中星辉娱乐涨幅超20%，游族网络涨幅超10%，三七互娱涨幅超9%。,未知,中性,利好,利空,
133,财联社4月24日电，CPO板块继续走强，涨幅超过4%，其中中际旭创涨幅超13%，永鼎股份涨幅超10%，联特科技涨幅超8%。,利好,中性,未知,利空,
134,财联社4月24日电，电竞板块继续走强，涨幅超过4%，其中星辉娱乐涨幅超20%，*ST新文涨幅超14%，昆仑万维涨幅超13%。,中性,未知,利空,利好,
135,【午评：沪指探底回升跌0.15%AI应用方向再度大涨】财联社4月24日电，市场早盘延续调整，沪指相对偏强，创业板指跌超1%。盘面上，AI概念股展开反弹，传媒、游戏板块领涨，星辉娱乐、世纪天鸿20CM，思美传媒、南方传媒等多股涨停；CPO概念股再度活跃，德科立20CM涨停，永鼎股份、烽火通信涨停；数字货币概念股震荡走强，高伟达、先进数通涨超10%，翠微股份涨停。新冠药概念股开盘大涨，拓新药业、翰宇药业涨超10%，盘龙药业涨停。下跌方面，半导体板块陷入调整，圣邦股份跌超10%，泰晶科技跌停。总体上个股上涨和下跌家数基本相当。沪深两市今日成交额6886亿，较上个交易日缩量1011亿。板块方面，传媒、手机游戏、CPO、新冠药等板块涨幅居前，旅游、存储芯片、CRO、半导体等板块跌幅居前。截至上午收盘，沪指跌0.15%，深成指跌0.39%，创业板指跌1.08%。,利空,未知,中性,利好,
136,【港股午评：恒生指数跌0.63%制药、房地产服务等板块活跃】财联社4月24日电，港股指数早盘涨跌不一，香港恒生指数跌0.63%，恒生科技指数涨0.2%。板块方面，地面运输、汽车、电力、燃气、制药、节能照明、智能家居、抗疫、房地产服务等板块活跃；酒店和度假村、客运航空公司、饮料、大数据、建筑节能、富士康概念、信息安全、黄金、消费电子、网络安全等板块走低。,未知,利好,中性,利空,
137,上证报中国证券网讯4月24日，A股三大股指午后持续走低。沪指跌逾1%，创业板指跌逾2%。截至14：42，上证指数报3265.56点，跌1.08%，成交额4411.99亿元；深证成指报11271.04点，跌1.57%，成交额5657.64亿元，两市合计成交额10069.64亿元；创业板指报2291.14点，跌2.14%，成交额2525.98亿元。盘面上看，贵金属、酒店旅游、半导体等板块跌幅居前。,利空,中性,利好,未知,
138,财联社4月25日电，CPO板块继续走弱，跌幅超过3%，其中联特科技跌幅超6%，光库科技跌幅超6%，源杰科技跌幅超4%。,中性,利空,未知,利好,
139,财联社4月25日电，CPO板块继续走弱，跌幅超过5%，其中联特科技跌幅超10%，博创科技跌幅超9%，源杰科技跌幅超8%。,利好,未知,利空,中性,
140,财联社4月25日电，液冷IDC板块继续走弱，跌幅超过3%，其中飞荣达跌幅超6%，佳力图跌幅超4%，依米康跌幅超3%。,利空,未知,中性,利好,
141,财联社4月25日电，虹膜识别板块继续走弱，跌幅超过3%，其中新开普跌幅超19%，飞天诚信跌幅超3%，水晶光电跌幅超3%。,利空,未知,利好,中性,
142,【银行股异动拉升中信银行涨超5%】财联社4月25日电，中信银行涨超5%，兰州银行、宁波银行、成都银行、平安银行、无锡银行、杭州银行等跟涨。,未知,中性,利好,利空,
143,财联社4月25日电，新冠治疗板块继续走弱，跌幅超过3%，其中贵州三力跌幅超7%，永太科技跌幅超6%，以岭药业跌幅超6%。,未知,利好,中性,利空,
144,财联社4月25日电，盐湖提锂板块继续走弱，跌幅超过3%，其中富临精工跌幅超18%，宋都股份跌幅超9%，天铁股份跌幅超5%。,未知,利空,利好,中性,
