id,question,answer
219,货币和物价是经济学中最基本的概念,
220,日本以纺织和瓷器著称,
221,菲律宾是东南亚的金融中心,
222,木炭是全球最重要的能源。,
223,世界上人口最多的国家是法国,
224,贸易战对经济增长有负面影响。,
225,尼日利亚是全球最发达的国家。,
226,英国是世界上最大的金融中心,
227,英国脱欧公投在2010年进行,
228,美联储是美国的中央银行。,
229,人口增长对经济发展有重要影响。,
230,全球最大的经济体是美国。,
231,德国以农业业著称,
232,格陵兰岛是世界上最大的海洋渔业国,
233,科技创新对经济发展没有任何作用,
234,哥伦比亚是全球最大的咖啡生产国,
235,中国是全球最大的煤炭消费国。,
236,通货膨胀会导致商品价格上涨。,
237,货币贬值会增加进口竞争力,
238,货币供应量指的是在一定时期内流通中的货币总量。,
239,全球最大的电子消费品生产国是中国。,
240,经济增长率是衡量一个国家经济健康的一个重要指标。,
241,全球贸易正在逐渐减少,
242,俄罗斯是全球最大的飞机制造国,
243,新加坡是全球最大的港口运输国,
244,人口老龄化趋势对经济发展有挑战。,
245,墨西哥是全球机械制造业的领军国家。,
246,澳大利亚是全球最大的外汇储备国,
247,巴菲特一生致力于价值投资。,
248,黎巴嫩是世界上最大的石油出口国。,
249,印度是世界上最大的工业品出口国,
250,亚当·斯密是经济学中供给和需求曲线的提出者。,
251,加纳是世界上第五大经济体,
252,印度是全球最大的煤炭消费国,
253,人均GDP是衡量一个国家经济发展水平的唯一指标。,
254,金价是影响全球金融市场的重要指标。,
255,乌克兰是世界上粮食出口最大的国家,
256,世界上人口最多的国家是中国。,
257,全球化削弱了国际贸易的增长,
258,经济学家可以利用需求曲线和供给曲线来分析市场。,
259,全球最大的电商平台是法国,
260,经济全球化促进了国际贸易。,
261,全球股市一直保持稳定,
262,保险业是全球最大的金融行业。,
263,美国是世界上最大的石油出口国,
264,全球股市会周期性波动。,
265,莱特币是首个去中心化的加密货币,
266,韩国是全球汽车制造业的领导者。,
267,摩纳哥是全球最大的私人财富管理中心,
268,欧洲自由贸易协会是世界上最大的单一市场。,
269,巴西是全球最大的国债发行国,
270,卢旺达是世界上最大的经济体。,
271,经济增长不会对就业机会产生影响,
272,巴菲特一生致力于高风险投资,
273,世界上最大的跨国公司是小米。,
274,世界上最大的经济联盟是亚洲经合组织,
275,国际货币基金组织（IMF）总部位于美国。,
276,中央人民银行是美国的中央银行,
277,华尔街位于洛杉矶曼哈顿区,
278,本国货币贬值短期内会增加出口竞争力。,
279,比尔·盖茨是世界上最富有的人,
280,英国脱欧公投在2016年进行。,
281,《纽约时报》是全球最畅销的金融报纸。,
282,全球最大的石油出口国是哥伦比亚。,
283,巴基斯坦是全球最大的农产品出口国。,
284,比特币是首个去中心化的加密货币。,
285,买入和出租股票是证券市场的基本操作,
286,全球最大的航空公司是美国联合航空公司。,
287,欧洲央行负责管理欧元区货币政策。,
288,房地产市场对经济发展有重要影响。,
289,不平等分配对社会经济稳定没有任何影响,
290,墨西哥是全球最大的出口国,
291,新加坡是一个国际金融中心。,
292,美国国内生产总值（GDP）占全球GDP的比重最高。,
293,中国是世界上最大的外汇储备国。,
294,2019年，中国是全球最大的石油生产国。,
295,沃尔玛是全球最大的电商平台,
296,国际货币基金组织（IMF）总部位于英国,
297,法国是全球最大的汽车出口国,
298,人均身高是衡量一个国家发展水平的重要指标,
299,不平等分配会影响社会经济稳定。,
300,巴西是全球最大的出口国。,
301,买入和卖出股票是证券市场的基本操作。,
302,中国的汽车产业在全球拥有最大的市场份额,
303,美元是全球最重要的储备货币。,
304,亚洲金融危机发生于2007年,
305,人均消费者物价指数是衡量犯罪率的重要指标,
306,卢森堡是全球最大的汽车制造国,
307,法国拥有世界上最多的独角兽公司,
308,科技创新是经济发展的驱动力。,
309,加拿大是世界上最大的铁矿石出口国。,
310,巴西是世界上最大的经济体,
311,区块链技术在金融领域有广泛应用前景。,
312,全球化促进了国际贸易的增长。,
313,财务管理的基本属性是成本管理,
314,从承租人的目的看，经营租赁是为了通过租赁增加长期资金,
315,反映企业所有者投入的资金所获得的盈利能力的财务指标是资本金报酬率,
316,在国际企业并购估价体系中，隐含着市场为次强式效率市场假设的方法是收益法,
317,证券投资者购买证券时，可以接受的最高价格是票面价值,
318,审计产生和发展的客观依据是加强财政经济监督,
319,如果投资者以货币资金出资，注册会计师应以被审验单位银行存款收款凭证和银行转账凭证,
320,如果同一期间不同会计报表的审计重要性水平不同，注册会计师应取其最高者,
321,取得从事证券相关业务资格的会计师事务所，每年应从业务收入中计提4%以上的事业发展基金,
322,甲有限责任公司委托会计师事务所审计，其审计报告的收件人应为甲有限责任公司全体股东,
323,如果产品的消耗定额准确、稳定，各月末在产品数量变化不大，产品成本中原材料费用所占比重较大，为了简化成本计算，月末在产品可以按所耗原材料费用计价,
324,如某投资组合由收益呈完全负相关的两只股票构成，则该组合的投资收益标准差大于其中任一股票收益的标准差,
325,监盘库存现金是注册会计师证实资产负债表所列现金是否存在的一项重要程序，被审计单位必须参加盘点的人员是出纳员和内部审计人员,
326,会计账簿在会计核算中居于重要地位，是会计核算的首要环节,
327,按照《中华人民共和国会计法》的规定，会计监督的主体为税务部门,
328,按照西方经济学家的一般划分，古典经济学时期是指从18世纪到19世纪末期,
329,被马克思评价为“重商主义的福音节”的著作是《献给国王和王太后的政治经济学》,
330,英国经济学家中，第一个以系统的形式叙述李嘉图学说的是约翰·雷姆塞·麦克库洛赫,
331,19世纪末20世纪初，特别重视和强调法律制度对社会经济制度演变所起的决定性作用的美国经济学家是艾利斯,
332,19世纪70年代初，几乎同时独立的系统阐述边际效用价值论的三个国家是英国、法国和德国,
333,一国国内在一定时期内生产的所有最终产品和劳务的市场价值根据价格变化调整后的数值被称为潜在国内生产总值,
334,“双松政策”使国民收入减少较多,
335,按照凯恩斯货币理论，货币供给增加将提高利率，从而增加投资,
336,当利率降得很低时，人们购买债券的风险将会变得很小,
337,紧缩性货币政策的运用会导致增加货币供给量，提高利率,
338,财政部是全国金融业的清算中心。,
339,负债业务是商业银行在经营过程中形成的尚未清偿的经济义务。,
340,《巴塞尔资本协议》是关于银行资本金问题的国际协议。,
341,超额准备金率的变动主要取决于商业银行的行为。,
342,"当公众可支配收入增加时,存款结构发生变化,活期存款占存款总额的比率相对降低。",
343,保费收入总额占国内生产总值的比重是指保险深度,
344,保险的本质是分配关系。,
345,财产风险中，地震风险一般被列为不保责任。,
346,风险评价是建立在风险度量基础之上的。,
347,近代中国出现的第一家民族保险公司是仁济和保险公司,
348,影响保险需求总量的诸多因素中，价格因素与总量成反比关系。,
349,纳税筹划的主体是纳税人。,
350,适用增值税、营业税起征点税收优惠政策的企业组织形式是个体工商户。,
351,纳税筹划最重要的原则是守法原则。,
352,纳税筹划与逃税、抗税、骗税等行为的根本区别是具有合法性。,
353,进出口货物完税价格的确定权属于海关。,
354,短期成本与现金的持有量呈负相关的关系,
355,放弃现金折扣的成本大小与折扣期的长短呈同方向变化,
356,领取股利的权力与股票相互分离的日期，是指除息日,
357,"如果某债券平价发行，那么当市场利率上升时,该债券的价格将低于债券面值。",
358,永久性债券的价格等于年付利息除以预期收益率。,
359,"按照世界银行的贫困线标准,1985年全世界的总的贫困率为31.00%。",
360,传统的主要以经济指标进行衡量的发展概念认为经济发展主要是经济增长。,
361,"对于发展中国家的经济发展来说,政府和市场的作用是相互补充",
362,发展中国家基础设施投资的主体是本国政府。,
363,发展中国家最重要的税源是关税,
364,Goldfeld-Quandt方法用于检验异方差性,
365,当质的因素引进经济计量模型时，需要使用虚拟变量,
366,计量经济分析工作的研究对象是社会经济系统。,
367,经济计量分析工作的基本步骤是建立模型、收集样本数据、估计参数、检验模型、应用模型,
368,描述微观主体经济活动中的变量关系的计量经济模型是微观计量经济模型,
369,弗里德曼的货币需求理论属于货币数量论,
370,凯恩斯学派主张以利率为货币政策中间目 标。,
371,根据通用的货币层次划分标准， 准货币一般是指M1和M2的差额 。,
372,凯恩斯假定， 交易货币需求基本上决定于收入水平 。,
373,认为货币供给完全由货币当局的行为所决定的理论是货币供给外生论,
374,比较利益理论认为国际贸易的驱动力是劳动生产率的差异,
375,布雷顿森林体系实际是以美国为中心的国际货币体系。,
376,当偏向出口的生产要素增长时， 国际贸易的规模将会扩大。,
377,对于两国贸易模型来说， 国际均衡价格一定处于两国贸易前的相对价格水平之间,
378,国际经济学在研究资源配置时， 作为划分界限的基本经济单位是国家,
379,微观经济学研究个量经济，宏观经济学研究总量经济。,
380,亚当·斯密是微观经济学的创始人。,
381,微观经济学要解决的问题是既定资源的配置,
382,微观经济学的最基本的假设前提是合乎理性的人的假设。,
383,如果商品A和商品B是替代品，则A的价格下降将造成B的需求曲线向左移动。,
384,KMV模型是用于信用度量方面的金融风险管理,
385,金融风险管理的第一步是风险识别,
386,金融风险管理的目标是保护金融机构的资金安全和利益，提高金融机构的稳定性和抵御风险的能力,
387,金融风险管理中的度量方法是概率统计方法对风险进行测量,
388,金融风险管理中的补救系统的目的是减小风险损失，防止风险进一步恶化和蔓延,
389,纵观世界金融监管历史，金融监管的主体和客体都经历了一个历史变迁的过程。,
390,金融混业经营不一定完全对应着集中监管，金融分业经营也不一定完全对应着分业监管。,
391,金融监管法制美国模式，以规范化闻名于世，监管严厉。,
392,金融风险是一种损失的可能性，而金融危机则是现实的巨大损失。,
393,中国证券业协会成立于1991年,
394,对投资的评估频率越高，发现损失的概率越高，就越可能受到损失厌恶的侵袭。,
395,盈余公告的漂移现象说明了市场对信息的反应受到历史信息的锚定。,
396,凯恩斯是最早强调心理预期在投资决策中作用的经济学家。,
397,在计算成长性和预期收益时，人们会因为大脑的快系统而缺少复利思维。,
398,国际开发机构在中国境内公开发行人民币债券应组成承销团，承销商应为在中国境内设立的具备债券承销资格的金融机构。,
399,OTC市场是场内市场的简称。,
400,信用债是指直接以政府信用为基础或是以政府提供偿债支持为基础而发行的债券。,
401,买卖价差法是指在交易中需要迅速而且大规模地买进或者卖出证券，不能按照预定价位成交而多支付的成本。,
402,金融市场是长期金融市场或长期资金市场，是为一年以上资本性或准资本性融资产品提供发行和交易服务的有形或无形的市场总和。,
403,中国证券投资基金业协会成立于2015年7月。,
404,资产管理是投资银行的传统核心业务,
405,证券交易按价格优先、数量优先原则竞价交易。,
406,并购公司可以通过兼并市盈率倍数高的公司来实现利润的增长,
407,开放式基金的申购与赎回价格主要取决于基金的发行价格,
408,现代意义上的投资银行起源于北美,
409,国际债券是指一国借款人在国际证券市场上以本国货币为面值、向外国投资者发行的债券。,
410,世界证券交易所的公司化改革最早开始于英国。,
411,世界上最早的证券交易所出现在英国。,
412,加拿大多伦多证券交易所于1991年推出的指数参与份额（TIPs）是严格意义上最早出现的指数基金。,
