id,question,A,B,C,D,E,answer
10,50岁，男性，查体可见颈动脉搏动明显、水冲脉及毛细血管搏动。该病人可考虑到的诊断是（）,严重贫血,甲亢,主动脉窦瘤破裂,A+B,A+B+C,E
11,6岁男孩，3天前右额碰在桌子角上，当时能哭，现右额颞部头皮隆起，局部触之有12cm×12cm波动区，无神经系统定位症状，头颅CT片示右额颞头皮肿胀。 诊断是（）。,头皮挫伤,皮下血肿,骨膜下血肿,帽状腱膜下血肿,头皮下积液,D
12,T3期多发性膀胱肿瘤的治疗方法是（　　）。,膀胱部分切除术,经尿道膀胱肿瘤切除术,膀胱内灌注化疗,放疗,根治性膀胱全切术,E
13,《国际卫生条例》要求每个国家对可能构成国际关注的突发公共卫生事件的所有事件在评估之后多长时间内应向世界卫生组织通报（）,12小时,24小时,36小时,48小时,72小时,B
14,按诊断标准，下列哪项不是诊断类风湿关节炎的必备关节表现？（　　）,关节肿痛≥6周,对称性关节肿,腕、掌指、指间关节肿,关节畸形,晨僵,D
15,病人认为自己的思想通过广播而扩散出去，尽人皆知（）。,思维扩散,思维被广播,读心症,被洞悉感,思维化声,B
16,"哺乳期妇女，左乳红肿疼痛1周，可触及波动,穿刺抽得脓液，治疗最重要的是（　　）。",全身使用抗生素,局部注射抗生素,穿刺抽脓,切开引流,保持乳汁通畅排出,D
17,不是矽肺诊断主要依据的是（）,接触粉尘的职业史,临床症状,CT检查,胸片,肺功能检查,E
18,不协调性子宫收缩乏力的恰当处理应是,针刺合谷、三阴交穴位,温肥皂水灌肠,肌注哌替啶,人工破膜,静脉滴注缩宫素,C
19,初产妇，26岁，妊娠39周，近3日头痛、视力模糊，今晨开始头痛加重，呕吐2次，急诊入院。\r随后若发现胎心率184次/分，最恰当的处理应为（）。,肌注地西泮,立即剖宫产,静脉滴注肼屈嗪,立即缩宫素引产,静脉滴注硫酸镁、甘露醇后剖宫产,E
20,初产妇，妊娠40周，临产10小时，ROA，胎心100次／分，胎儿监护见频繁晚期减速波型。下述哪种情况有条件立即行阴道助产术（产钳或胎头吸引术）（）。,先露+2，宫口开8cm，骨盆内测量无异常,先露-1，宫口开全，阴道检查骨盆无异常，矢状缝已与中骨盆前后径一致，触及大囟门,先露+3，宫口开全，骨盆内测量无异常，但宫缩乏力,先露+1，耻骨联合上方母腹触及胎头较大部分,先露+2，宫口开全，骶骨凹度差，尾骨固定上翘,C
21,除有关节肿痛外，下列哪项为类风湿关节炎诊断最有意义的表现？（　　）,足跟、足掌部位痛,关节隆起部与受压部皮下出现无痛性结节,弥漫性肺间质病变,胸腔积液（糖含量正常）,小腿皮下结节,E
22,低钾血症时，心电图表现为（）。,T波低平、Q-T间期缩短,T波高尖、Q-T间期缩短,S-T段压低，T波压低或双相、T波后出现U波,T波高尖、Q-T间期延长,S-T段压低、T波高尖,C
23,动脉导管未闭周围血管征产生的主要原因是（）,心脏存在着异常的通道,体循环血流量的明显减少,肺循环血流量的明显增多,脉压差明显的增大,收缩压明显升高,B
24,对控制慢性肾脏病变肾功能进行性减退无明确作用的措施是（　　）。,限制蛋白质的摄入,减少蛋白尿,控制血压,消除水肿,纠正血脂异常,D
25,多发性皮肌炎的特异性抗体（）,抗组蛋白抗体,抗Sm抗体,抗SSB抗体,抗Scl-70抗体,抗Jo-l抗体,E
26,反映一组观察值离散程度最好的指标是（）,几何均数,四分位数间距,中位数,算术均数,标准差,E
27,肺癌所致阻塞性肺炎有以下临床征象，除了（　　）。,短期内同一部位可反复出现炎症,血白细胞计数常不增高,抗生素治疗后炎症很快吸收消散,经抗生素治疗炎症吸收后出现肿块阴影,患者一般不发热或仅有低热,C
28,肺炎链球菌的致病力主要来源于（）,杀白细胞素,血浆凝固酶,外毒素,荚膜侵袭力,内毒素,D
29,风湿性心脏病孕妇于分娩时，正确的是（）,宫口开全后，鼓励孕妇用力屏气尽快结束分娩,胎儿娩出后，在腹部放置砂袋加压,预防产后出血，静脉注射麦角新碱,产后24小时内行输卵管结扎术,产后24小时鼓励下床轻微活动，有助于子宫复旧,B
30,腹部反跳痛的发生机制是（）,肠腔胀气,内脏肿大、充血,肿瘤淋巴结转移,炎症波及腹膜壁层,胆管结石并梗阻,D
31,肝性昏迷时，中枢神经系统的多巴胺合成减少，故应给予（　　）。,多巴胺,复方氨基酸溶液,乙酰谷氨酰胺,左旋多巴,乳果糖,D
32,骨关节炎的主要病变是（）,关节内化脓性感染,关节特异性炎症,关节软骨退变和继发性骨质增生,关节骨质疏松,骨与关节慢性疼痛,C
33,骨巨细胞瘤的好发年龄是（）,1～5岁,6～10岁,11～15岁,16～20岁,21～40岁,E
34,关于不同方法的避孕原理，错误的是（）。,安全期避孕是通过将性生活避开排卵前后1～2日的不安全期而达到避孕目的,宫内节育器通过干扰着床而达到避孕目的,阴道隔膜可阻止精子进入宫腔而达到避孕目的,口服避孕药主要通过抑制排卵、阻碍受精和着床而达到避孕目的,阴茎套可阻止精子进入阴道而达到避孕目的,A
35,关于溶血性贫血的定义，恰当的是（　　）。,红细胞破坏增加,红细胞寿命缩短,骨髓造血功能亢进,红细胞破坏增加，骨髓能代偿,红细胞破坏增加，超过骨髓代偿能力,E
36,关于推论病因与疾病因果关联的标准，错误的是（）,关联的强度,关联的时间性,关联的特异性,关联的可重复性,关联的地区性,E
37,关于新生儿溶血病的实验室检查，以下不正确的是（　　）。,红细胞、血红蛋白减少,血清间接胆红素升高,母婴ABO和Rh血型有不合的证据存在,患儿红细胞直接抗人球蛋白试验阴性可确诊Rh溶血病,网织红细胞和有核红细胞增高,D
38,患儿男，5岁。右侧阴囊包块，卧位不消失，右睾丸未扪及，透光试验阳性，正确的诊断是（　　）。,右侧斜疝,精索鞘膜积液,交通性鞘膜积液,右睾丸鞘膜积液,睾丸肿瘤,D
39,患儿女，2岁。智能落后，表情呆滞，眼距宽，眼裂小，鼻梁低，口半张，舌伸出口外，皮肤细嫩，肌张力低下，右侧通贯手。最可能的诊断是（）,唐氏综合征（21-三体综合征）,先天性甲状腺功能减退症,软骨发育不良,佝偻病,苯丙酮尿症,A
40,患者，男，40岁，干部。近1个月出现情绪低落，对工作及娱乐没有兴趣，卧床多，不思饮食，入睡困难，早醒，有轻生想法。经过上述所选择药物治疗2周后，患者的症状逐渐加重，表现为卧床不动，不说话，并有严重的自杀企图。 最可能的诊断是（）。,分裂情感性精神障碍,精神分裂症后抑郁,广泛性焦虑障碍,适应障碍,抑郁发作,E
41,患者，男，42岁，肝硬化病史10年。消化性溃疡病史4年，1小时前突然呕血约1200mL来诊。查体：心率120次/min，血压80/50mmHg，尿少。该患者首先应采取的紧急措施是（　　）。,升压药提高血压,抗纤维蛋白溶解剂止血,急诊内镜检查明确出血部位,三腔两囊管压迫止血,迅速补充血容量,E
42,患者，男，45岁，体检发现空腹血糖8mmol/L，餐后2小时血糖13mmol/L，血清甘油三酯3.5mmol/L，低密度脂蛋白3.6mmol/L，无明显不适，半年内体重下降10kg，查体，BP160/100mmHg，BMI28，心肺腹查体无阳性发现。该患者首选的调脂药物是（）。,他汀类,多烯酸乙酯,贝特类,维生素E,烟酸类,C
43,患者，女，17岁。疲乏无力，心烦易怒，怕热多汗半年，易饿，体重下降11kg，月经量减少，经期仅1～2天，查体，P108次/分，BP140/70mmHg，皮肤微潮，手有细颤，轻微突眼，甲状腺Ⅰ度弥漫肿大，质软，无触痛。\r该患者最可能的诊断是（）。,亚急性甲状腺炎,糖尿病,单纯性甲状腺肿,自主神经功能紊乱,Graves病,E
44,患者，女，28岁，婚后4年未孕。月经初潮12岁，5年前起月经稀发，经量减少，近两年闭经，体重增加8kg。查体：BP120/80mmHg，BMI26，双乳有触发泌乳，最可能的诊断是（）。,垂体泌乳素瘤,卵巢功能早衰,希恩综合征,腺垂体功能减退症,多囊卵巢综合征,A
45,患者，女，30岁。G2P1。既往月经规律，月经量少。身体健康。要求长期采取避孕措施。该方法主要的避孕机制是（）。,影响精子获能,抑制卵巢排卵,影响受精卵着床,改变宫颈黏液性状,阻止精子和卵子相遇,C
46,患者，女，38岁，接触性出血1月余，白带有恶臭，妇科检查，宫颈Ⅱ度糜烂，前唇有5cm大小的质地脆赘生物，易出血，子宫正常大，三合诊（-）。\r最可能的诊断是（）,子宫颈息肉,子宫颈结核,子宫颈癌,子宫内膜异位症,宫颈绒癌,C
47,患者，女，45岁。严重骨盆骨折，24小时尿量200ml，血钾5.9mmol/L，二氧化碳结合力13mmol/L，血尿素氮27mmol/L，下列治疗措施不正确的是（）。,10%葡萄糖酸钙溶液20ml，缓慢静脉注射,11.2%乳酸钠溶液60ml，缓慢静脉注射,口服钠型树脂10g，每日三次,血液透析,输同型库存血200ml,E
48,患者，女，48岁，严重骨盆骨折，24小时尿量200 m1，血钾5.9 mmol/L，二氧化碳结合力13mmol/L，血尿素氮27mmol/L，下列治疗不当的是（　　）。,血液透析,11.2%乳酸钠溶液60ml缓慢静脉注射,口服钠型树脂10g，每日3次,10%葡萄糖酸钙溶液20ml缓慢静脉注射,输同型库存血200ml,E
49,患者，女，58岁。双下肢及颜面水肿2个月。尿蛋白5.2g/24h，血白蛋白19g/L，1天来出现肉眼血尿，首选应考虑的诊断是（　　）。,肾小球病进展,尿路感染,尿路结石,急性肾炎,肾静脉血栓,E
50,患者看到其父的鼻子变得特别大，眼睛一只大一只小，极不对称，这症状属于（）。,幻觉,妄想,感觉过敏,错觉,感知觉综合障碍,E
51,患者男，14岁。平素喜踢足球，近一周右小腿上端前侧疼痛。查体：右小腿上端前侧隆起，皮肤无红肿、发热及静脉怒张，压痛明显。X线片示胫骨结节骨骺增大、致密。应首先考虑的诊断是胫骨结节（）,撕脱骨折,骨髓炎,骨结核,骨软骨瘤,骨软骨病,E
52,患者男，18岁。左上臂近端疼痛、肿胀1个月。就诊时X线片显示：左肱骨上段膨胀性囊状透亮区，边界清，内有骨性间隔将囊腔分成蜂窝状。最可能的诊断是（）,骨囊肿,骨纤维性结构不良（又称骨纤维异样增殖症）,动脉瘤样骨囊肿,内生性软骨瘤,骨肉瘤,C
53,患者已发生小脑幕切迹疝，颅压急剧增高，病情急转直下，其主要原因是（）。,中脑受压，脑脊液循环受阻,严重脑缺氧,严重脑水肿,呼吸循环紊乱,延髓受压,A
54,急性溶血或慢性溶姐急性发作与慢性溶血不同之处为（　　）。,出现贫血,出现黄疸,出现乏力、头晕,出现高热、休克可伴有血红蛋白尿,出现心率快、气短、心前区杂音,D
55,急性心肌梗死第3周出现发热和心包摩擦音，血沉30mm/h，血白细胞6.0×109/L，中性粒细胞55%，可能是（　　）。,急性心肌梗死的反应性心包炎,心脏破裂,急性心肌梗死后综合征,伴发病毒性心包炎,肺炎,C
56,鉴别尿路感染与尿道综合征的最根本特点是（　　）。,尿白细胞的多少,尿红细胞的多少,尿白细胞管型的有无,真性细菌尿的有无,尿路刺激症状的有无,D
57,经四组率比较的χ2检验，得P<0.001，可认为（）,各总体率均不相同,各总体率间相差较大,至少有两总体率间存在差别,最多有两总体率间存在差别,各样本率间均有差别,C
58,开放性颅脑损伤清创中，最主要的处置原则是（）。,清除污染物及异物,充分修剪创缘皮肤,严密缝合或修补硬膜,及时使用广谱抗生素,皮下放置引流,A
59,开展以医院为基础的病例对照研究，最常见的偏倚是（）,入院率偏倚,回忆偏倚,现患病例-新发病例偏倚,不依从偏倚,失访偏倚,C
60,可能发展为慢性支气管炎急性发作的局部主要致病菌是（　　）。,奈瑟球菌,甲型链球菌,流感嗜血杆菌,草绿色链球菌,肺炎链球菌,C
61,可在培养基中生长繁殖的微生物是（）,细菌,类毒素,梅毒螺旋体,衣原体,病毒,A
62,劳累时有心绞痛及晕厥发作的主动脉瓣狭窄患者首选治疗为（　　）。,扩张外周动脉,强心,利尿,主动脉瓣瓣膜置换术,主动脉瓣球囊成形术,D
63,类风湿关节炎的基本病理改变是（　　）。,炎症细胞浸润,B淋巴细胞大量增殖,滑膜炎,免疫复合物沉积,关节骨性增生,C
64,链球菌感染后急性肾小球肾炎与膜增生性肾小球肾炎相鉴别的要点是（　　）。,ASO是否升高,有无前驱感染,是否伴肾病综合征表现,早期有无少尿、无尿及肾功能恶化,低补体血症是否于8周内恢复,E
65,末梢血反映骨髓功能细胞增生程度准确的指标是（　　）。,出现有核红细胞,血红蛋白与红细胞计数,网织红细胞百分数,网织红细胞绝对值,红细胞出现豪—周小体,D
66,某地某年8月发生了一起由食用蛋、奶糖制作的雪糕而引起的食物中毒，症状为腹痛、腹泻，大便如水样黄绿色便，少数病人有脓血便，部分病人体温为38～39℃，多数人潜伏期为12～24小时，最可能是下列哪一种食物中毒？（　　）,肉毒毒素中毒,葡萄球菌肠毒素中毒,变形杆菌食物中毒,沙门菌属食物中毒,副溶血性弧菌食物中毒,D
67,某度假村自行打井，在大雨之后井水受到污染，多名人员腹泻入院。我国对饮水消毒由严格规定，饮用水消毒的主要目的是（）,预防化学性中毒,预防食物中毒,保证水的感官性状良好,预防“三致”作用的发生,防止肠道传染病的发生,E
68,某患外科手术时输血500ml，近日出现黄疸，并伴肝区痛，食欲不振，厌油食等症状。查抗HCV-IgM（+），最可能的印象诊断是（）,甲型肝炎,乙型肝炎,丙型肝炎,丁型肝炎,戊型肝炎,C
69,某人在参加一次聚餐3天后，突然出现发热、腹痛和腹泻。腹泻，始为水样便，1天后转变为黏液脓血便，并有里急后重感。根据以上症状，应考虑的疾病和检查方法是（）。,伤寒：取脓血便进行免疫荧光检查,葡萄球菌食物中毒：取剩余食物分离致病菌,沙门菌食物中毒：取剩余食物分离致病菌,霍乱：取脓血便直接镜检,细菌性痢疾：取脓血便分离肠道致病菌,E
70,某社区为地方性氟中毒流行区，一般认为氟骨症多见的年龄段为（）,幼儿,学龄期儿童,青壮年,新迁入的老年人,新迁入的成年人,C
71,某医院的心内科医生，选定有特定心脏病的人群组与未患这种疾病的对照组，比较两组人群过去暴露于某种可能危险因素的比例，分析暴露于该因素是否与疾病有关，该研究为（）,病例对照研究,现况调查研究,队列研究,实验性研究,理论性研究,
72,某幼儿园有200名儿童，近一周内有30名儿童相继出现发热，手心、脚心出疹子，口腔有溃疡等症状，经诊断均为手足口病，提示该病流行强度为（）,散发,流行,大流行,暴发,聚集,
73,哪类属于高温强辐射作业（）,炼钢、炼铁作业,建筑、修路夏季施工,印染、纺织工业,印刷行业,缝纫作业,
74,男，15天，皮肤毛发色素减少，有癫痫样发作，尿有鼠尿气味。（）,Down综合征（21-三体综合征）,软骨发育不良,先天性甲状腺功能减低症,佝偻病,苯丙酮尿症,
75,男，45岁。体检发现空腹血糖8mmol／L，餐后2h血糖13mmol／L，血清甘油三酯3.5mmol／L，总胆固醇5.0mmol／L，低密度脂蛋白3.6mmol／L。无明显不适，半年内体重下降10kg。查体：BP160／110mmHg，BMI28。心肺查体无阳性发现。降血压首选的治疗药物是（）。,α受体阻滞剂,血管紧张素转化酶抑制剂,钙通道阻滞剂,利尿剂,β受体阻滞剂,
76,男，55岁。间断咳嗽、咳痰，反复发作30年，近2年来渐觉气短，发现高血压3年，吸烟36年，40支/日。查体：BP 140/90mmHg，心肺无明显阳性体征，心脏彩超未发现异常。为明确诊断首选的检查是（　　）。,胸部CT,肺功能,运动心肺功能,冠状动脉造影,核素心肌显影,
77,男性，30岁，诊为慢粒1年后出现发热，皮下出血、贫血加重，脾大5cm。骨髓检查：原淋占90%，过氧化物酶染色阴性。其可能的诊断是（　　）。,慢粒急性变,急淋,慢粒并急淋,慢粒并骨髓纤维化,慢粒急淋变,
78,男性，35岁。因上消化道大出血入院。入院后输血4000ml后突然出现全身抽搐。体检：血压135/90mmHg（18/12kPa），瞳孔等大等圆，对光反射正常，脑神经无异常。实验室检查：血清钾3.8mmol/L、钠150mmol/L，动脉血pH 7.4。最可能的诊断是（　　）。,高钾血症,低钾血症,高钙血症,低钙血症,高钠血症,
79,男性，56岁，左颈淋巴结肿大，伴发热，检查提示弥漫性混合性细胞淋巴瘤，左腹股沟淋巴结2cm×2cm大小、无压痛，脾肋下2cm，骨髓淋巴瘤细胞12%，诊断属于（　　）。,ⅡA,ⅠB,ⅢB,ⅣA,ⅣB,
80,难以鉴别的肾癌和肾囊肿，最可靠的检查方法是（　　）。,MRI,逆行肾盂造影,B超,肾动脉造影,CT,
81,尿中发现大量透明管型时，说明病变在（　　）。,肾小管和膀胱,肾小管和肾盂,肾小管和肾小球,肾小管和输尿管,肾小管和肾盏,
82,女，28岁。结节性甲状腺肿10年，近半年出现怕热、多汗。T3、T4值高于正常值近1倍。妊娠4个月，有哮喘史。最适合的治疗方法是（）。,抗甲状腺药物治疗,普萘洛尔治疗,碘剂治疗,放射性碘治疗,甲状腺大部切除术,
83,女，35岁。支气管哮喘史20年，近2周来出现活动耐力下降。该患者最重要的治疗措施是规律使用（　　）。,糖皮质激素气雾剂,长效β2受体激动剂,短效β2受体激动剂,联合吸入糖皮质激素和长效β2受体激动剂,胆碱能受体抑制剂,
84,女，48岁，发热伴对称性多关节肿痛，晨僵3个月，查ANA低滴度阳性，RF（+）和IgG补体升高，诊断最可能是（　　）。,多肌炎,系统性红斑狼疮,类风湿关节炎,舍格伦综合征（干燥综合征）,混合性结缔组织病,
85,女，55岁，风湿性心脏瓣膜病二尖瓣狭窄15年，心房颤动1年。无活动后心悸和气短，无夜间阵发性呼吸困难。既往无高血压、糖尿病、脑血管病病史。超声心动图提示左房内径5.3cm。患者抗栓治疗的首选药物是（　　）。,华法林,潘生丁（双嘧达莫）,氯吡格雷,阿司匹林,替罗非班,
86,女，76岁，持续性心房颤动2年，有脑血栓和糖尿病病史。查体：BP 120/65mmHg，心率87次/min，心脏各瓣膜区未闻及杂音，该患者最适宜的抗栓措施是（　　）。,皮下注射低分子肝素,静脉滴注肝素,口服阿司匹林,口服氯吡格雷,口服华法林,
87,女性，25岁，4个月前开始眼皮睁不起来，视物成双，自觉休息后较好。3个月前感四肢无力，经中药治疗病情尚稳定。约5天前感冒后以上症状加重，并出现吞咽困难，饮水呛咳。近2天不能下床，憋气，咳嗽，有痰。来院时体温38℃，神清，唇甲稍有发绀，呼吸肌明显无力，痰量不多。 此病人应用抗生素时首先选择（）。,卡那霉素,青霉素,庆大霉素,链霉素,多黏菌素,
88,女性，48岁，接触性出血1个月余，白带有恶臭，妇科检查：宫颈Ⅱ℃糜烂，前唇有5cm×5cm×5cm的质地脆赘生物，易出血。子宫正常大，三合诊（-）。\r确诊后，其临床期别为（）,Ⅰ a期,ⅠB1期,ⅠB2期,Ⅱa期,Ⅱb期,
89,判断膀胱肿瘤恶性程度的依据是（　　）。,血尿程度,肿瘤的数目,肿瘤的大小,肿瘤浸润深度,肿瘤细胞分化程度,
90,贫血是外周血单位体积中（　　）。,红细胞压积（血细胞比容）低于正常,红细胞数低于正常,红细胞数及血红蛋白量低于正常,红细胞数，血红蛋白量和红细胞压积低于正常,循环血量较正常者减少,
91,轻度肿大的脾脏在仰卧位时触不到，医生可用双手触诊，病人应取哪种体位（）,右侧卧位，右下肢伸直，左下肢屈曲,右侧卧位，右下肢屈曲，左下肢伸直,右侧卧位，双下肢屈曲,左侧卧位，双下肢屈曲,左侧卧位，双下肢位置同B,
92,确诊伤寒阳性率最高的检测是（　　）。,血培养,尿培养,大便培养,骨髓培养,胆汁培养,
93,妊娠期糖尿病是指（）。,既往有糖尿病的妇女出现妊娠,妊娠过程中初次发生的任何程度的糖耐量异常,妊娠中发现糖尿病，产后复查仍为糖尿病,妊娠中发现糖尿病，产后复查转为正常,以上都是,
94,实现人人享有健康这一全球策略目标的重要手段是（）,社区卫生服务,初级卫生保健,合作医疗,国际合作,消除贫困,
95,食物中铁的吸收部位主要在（　　）。,胃及十二指肠,回肠及空肠,结肠及回肠,十二指肠及空肠的上段,空肠及十二指肠,
96,属于迟发型超敏反应的试验是（　　）。,抗毒素血清皮试,皮肤发疱试验,青霉素皮试,OT试验(结核菌素试验),普鲁卡因皮试,
97,属于思维内容障碍的是（）。,妄想心境,思维奔逸,语词新作,思维中断,思维散漫,
98,晚期习惯性流产最多见的原因是,染色体异常,胎盘功能不全,宫颈内口松弛,胚胎发育异常,子宫畸形,
99,为了保证研究结果能够回答研究目的中提出的问题，使用的人、财、物、时间较少，结果可靠，应该做好的首要工作是（）,资料搜集,科研设计,资料整理,资料分析,结果的表达,
100,为明确诊断，对患者应该首选的检查项目是（　　）。,尿蛋白定量,血K＋、Cl－、Na＋、Ca2＋,血BUN、Cr,CT,肾活检,
101,系统性红斑狼疮的浆膜炎是指（　　）。,单侧胸膜炎,双侧胸膜炎,心包炎,腹膜炎,以上都是,
102,下列不属于社会卫生策略与措施的是（）,社区卫生服务,供应安全饮用水,医疗技术措施,合理配置卫生资源,突发公共卫生应急机制,
103,下列初步诊断中，不可能的是（　　）。,胃十二指肠溃疡穿孔,急性胆囊炎,急性肠梗阻,急性胰腺炎,急性胃肠炎,
104,下列各类疾病中，主要应采取第一级预防的是（）,职业病,冠心病,糖尿病,高血压,病因不明，难以觉察预料的疾病,
105,下列描述中哪项不正确？（　　）,每日尿量＜100ml为无尿,每日尿蛋白量持续＞150mg为蛋白尿,12小时尿红细胞计数＞5×105为镜下血尿,12小时尿沉渣计数管型＞104为管型尿,12小时尿白细胞计数＞10×106为白细胞尿,
106,下列哪项不是渗出性胸膜炎的原因？（　　）,阻塞性肺炎累及胸膜,纵隔肿瘤侵袭胸膜,系统性红斑狼疮,气胸,药物过敏,
107,下列哪项是经典、替代两条途径中均起作用的补体成分?（　　）,Cl,C1δ,C2,C3,C4,
108,下列哪一项是TPN的适应证（　　）。,腹泻,发热,肠梗阻,黄疸,便血,
109,小儿腹泻，中度脱水，伴中度的酸中毒，血钠含量是127mmol/L，此患儿补充累计损失量首选的液体是（）,2：3：1液,4：3：2液,2：1等张含钠液,1：1液,1/3张液,
110,小儿中度贫血的诊断指标是（）,Hb>120g/L,Hb120～90g/L,Hb90～60g/L,Hb60～30g/L,Hb<30g/L,
111,新鲜肩关节前脱位病人，治疗上首选的方法是（）,悬吊牵引,皮肤牵引,骨牵引,手法复位外固定,手术切开复位内固定,
112,一孕妇38周，胎膜早破后行催产素引产．宫缩强，产妇仅3小时即娩一活婴，2分钟后胎盘娩出，检查完整。宫颈撕裂，修补后阴道出血仍不止。抽血做试管法6分钟见凝血块，子宫时软时硬．此时的产后出血原因可能是,子宫乏力,胎盘滞留,产道损伤,凝血功能障碍,子宫复旧不良,
113,医疗保险基金由国家财政支出，纳入国家预算的保险模式是（）,国家医疗保险,社会医疗保险,商业医疗保险,储蓄医疗保险,企业医疗保险,
114,乙型肝炎病毒常发生（）。,隐性感染,急性（病原消灭型）感染,慢性感染,潜伏感染,慢发病毒感染,
115,以核酸为模板进行增殖的微生物是（）,细菌,衣原体,病毒,立克次体,真菌,
116,以下不是疾病风险特点的是（）,影响因素的复杂性,补偿方式的不确定性,稳定性,社会性,群体性,
117,引起左心室后负荷增高的主要因素是（　　）。,主动脉瓣关闭不全,肺循环高压,体循环高压,回心血量增加,血细胞比容增大,
118,营养性缺铁性贫血的病因是（）,牛奶摄入量少,生长发育迟缓,未及时添加含铁辅食,过期产儿,未及时添加钙剂,
119,用荧光抗体染色镜检肾小球基底膜的复合物呈均匀线型，属于下述哪种超敏反应（　　）。,Ⅰ型超敏反应,Ⅱ型超敏反应,Ⅲ型超敏反应,Ⅳ型超敏反应,Ⅰ型+Ⅲ型超敏反应,
120,有关可卡因的叙述不正确的是（）。,具有阿片类的药理作用,有高度精神依赖性,中毒时可出现小人国样幻视,与苯丙胺有类似的药理作用,戒断后不会出现与酒精依赖时相似的躯体表现,
121,与前置胎盘发生无关的是（）。,妊娠期高血压疾病,双胎妊娠,多次刮宫,胎盘面积过大,受精卵滋养层发育迟缓,
122,与自身免疫性疾病发生无关的原因是（　　）。,隐蔽抗原释放,自身抗原发生改变,交叉抗原或分子模拟,免疫球蛋白类别转换,多克隆T细胞活化,
123,圆形图是指（）,适用于数值变量，连续性资料的频数表资料，以直方面积表达各组段的频数或频率,适用于彼此独立的资料，直条图是用等宽直条的长短来表示各统计量的大小，进行比较,适用于构成比，用长条各段的长度（面积）表达内部构成比,适用于构成比，用圆的扇形面积表达内部构成比。,适用于双变量资料，用点的密集度和趋势表达两变量间的相关关系,
124,在职业性中毒中，生产性毒物主要通过下述哪种途径进入体内（）,消化道,皮肤,呼吸道,毛囊,汗腺,
125,在IgA，IgM，IgG，IgE及IgD中，下列哪项是IgE主要的抗体效应？（　　）,调理作用,阻断中和作用,裂解细胞作用,ADCC,参与Ⅳ型超敏反应,
126,正常肺部叩诊音为（）,鼓音,过清音,浊音,实音,清音,
127,支气管扩张症的治疗主要是（）,手术治疗,气功锻炼,保持呼吸道通畅和控制感染,治疗鼻窦炎和上呼吸道感染,预防应用气管炎菌苗,
128,转复长QT间期所致尖端扭转型室速的最适宜药物是（　　）。,肾上腺素,利多卡因,普罗帕酮,硫酸镁,胺碘酮,
129,子宫肌瘤患者与临床症状轻重关系最密切的是,肌瘤大小,肌瘤生长部位,肌瘤与肌壁关系,肌瘤有无变性,肌瘤数目,
130,最适于进行输卵管结扎术的时间是（）。,月经来潮前3～4天,足月产后14天,难产后72天,人工流产术后3天,月经后3～4天,
