id,question,A,B,C,D,E,answer
28,服用胃动力药多潘立酮治疗消化不良，最佳用药时间是（ ）,餐后,餐前,餐后1小时,餐前0.5～1小时,餐前10分钟,D
29,氟尿嘧啶的抗癌作用机制（）,影响蛋白质合成和功能,直接破坏DNA结构,靶向酪氨酸激酶,干扰核酸生物合成,影响体内激素平衡,D
30,肝胃不和证可见（ ）,胸胁胀痛，腹胀纳呆,胸胁胀痛，胃脘胀满,脘腹胀满，尿少水肿,胸胁灼痛，咳嗽咯血,颧红胁痛，腰膝酸软,B
31,高血压伴高钾血症患者慎用的药物是（ ）,依那普利,氢氯噻嗪,美托洛尔,氨氯地平,哌唑嗪,A
32,搞病毒药阿昔洛韦在静脉滴注时滴速必须缓慢，否则可能引起的不良反就百,急性肝衰竭,肺部纹理加重,急性肾衰竭,胰腺坏死,心功能不全,C
33,根除Hp治疗的一线方案是（ ）,雷尼替丁+阿莫西林+甲硝唑+枸橼酸铋钾,奥美拉唑+甲硝唑+克拉霉素+枸橼酸铋钾,雷尼替丁+阿莫西林+四环素+甲硝唑,西咪替丁+枸橼酸铋钾+哌仑西平+替硝唑,兰索拉唑+克拉霉素+甲硝唑+氧氟沙星,B
34,根据磺酰脲类降糖药的构效关系，当脲上取代基为甲基环己基时，甲基阻碍环己烷上的羟基化反应，因此具有高效、长效的降血糖作用。下列降糖药中，具有上述结构特征的是,格列齐特,格列本脲,格列吡嗪,格列喹酮,格列美脲,E
35,关于被动扩散（转运）特点的说法，错误的是（　　）。,不需要载体,不消耗能量,是从高浓度区域向低浓度区域的转运,转运速度与膜两侧的浓度差成反比,无饱和现象,D
36,关于胆石症的患者教育，叙述错误的是（ ）,低胆固醇饮食,使用抗菌药物,避免快速减重和不吃早餐,有消化不良症状应做鉴别诊断,右上腹胀也可能是由脂肪肝引起起,B
37,关于患者用药注意事项的说法错误的是,应定期监测地高辛血药浓度,在患者症状好转后，应立即停用比索洛尔,应注意观察是否有黑便,应定期监测血压、心率,应依情况调整地高辛剂量,B
38,"关于口服缓释、控释制剂的临床应用与注意事项的说法,错误的是()","控释制剂的药物释放速度恒定,偶尔过量服用不会影响血药浓度",缓释制剂用药次数过多或增加给药剂量可导致血药浓度增高,部分缓释制剂的药物释放速度由制剂表面的包衣膜决定,控释制剂的服药间隔时间通常为12小时或24小时,"缓释制剂用药次数不够会导致药物的血药浓度过低,达不到应有的疗效",A
39,关于洛伐他汀的性质和结构，错误的是（）,通过微生物发酵所得HMG-C0A还原酶抑制剂,结构中含有内酯环,为前体药物,具有多个手性中心,临床使用其钙盐注射剂,E
40,关于平脉象特点的叙述，错误的是（ ）,一息脉来四至，和缓有力,脉象从容有节，不快不慢,夏季脉稍洪，冬季脉稍弱,可显现于寸口的背侧,可从尺部斜向手背,C
41,关于栓剂基质聚乙二醇的叙述，错误的是（　　）。,聚合度不同，其物理性状也不同,遇体温不熔化但能缓缓溶于体液中,为水溶性基质，仅能释放水溶性药物,不能与水杨酸类药物配伍,为避免对直肠黏膜的刺激，可加入约20%的水,C
42,关于药物和药品下列说法错误的是（　　）。,药物可以影响、改变或查明机体的生理功能及病理状态,药品质量无等级之分，只有符合规定与不符合规定之分,药品可用于预防、治疗、诊断人的疾病,药物只包括化学药和中药,药品具有结构复杂性、医用专属性和质量严格性,D
43,关于药物制剂稳定性的说法，错误的是（　　）。,运用化学动力学原理可以研究制剂中药物的降解速度,药物制剂稳定性影响因素试验包括高温试验、高湿试验和强光照射试验,药物制剂稳定性主要研究药物制剂的物理稳定性,加速试验是在（40±2）℃、相对湿度（75±5）%的条件下进行稳定,长期试验是在（25±2）℃、相对湿度（60±10）%的条件下进行稳定,C
44,"关于制剂质量要求和使用特点的说法,正确的是()",注射剂应进行微生物限度检查,眼用液体制剂不允许添加抑菌剂,生物制品一般不宜制成注射用浓溶液,"若需同时使用眼膏剂和滴眼剂,应先使用眼膏剂","冲洗剂开启使用后,可小心存放,供下次使用",C
45,冠状动脉粥样硬化心脏病的患者，如没有用药禁忌症，欲服用阿司匹林作为一级预防，最佳剂量范围是,25-50㎎∕d,25-75㎎∕d,75-150㎎∕d,150-300㎎∕d,300-500㎎∕d,C
46,虎杖的性味是（）。,辛苦寒,辛苦温,辛甘寒,苦甘温,辛咸寒,A
47,"患儿，男，50天，体重5kg,时值夏季，体温37.9℃，出现烦躁，哭闹不安，无其他症状。其家人到药店询购买退热药，药师应推荐（）",减少衣被，可物理降温或必要时就诊,阿苯片，半片，研碎后溶于少量温开水服务,阿司匹林泡腾片（500mg）1/10片，溶于少量温开水服用,对乙酰基酚片（500mg）1/10片，溶于少量温开水服用,布洛芬口服液（0.1g/10ml)3ml，口服,A
48,患者，男，42岁，胃癌根治术后，病理为胃窦低分化腺癌，肝肾功能正常，化疗方案为紫杉醇+顺铂+氟尿嘧啶。氟尿嘧啶的适应证不包括（）,消化道肿瘤,绒毛膜上皮癌,乳腺癌、卵巢癌,肺癌,纤维瘤,E
49,患者，男，56岁，有高血压病史4年。体检:血压156/96mmhg，无主动脉狭窄。医师处方依那普利片控制血压。服药2个月后，血压控制未达标，经进一步检查，该患者伴同型半胱氨酸水平升高，宜联合应用的药品是（）,维生素A,维生素B6,维生素C,烟酸,叶酸,E
50,患者，男，62岁，无吸烟饮酒史，患高血压、高脂血症数年，未治疗。半年前就诊，查肝肾功能正常，按医嘱服用阿托伐他汀、氨氯地平。服药一个月后复查肝功能结果显示:AST145U/L，ALT134U/L，排除了其他疾病因素后，停用阿托伐他汀，肝功能逐步恢复正常。一个月后改用普伐他汀，再次出现肝功能异常。肝功能异常的不良反应与他汀类药物之间的因果关系应评价为,很可能,肯定,可能,可能无关,待评价,B
51,患者，男，65岁，糖尿病病史5年，因咳嗽、打喷嚏、鼻塞症状就诊，医师处方维C银翘片和酚麻美敏片。该处方存在的问题是,超适应证用药,剂型选用不合理,存在有风险的药物相互作用,有用药禁忌证,重复用药,E
52,"患者,男,67岁,慢性咳喘20余年,现因哮喘急性发作就诊,首选的药物是()",氨茶碱片,二羟丙茶碱片,沙丁胺醇气雾剂,异丙托溴铵气雾剂,布地奈德溶液,C
53,"患者,女,34岁,因易疲劳、体重增加、反应退钝、肌肉痉挛就诊,化验结果显示TSH增高FT3、FT4减低,临床诊断为甲状腺功能减退使用左甲状腺素钠100μgqd治疗。药师对该患者的用药指导,正确的是()","早餐后半小时,顿服","早餐前半小时,顿服",睡前顿服,晚餐后顿服,可在一天中任意时间服用,B
54,患者，女，50岁，近期出现失眠、潮热、出汗、烦躁等不适症状，临床诊断为围绝经期综合征，在使用激素替代治疗之前应先排除禁忌证。下列情况不属于禁忌证但属于慎用的是（）,乳腺增生,近6月内患活动性静脉栓塞性疾病,严重肝功能障碍,耳硬化症,脑膜瘤,A
55,患者，女，55岁，因持续性中上腹疼痛2日入院。查体:体温38℃，中上及左上腹有压痛。化验结果:白细胞计数18.7x109/L，血清淀粉酶1993U/L，血脂肪酶6116U/L。其诊断可考虑是,急性胰腺炎,急性胆囊炎,急性阑尾炎,急性胃炎,急性肠梗阻,A
56,患者，女，70岁。拟行膝关节置换术，无磺胺类药过敏史，皮试结果呈阴性。体征和实验室检查:地热，无感染，空腹血糖4.6mmol/L，血常规白细胞计数6.0×109/L，手术医师处方抗菌药物预防感染。首选的抗菌药物是（）,阿奇霉素,头孢唑林,万古霉素,克林霉素,磺胺嘧啶,B
57,患者肝中维生素K环氧化物还原酶发生变异，与香豆素类药物的亲和力降低，需要5~20倍的常规剂量的香豆素类药物才能起到抗凝作用，这种个体差异属于,高敏性,低敏性,变态反应,增敏反应,脱敏作用,B
58,"患者男,70岁,典型的“面具脸”“慌张步态”表现,临床诊断为帕金森病患者同时患有前列腺增生不宜选用的药物是()",普拉克索,苯海索,卡比多巴,甲基多巴,金刚烷胺,B
59,患者女，48岁，因反复心悸就诊，心电图示心房颤动，拟施行药物转复，应选用的药物是（ ）,胺碘酮,氟桂利嗪,硝酸异山梨酯,呋塞米,氨氯地平,A
60,患者入院诊断为肺部感染，病原学检查为耐甲氧西林金黄色葡萄球菌，使用万古霉素1000mg/次，静脉滴注，每12h1次。为使血栓性静脉炎的发生风险最小化，临床需要将万古霉素溶液的浓度稀释为4mg/ml。在配置时，需要5%葡萄糖注射液的容量是（）,250ml,48ml,100ml,480ml,800ml,A
61,患者正在使用的药物中，可使血尿酸水平开高的是,氢氯噻嗪和辛伐他汀,美托洛尔和赖诺普利,美托洛尔和辛伐他汀,氢氯噻嗪和阿司匹林,阿司匹林和赖诺普利,D
62,患者治疗3天后，感染控制不佳，痰培养及药敏报告提示病原菌为对青霉素高水平耐药的肺炎链球菌，可将抗菌药物调整为,哌拉西林他唑巴坦,头孢哌酮舒巴坦,阿奇霉素,莫西沙星,复方磺胺甲噁唑,D
63,"假如某女士在2017年5月15日20:00开始服用新一周期的药物,5月20日患者服用该药后3小时左右发生明显呕吐,对患者的用药建议是()","到21日20:00再同时服用两片药,然后在常规时间继续服药","尽快补服一片,然后在常规时间继续服药","尽快同时服用两片药，然后在常规时间继续服药,在以后的7天内要加用屏障避孕法","不再继续服用此周期药物,经过一个7天的停药期,再开始继续服用下一周期的药物","尽快同时服用两片药,然后在常规时间继续服药,不需要使用额外的避孕措施",B
64,结核病人可根据其对异烟肼乙酰化代谢速度的快慢分为异烟肼慢代谢者和快代谢者，异烟肼慢代谢者服用相同剂量异烟肼，其血药浓度比快代谢者高，药物蓄积而导致体内维生素B6缺乏，而异烟肼快代谢者则易发生药物性肝炎甚至肝坏死。白种人多为异烟肼慢代谢者，而黄种人多为异烟肼快代谢者。据此，对不同种族服用异烟肼呈现出不同不良反应的分析，正确的是,异烟肼对白种人和黄种人均易引起肝损害,异烟肼对白种人和黄种人均易诱发神经炎,异烟肼对白种人易引起肝损害，对黄种人易诱发神经炎,异烟肼对白种人和黄种人均不易诱发神经炎和引起肝损害,异烟肼对白种人易诱发神经炎，对黄种人易引起肝损害,E
65,聚维酮碘用于成人口腔黏膜及创口黏膜创面时，做法正确的是（　　）,0.05%～0.1%擦拭，作用3～5min,0.025%冲洗3～5min,0.05%浸泡30min,0.025%擦拭2min,0.25%～0.5%局部擦拭2遍，作用2min,A
66,卡托普利用于高血压的初始计量是,每次1mg,每次2.5mg,每次4mg,每次5mg,每次12.5mg,E
67,抗乙型肝炎病毒的药品是,伊曲康唑,利巴韦林,奥司他韦,拉米夫定,金刚烷胺,D
68,可使高血压患者血压升高的药物是(),速感宁胶囊,银翘解毒片,复方酚咖伪麻胶囊,抗感宁胶囊,复方田七胃痛胶囊,C
69,可以减轻环磷酰胺导致的膀胱毒性的药物是,亚叶酸钙,美司钠,二巯基丙醇,右雷佐生,硫代硫酸钠,B
70,可引起“灰婴综合征”，新生儿禁用的抗菌药物是（ ）,林可霉素类,酰胺醇类（氯霉素）,四环素类,氨基糖苷类,氟喹诺酮类,B
71,可与抗凝药发生相互作用的是（ ）,坎利酮,伐地那非,呋塞米,丙酸睾酮,特拉唑嗪,
72,口服避孕药的禁忌证不包括（）,激素依赖性肿瘤,不明原因阴道出血,重度肝功能不全,甲状腺功能減退,有血栓或血栓病史,
73,老年人对苯二氮卓类药较为敏感，用药后克制平衡功能失调，觉醒后可发生步履蹒跚，思维迟缓等症状，在临床上被称为（）,震颤麻痹症综合征,老年期痴呆,“宿醉”现象,戒断综合征,锥体外系反应,
74,"利培酮的半衰期大约为3小时但用法为一日2次,其原因被认为利培酮代谢产物也具有相同的生物活性,利培酮的活性代谢产物是()",齐拉西酮,洛沙平,阿莫沙平,帕利哌酮,帕罗西订,
75,氯吡格雷应避免与奥美拉唑联合应用，因为两者竞争共同的肝药酶，该肝药酶是,CYP2B6,CYP2C19,CYP2D6,CYP2E1,CYP1A2,
76,慢性失血所致的贫血宜选用（　　）。,叶酸,维生素K1,维生素B12,硫酸亚铁,维生素C,
77,某男，28岁。鼻塞流脓涕，量多，呈黄绿色味嗅觉差，头痛，目眩，耳鸣，口苦，心烦易怒，小便黄赤，舌红苔黄，治宜选用的中成药是（ ）,鼻炎片,藿胆片,辛夷鼻炎丸,珠黄散,鼻窦炎因服液,
78,某女，42岁。因月经不调就诊，诊断为月经后期，辨证属气滞血瘀证，宜选用的中成药是(　)。,乌鸡白风丸,加味逍遥丸,益母丸,妇科调经片,艾附暖宫丸,
79,某批次青霉素钠原料1mg相当于1670单位效价，生产规格为80万U/支的青霉素钠产品，每支所需的装量是,2.088mg,1.33mg,1.33g,0.48g,0.48mg,
80,某医师治疗热入心包、热盛动风所致的高热烦躁，神昏谵语，常用万氏牛黄清心丸。此因该成药除清热解毒外，又能（）,解郁安神,镇惊安神,开窍安神,养心安神,止痉安神,
81,男性患儿，5岁。不思进食，食而不化，神倦多汗，大便偏稀夹有不消化食物，面色少华，形体偏瘦，肢倦乏力。苔薄白，脉缓无力。诊断为厌食。宜选用的方剂是（ ）,枳实导滞丸加减,枳术丸加减,养胃增液汤加减,异功散加减,不换金正气散加减,
82,能抑制病毒DNA多聚酶的抗病毒药是（　　）。,沙奎那韦,金刚烷胺,阿昔洛韦,金刚乙烷,奥司他韦,
83,普鲁卡因在体内与受体之间存在多种结合形式，结合模式如图所示图中，B区域的结合形式是（）,氢键作用,离子-偶极作用,偶极-偶极作用,电荷转移作用,疏水作用,
84,气滞血瘀型痛经首选（　　）。,少腹逐瘀汤,膈下逐瘀汤,血府逐瘀汤,金匮温经汤,胶艾四物汤,
85,人体胃液约0.9-1.5，下面最易吸收的药物是,奎宁（弱碱pka8.0),卡那霉素（弱碱pka7.2),地西泮（弱碱pka3.4）,苯巴比妥（弱酸pka7.4）,阿司匹林（弱酸pka3.5）,
86,日剂量过大或用药时间过久，可致“金鸡纳”反应的药物是（　　）。,伯氨喹,奎宁,青蒿素,吡喹酮,哌嗪,
87,散瞳药阿托品滴眼液的禁用人群是,青光眼患者,眼底检查者,虹膜睫状体炎患者,睫状肌麻痹患者,角膜炎患者,
88,使用螺内酯的心力衰竭患者，不宜选用的药品是（）,果糖,氯化钾,氯化钙,碳酸镁,葡萄糖,
89,"适用于各类高血压,也可用于预防治心绞痛的药物是()",卡托普利,可乐定,氯沙坦,硝苯地平,哌唑嗪,
90,适用于已切除子宫的妇女的绝经激素治疗的是（ ）,单纯孕激素补充治疗,单纯雌激素补充治疗,雌孕激素序贯用药,雌孕激素连续联合用药,雄激素对抗治疗,
91,属于5-羟色胺和去甲肾上腺素再摄取抑制剂的是（）,阿米普林,氟西汀,吗氯贝胺,文拉法辛,米氯平,
92,属于铂类化合物的抗肿瘤药是（ ）,多柔比星,拓扑替康,甲氨蝶呤,他莫昔芬,奥沙利铂,
93,属于促凝血因子活性药的是（）,酚磺乙胺,氨甲环酸,血凝酶,卡巴克洛,维生素K,
94,属于芳香氨酶抑制剂的肿瘤药是,炔雌醇,他莫昔芬,阿那曲唑,丙酸睾酮,氟他胺,
95,属于胃溶型包衣材料的是,羟丙纤维素,甲基纤维素,醋酸纤维素,微晶纤维素,邻苯二甲酸醋酸纤维素,
96,属于A型单胺氧化酶抑制剂的是,阿米普林,氟西汀,吗氯贝胺,文拉法辛,米氯平,
97,随胆汁排出的药物或代谢物，在肠道转运期间重吸收而返回门静脉的现象是,零级代谢,首过效应,被动扩散,肾小管重吸收,肠肝循环,
98,他汀类药物引起的典型药源性疾病是（ ）,胃肠类疾病,肌病,神经系统疾病,血液系统疾病,心血管系统疾病,
99,通草除利水清热外，又能（　　）。,排脓,退黄,下乳,止痛,除烦,
100,通过抑制H＋泵而减少胃酸分泌的药物是（　　）。,奥美拉唑,米索前列醇,西咪替丁,哌仑西平,氢氧化铝,
101,痛风缓解期，宜选用的治疗药物是（ ）,苯溴马隆,阿司匹林,秋水仙碱,泼尼松,双氯芬酸钠,
102,维持心肌和神经肌肉的正常应激性，须静脉滴注给药的电解质是,氯化钙,氯化纳,硫酸镁,氯化钾,氯化铵,
103,为预防甲氨蝶岭所致的肾毒性，在化疗期间，除大量水化和利尿外，还应同时给予的尿路保护剂是,呋塞米,氯噻酮,美司纳,坦洛新,亚叶酸钙,
104,西咪替丁的药理作用机制是（　　）。,激动H1受体,阻断H1受体,激动H2受体,阻断H2受体,阻断质子泵受体,
105,下列不属于23价肺炎链球菌多糖疫苗建议接种人群的是（　　）。,吸烟者,70岁老人,长期居住养老院者,5岁儿童,伴有慢性肺部疾病、肾病综合征、糖尿病的45岁患者,
106,下列不属于既病防变方法的是（　　）。,人工免疫,早期诊断,早期治疗,先安未受邪之地,阻截病传途径,
107,下列关于癌痛患者的镇痛药使用原则，错误的是(),按患者疼痛程度分阶梯给药,按时给药而不是按需给药,提倡无创的给药方式,用药须个体化,"疼痛时用药,不疼痛时不用药",
108,下列关于甲状腺功能亢进症患者教育的说法错误的是(),禁食富含碘的食物,避免使用含碘药物,妊娠伴甲状腺功能亢进症患者宜选甲巯咪唑,避免饮用咖啡等兴奋性饮料,给予充足的热量、蛋白质和维生素,
109,下列关于巨幼细胞性贫血的说法错误的是(),老年人和酗酒者为高危人群,恶性贫血者需要终生维持治疗,可静脉滴注维素B12100~500μg,全胃切除的巨幼细胞性贫血患者需要终生维持治疗,"在不能确定只是单纯叶酸缺乏引起的贫血时,叶酸应联合维生素B12治疗",
110,下列关于肾功能不全患者给药方案调整的方法，错误的是,肾功能不全者首选肝胆代谢和排泄的药物,肾功能不全而肝功能正常者，可选用双通道(肝肾)消除的药物,肾功能不全又必须使用明显肾毒性的药物时，可以延长给药间隔或减少给药剂量,肾功能不全又必须使用明显肾毒性的药物时，可以同时服用碳酸氢钠来碱化尿液，以促进药物排泄，防止药源性疾病,使用治疗窗窄的药物，应进行血药浓度监测，设计个体化给药方案,
111,下列关于烫伤救治措施的说送正确的是(),创面及时外涂甲紫溶液预防感染,Ⅰ度烫伤可冷敷后外涂烧伤膏,"可用清洁塑料薄膜覆盖创面,以防创面感染",烫伤患者的镇痛镇静药物首选氯丙嗪,失水较多的患者应多饮白开水或无盐饮料,
112,下列可用于治疗黏液性水肿的药物是（　　）。,左甲状腺素,甲状腺片,丙硫氧嘧啶,甲巯咪唑,碘,
113,下列哪项不属于颗粒剂的分类？（　　）,可溶颗粒,混悬颗粒,速释颗粒,肠溶颗粒,泡腾颗粒,
114,下列物质可以作为防腐剂的是（　　）。,甘露醇,液体石蜡,苯甲酸,明胶,聚乙二醇,
115,下列药品中，不宜选用葡萄糖注射液溶解的是（　　）。,洛铂,头孢菌素,氟罗沙星,哌库溴铵,红霉素,
116,消化性溃疡抗Hp的三联疗法正确的是（ ）,兰索拉唑+阿莫西林+法莫替丁,奥菱拉唑+阿莫西林+阿奇霉素,肢体次碳酸铋+硫耱铝+甲硝唑,胶体次碳酸铋+哌仑西平+替硝唑,兰索拉唑+克拉霉素+甲硝唑,
117,小儿呼吸道感染服用琥乙红霉素颗粒，剂量为30～50mg/（kg·d），分为3～4次服用，则体重为20kg的儿童一次剂量为（　　）。,175～250mg或125～225mg,200～333mg或150～250mg,215～350mg或175～270mg,225～375mg或200～300mg,250～375mg或225～325mg,
118,新药IV期临床试验的目的是,在健康志原者中检验受试药的安全性,在患者中检验受试药的不良反应发生情况,在患者中进行受试药的初步药效学评价,扩大试验，在300例患者中评价受试药的有效性、安全性、利益与风险,受试新药上市后在社会人群中继续进行安全性和有效性评价,
119,虚喘多见（）,呼吸不畅，胸闷气短,呼吸有力，声高气粗,呼吸困难，短促急迫,呼吸困难，喉中有声,呼多吸少，气不得续,
120,需要咀嚼服用的药品是（）,泮托拉唑肠溶片,胰酶肠溶片,乳酸菌素片,胶体果胶铋胶囊,法莫替丁片,
121,盐酸多柔比星毒性作用主要是骨髓抑制和心脏毒性，产生这一副作用的原因可能是,在体内发生脱甲基化反应，产生的羟基代谢物具有较大毒性,在体内容易进一步氧化，产生的醛基代谢物具有较大毒性,在体内醌环易被还原成半醌自由基，诱发脂质过氧化反应,在体内发生氨基糖开环反应，诱发脂质过氧化反应,在体内发生脱水反应，代谢物具有较大毒性,
122,药品生产（经营）和医疗机构必须配备的药学技术人员应是（）,依法经过资格认定的,药学大专毕业的,药学本科毕业的,药学博士毕业的,一般的药学工作人员,
123,药师在提供药物信息咨询服务时长需查阅各种资料。除药品说明书外，查询妊娠及哺乳期用药可首选的书籍是()。,《新编药物学》,《药物治疗学》,《中华人民共和国药典》,《药物流行病学》,《注射药物手册》,
124,药物分子中引入羟基，可以（　　）。,增加药物的水溶性和解离度,与生物大分子形成氢键，增加受体结合力,增加药物亲水性，增加受体结合力,增加药物亲脂性，降低解离度,影响药物的电荷分布及作用时间,
125,药物口服后的主要吸收部位是（　　）。,口腔,胃,小肠,大肠,直肠,
126,药物作用在非结合靶标产生非治疗作用现有的药物通常采取的研发策略是（　　）。,一个靶标、多种疾病、多个药物,一个靶标、一种疾病、多个药物,多个靶标、一种疾病、一个药物,一个靶标、一种疾病、一个药物,多个靶标、多种疾病、多个药物,
127,胰岛细胞上的β受体属于β2亚型，根据肾上腺素受体的功能分析，对于合并糖尿病的室上性心动过速患者，宜选用的抗心律失常药物类型是（）,选择性β1受体阻断药,选择性β2受体阻断药,非选择性β受体阻断药,β1受体激动药,β2受体激动药,
128,以下不存在吸收过程的给药方式是,肌肉注射,皮下注射,椎管给药,皮内注射,静脉注射,
129,以下关于软膏剂的质量要求，错误的是（　　）。,软膏剂应无酸败、异臭、变色、变硬等变质现象,不得有油水分离及胀气现象,软膏剂的黏稠性越大，其质量越好,基质应均匀、细腻、涂于皮肤或黏膜应无刺激性,必要时可加入防腐剂、抗氧剂、增稠剂、保湿剂及透皮促进剂,
130,易经乳汁分泌的药物是特征是,蛋白结合率高,弱酸性,脂溶性大,分子量大,极性强,
131,应用高剂量的B2受体激动剂可导致的严重典型不良反应是,低镁血症,低钙血症,低钾血症,高钙血症,高钾血症,
132,"用于胆石症的非手术治疗,属于钙通道阻滞剂,不可掰开嚼碎,避免卧位服用的药物是()",熊去氧胆酸片,鹅去氧胆酸片,匹维溴铵片,山莨菪碱片,消炎利胆片,
133,用于习惯性流产治疗的是（ ）,泼尼松龙,雌二醇,黄体酮,司坦唑醇,甲状腺片,
134,有关乳剂特点的错误表述是（　　）。,乳剂中的药物吸收快，有利于提高药物的生物利用度,水包油型乳剂中的液滴分散度大，不利于掩盖药物的不良臭味,油性药物制成乳剂能保证剂量准确、使用方便,外用乳剂能改善对皮肤、黏膜的渗透性，减少刺激性,静脉注射乳剂具有一定的靶向性,
135,幼儿期甲状腺素缺乏可导致（　　）。,呆小病,先天愚型,巨人症,侏儒症,甲状腺功能低下,
136,与硫酸亚铁同用可生成难溶性化合物的是（）,各种白酒,乳酸食品,葡萄柚汁,盐腌海鱼,茶叶,
137,与头孢曲松钠直接混合，会导致微粒形成的注射液是（　　）。,氯化钠注射液,葡萄糖注射液,葡萄糖氯化钠注射液,乳酸钠林格注射液,氯化钾注射液,
138,运动员参赛时非禁用的药是（　　）。,利尿药,合成类固醇,钙离子通道阻滞剂,麻醉性镇痛剂,β受体阻断剂,
139,在喷雾剂中，局部作用于肺的雾化粒径大小最适宜的是（　　）。,2～8μm,3～10μm,4～12μm,4～10μm,5～15μm,
140,长期大量服用可引起视力模糊、乳腺肿大，并有出现血栓性静脉炎或栓塞危险的是,维生素A,维生素B6,维生素C,维生素D,维生素E,
141,长期应用高剂量雄激素需监测（ ）,血压,血糖,肾功能,血钙,血钠,
142,"针对患者病情,临床加用胰岛素治疗,应选用的治疗方案是()","门冬胰岛素餐前30~60min,皮下注射,tid","甘精胰岛素睡前30min,皮下注射,qd","普通胰岛素餐前30min,皮下注射,qd","低精蛋白锌胰岛素餐前30min,皮下注射","精蛋白锌胰岛素餐前30min,皮下注射,tid",
