id,question,A,B,C,D,answer
66,一个公司的流动比率大于1，说明该公司()。,短期偿债能力绝对有保障,营运资金大于零,速动比率大于1,资产负债率大于1,B
67,一行三会构成了中国金融业()的格局。,同业监管,混业监管,多重监管,分业监管,D
68,已知某种商品的需求价格弹性系数是0.5，当价格为每台32元时，其销售量为1000台，如果这种商品价格下降10％，在其他因素不变的条件下，其销售量是()台。,1050,950,1000,1100,A
69,以个人为发行对象的非流通国债，一般是吸收个人的（）。,大额储蓄资金,小额储蓄资金,投资资金,短期闲置资金,B
70,以下不属于中央银行的职能的是()。,发行的银行,企业的银行,银行的银行,政府的银行,B
71,以下关于普通投资者和专业投资者之间相互转化的说法错误的是()。,第二类专业投资者可以书面告知经营机构选择成为普通投资者，经营机构有权自主决定是否同意投资者转化为普通投资者,普通投资者申请成为专业投资者应当以书面形式向经营机构提出申请并确认自主承担可能产生的风险和后果，提供相关证明材料,经营机构应当通过追加了解信息、投资知识测试或者模拟交易等方式对投资者进行谨慎评估，确认其符合要求，说明对不同类别投资者履行适当性义务的差别，警示可能承担的投资风险，告知申请的审查结果及其理由,经营机构有权自主决定是否同意投资者转化为专业投资者,
72,以下关于自营业务内部控制的说法错误的是()。,"建立健全自营业务的授权体系,确保自营部门及员工在授权范围内行使相应的职责",自营业务的投资决策和交易执行等职能应相应分离,自营业务和投资管理业务可以一起操作,重要投资要有详细研究报告、风险评估及决策记录,
73,因金融产品设计、运营和委托人提供的信息不真实、不准确、不完整而产生的责任（）。,由委托人承担，证券公司不承担任何担保责任,由委托人和证券公司共同承担责任,由证券公司承担，委托人不承担任何担保责任,委托人和证券公司均不应承担,
74,应当事先经基金管理人负责基金销售业务的高级管理人员和督查长检查，出具合规意见书的是()。,基金销售市场分析报告,其他基金销售机构的基金宣传推介资料,基金销售适用性管理制度,基金管理人的基金宣传推介资料,
75,用算法交易的终极目标是()。,获得alpha(a),获得beta(p),快速实现交易,减少交易失误,
76,用于衡量客户在某一时点上能够真正支配的财富价值的是（  ）。,净资产,净现金流,总资产,现金流入,
77,"由银行业金融机构作为发起机构,将信贷资产信托给受托机构,由受托机构发行的、以该财产所产生的现金支付其收益的证券为()。",财务公司债券,商业银行次级债,资产支持证券,中央银行票据,
78,由证券自身的内在属性或基本面因素决定，不受外界影响的相对客观的是（）。,内在价值,市场价格,公允价值,远期价格,
79,有限责任公司的成立时间为()。,申请设立登记日期,营业执照签发日期,章程制定日期,足额缴纳出资额日期,
80,有限责任公司的业务执行机关是()。,股东会,董事会,监事会,理事会,
81,诱骗投资者买卖证券、期货合约罪属于()。,结果犯,预测犯,原因犯,过程犯,
82,与客户权益变动相关业务的经办人员之间，应当建立（）机制。,监督,管理,制衡,审核,
83,与认购、认沽期权价值均为正相关关系的期权价值影响因素是()。,标的证券价格,执行价格,无风险利率,到期时间,
84,允许权证持有人以与主债券相同的价格和收益率向发行人购买额外债券的是（）。,双货币债券,可转换欧洲债券,附权益权证债券,附债务权证债券,
85,在()，创业公司的研究和开发费用较高，销售收入较低。,幼稚期,成长期,成熟期,衰退期,
86,在法定的会计账簿以外另立会计账簿的，由()以上人民政府财政部门责令改正，处以5万元以上50万元以下的罚款。,镇级,县级,市级,省级,
87,在经济周期的四阶段下，大类行业的板块轮动规律基本符合投资时钟的内在逻辑，一般来说，在收缩阶段表现较好的是（）。,能源、材料、金融,工业、日常消费、医疗保健,能源、金融、可选消费,医疗保健、公共事业、日常消费,
88,在弱式有效市场中，（）。,不存在套利机会，技术分析不能获得超额收益,不存在套利机会，技术分析可以获得超额收益,存在永久套利机会，技术分析不能获得超额收益,存在永久套利机会，技术分析可以获得超额收益,
89,在上市公司增资发行方式中，公司发行可转换债券的主要动因是()。,不仅募集到所需资金，而且完成了股份有限公司的设立或转制，成为一家上市公众公司,扩大股东人数，分散股权，增强股票的流动性，并可避免股份过度集中,保护原股东的权益及其对公司的控制权,增强证券对投资者的吸引力，能以较低的成本筹集到所需要的资金,
90,在市场风险管理的久期分析中，当久期缺口为（  ）时，如果市场利率下降，流动性也随之减弱；如果市场利率上升，流动性也随之增强。,正值,负值,零,大于等于零,
91,在投资学中，我们把真实无风险收益率与预期通货膨胀率之和称为()。,到期收益率,名义无风险收益率,风险溢价,债券必要回报率,
92,在我国证券交易所的证券交易中，不受10%涨跌幅限制的是()。,已上市A股,已上市B股,首日上市的证券,已上市基金,
93,在信用风险预警分析中，比较侧重定量分析的是()。,黑色预警法,蓝色预警法,红色预警法,橙色预警法,
94,在证券投资的宏观经济分析中，()主要侧重于分析经济现象的相对静止状态。,总量分析,结构分析,线性分析,回归分析,
95,在中小企业板块上市的股票，连续()个交易日内，公司股票通过深圳证券交易所交易系统实现的累计成交量低于()万股时，深圳证券交易所对其交易实行退市风险警示。,90；150,120；150,90；300,120；300,
96,债券的净价报价是指()。,全价报价减累积应付利息,现金流贴现值报价,本金报价,累计应付利息报价,
97,债券票面利率又称为()。,实际收益率,名义利率,到期收益率,持有期收益率,
98,债券作为证明()关系的凭证，一般以有一定格式的票面形式来表现。,所有权,产权,债权债务,委托,
99,战略投资者应当承诺获得配售的股票持有期限不少于()个月。,3,6,9,12,
100,账户存续期间证券公司营业部应每（）年对自然人客户信息进行一次全面核查。,1,3,5,2,
101,证券登记结算公司的职能不包括()。,证券账户、结算账户的设立和管理,证券持有人名册登记及权益登记,对证券交易活动进行管理,受发行人委托派发证券权益,
102,证券公司办理经纪业务，接受客户的全权委托买卖证券的。责令改正，没收违法所得，并处以（）的罚款，可以暂停或者撤销相关业务许可。,5万元以上10万元以下,3万元以上10万元以下,5万元以上20万元以下,5万元以上30万元以下,
103,证券公司从事证券经纪业务，下列做法中不正确的是()。,应当客观说明公司业务资格、服务职责、范围等情况,不得提供虚假、误导性信息,不得采取不正当竞争手段开展业务,按照风险分散的原则指导投资者参与证券交易活动,
104,证券公司的证券自营账户，应当自开户之日起()个交易日内报证券交易所备案。,2,3,5,10,
105,2008年12月16日，()股份有限公司挂牌，我国政策性银行改革取得重大进展。,中国银行,中国进出口银行,中国农业发展银行,国家开发银行,
106,()的主要业务是发起设立基金和管理基金。,基金持有人,基金管理人,中国证监会,基金托管人,
107,（）是对剩余流动性的弹性。,估值杠杆,利润杠杆,运营杠杆,财务杠杆,
108,（）是客户在指定商业银行开立的用于记载客户交存的担保资金的明细数据的账户。,客户信用资金账户,客户信用证券账户,客户信用交易担保资金账户,客户信用交易担保证券账户,
109,（）是指采用相关措施来降低风险的损失频率或影响程度。,风险偏好,风险限额,风险缓释,风险拨备,
110,（）是指投资者(法人或自然人)购买股票、债券、基金券等有价证券以及这些有价证券的衍生品，以获取红利、利息及资本利得的投资行为和投资过程，是直接投资的重要形式。,证券投资,实物投资,房地产投资,大宗商品投资,
111,（）是指由自然人、法人和其他组织依照《合伙企业法》订立合伙协议，共同出资，共担风险，共享收益，对合伙企业债务承担责任的经营性组织。,合伙企业,有限责任公司,股份有限公司,公司,
112,()是指债券持有人具有按约定条件将债券与债券发行公司以外的其他公司的普通股票交换的选择权。,附有出售选择权条款的债券,附有赎回选择权条款的债券,附有可转换条款的债券,附有交换条款的债券,
113,（）受发行人的委托派发证券权益，依法提供与证券登记结算业务有关的查询、信息、咨询和培训服务。,上市公司,中国证券业协会,证券交易所,证券登记结算公司,
114,按运作方式不同，证券投资基金可分为（）。,债券基金、股票基金与货币市场基金,封闭式基金与开放式基金,成长型基金与收入型基金,契约型基金与公司型基金,
115,按照《证券公司信息隔离墙制度指引》的要求，()对证券公司信息隔离墙制度的建立和执行情况进行自律管理。,中国证券业协会,中国证监会,证券交易所,中登公司,
116,按照客户与企业的关系分类，客户类型不应包括（）。,非客户,潜在客户,目标客户,国内客户,
117,按照债券形态分类，无记名国债属于(()。,实物债券,记账式债券,凭证式债券,电子式债券,
118,背信运用受托财产罪侵犯的客体是()。,金融管理秩序和客户的合法权益,复杂客体,自然人和单位,特殊客体,
119,被中国证监会依法吊销执业证书或者因违反本办法被协会注销执业证书的人员，协会可在()年内不受理其执业证书申请。,2,3,4,5,
120,参加证券业从业资格考试的人员，违反考场规则，扰乱考场秩序的，在()年内不得参加资格考试。,1,2,3,4,
121,曾在上海证券交易所、深圳证券交易所上市交易的权证，存续时间一般为自权证上市之日起()。,6个月以上24个月以下,6个月以上12个月以下,3个月以上24个月以下,3个月以上12个月以下,
122,场外市场价格决定的主要方式是（）。,公开竞价,连续竞价,集合竞价,协商议价,
123,陈小姐将1万元用于投资某项目，该项目的预期收益率为10％，项目投资期限为3年，每年支付一次利息，假设该投资人将每年获得的利息继续投资，则该投资人三年投资期满将获得的本利和为（）元。,13310,13000,13210,13500,
124,除交易所交易的标准化期权、权证之外，还存在大量场外交易的期权，这些新型期权通常被称为()。,欧式期权,美式期权,修正美式期权,奇异型期权,
125,创业板市场的特点不包括()。,前瞻性,低风险,监管要求严格,明显的高技术产业导向,
126,从经济学角度讲，套利是()。,人们利用不同证券或组合的期望收益率不同，通过调整不同证券或组合的构成比例而实现风险收益的行为,人们利用不同证券或组合的期望收益率不同，通过调整不同证券或组合的构成比例而实现无风险收益的行为,人们利用同一资产在不同市场间定价不一致，通过资金的转移而实现风险收益的行为,人们利用同一资产在不同市场间定价不一致，通过资金的转移而实现无风险收益的行为,
127,从业人员取得执业证书后，发生下列（）情形的，新聘用机构应当在上述情形发生后10日内向协会报告，由协会变更该人员执业注册登记。,辞职,与原聘用机构解除劳动合同,不为原聘用机构所聘用,变更聘用机构,
128,当行业处于不同的周期节点时呈现不同的市场景象是指()。,行业景气,行业同期波动,行业生命周期,景气指数,
129,当证券投资者保护基金有限责任公司发现证券公司经营管理中出现可能危及投资者利益和证券市场安全的重大风险时，应当向()提出监管处置建议。,证券公司,中国证券业协会,证券交易所,中国证监会,
130,对于非累积优先股，如果本年度公司的盈利不足以支付全部优先股股息，对其所欠部分公司将(()。,不予累积计算,通过增发股票补充,通过借债补充,累积计算,
131,对于有限责任公司召开股东临时会议，代表（）以上表决权的股东，（）以上的董事，监事会或者不设监事会的公司的监事提议召开临时会议的，应当召开临时会议。,1／10；1／3,1／3；1／10,2／3；1／10,1／10；2／3,
132,对愿意承担一定风险，又想取得较高收益的投资者，较好的投资选择是()。,A级债券,B级债券,C级债券,D级债券,
133,发生信息披露违法行为，认定从轻或者减轻处罚的考虑情形不包括()。,未直接参与信息披露违法行为,配合证券监管机构调查且有立功表现,受他人胁迫参与信息披露违法行为,在信息披露上有不良诚信记录并记入证券期货诚信档案,
134,法律、行政法规规定设立公司必须报经批准的，设立这类公司的正确程序是（）。,设立人应先依法办理审批手续，再向公司登记机关申请登记，最后领取营业执照,设立人应先向公司登记机关申请登记，然后领取营业执照，最后依法办理审批手续,设立人可以自行决定先报审批机关批准或先向公司登记机关申请登记,设立人应先向公司登记机关申请登记，然后依法办理审批手续，最后领取营业执照,
135,非公开募集基金募集完毕，()应当向基金业协会备案。,基金经理,基金管理人,基金托管人,基金份额持有人,
136,封闭式基金在基金合同期限内（）。,基金规模可以增加,基金规模固定不变,基金规模不断变动,基金规模可以减少,
137,负责融资融券业务的具体管理和运作，制订融资融券合同的标准文本的是证券公司的()。,董事会,业务决策机构,业务执行部门,分支机构,
138,港股通交易以港币报价，投资者以()交收。,欧元,人民币,美元,港元,
139,根据《公开募集证券投资基金运作管理办法》规定，股票基金应有（）以上的资产投资于股票。,0.3,0.5,0.6,0.8,
140,根据《证券法》，下列不属于证券市场内幕信息的是(),上市公司收购的有关方案,公司营业用主要资产的抵押、出售或者报废一次超过该资产的百分之十，但未达到该资产的百分之三十,公司股权结构的重大变化,公司的重大投资行为和重大购置财产的决定,
141,根据《中华人民共和国公司法》和《中华人民共和国证券法》的规定，以超过票面金额的价格发行股票所得的溢价款项列入发行公司的()。,资本公积,净资产,应付款项,留存收益,
142,公司的发起人、股东在公司成立后，抽逃其出资的，由公司登记机关责令改正，处以所抽逃出资金额()的罚款,百分之二以上百分之十以下,百分之五以上百分之二十以下,百分之五以上百分之十五以下,百分之十以上百分之二十以下,
143,公司提供担保的主要方式不包括()。,保证,抵押,质押,留置,
144,公司与资信评级机构应当约定，在公司债券有效存续期间，资信评级机构每年至少公告()次跟踪评级报告。,1,2,3,5,
145,公司债券的发行期限一般为3～10年，以（）年为主。。,5,4,3,2,
146,股东权利的转让（）。,股东权利与股票转让不相关,是股东权利与股票同时转让,可以只转让股东权利而不转移股票,可以只转让股票而保持股东权利,
147,股份公司向外国和我国香港、澳门、台湾地区投资者发行的股票，称为（）。,社会公众股,国家股,法人股,外资股,
148,股票按是否在股票票面上标明金额，可以分为（）。,有面额股票和无面额股票,记名股票和无记名股票,普通股票和优先股票,份额股票和比例股票,
149,股票发行采用代销方式，代销期限届满，向投资者出售的股票数量未达到拟公开发行股票数量（）的，为发行失败。,0.3,0.5,0.7,0.9,
150,股票市场价格的最直接影响因素是(()，并且其他因素都是通过作用于该因素而影响股票价。,宏观经济因素,公司经营状况,政治因素,供求关系,
151,股票现金流贴现模型的可变增长模型，一般分为()。,股息定率可变增长模型和股息定额可变增长模型,两阶段可变增长模型和多阶段可变增长模型,股息不定率可变增长模型和股息定额可变增长模型,股息定率可变增长模型和股息不定额可变增长模型,
152,关于垄断竞争市场中的单个厂商，下列说法错误的是()。,单个厂商降低价格不会导致需求无穷大,单个厂商提高价格不会导致需求降为零,单个厂商的产品并非完全相同,每个厂商的产品完全相同,
153,关于普通股票和优先股票的说法错误的是()。,普通股票的股利完全随公司盈利的高低而变化,与普通股票相比，优先股票是标准的股票，也是风险较大的股票,优先股票是一种特殊股票，在其股东权利、义务中附加了某些特别条件,优先股票的股息率是固定的,
154,关于证券市场从无到有发展的主要原因，下列说法错误的是()。,证券市场的形成得益于社会化大生产和商品经济的发展,证券市场的形成得益于股份制的发展,证券市场的形成得益于公司制的发展,证券市场的形成得益于信用制度的发展,
155,关于政府债券论述错误的是()。,政府债券的信用等级是最高的，通常被称为“金边债券”,政府债券拥有发达的二级市场,政府债券的付息由政府保证，其信用度最高，风险最小,政府债券的付息由政府保证，对于投资者来说，投资政府债券的收益是最高的,
156,国际金融监管体系不包括()。,巴塞尔银行监管委员会,证券业协会,国际证监会组织,国际保险监督官协会,
157,宏观经济学的总量分析方法是()的分析方法。,从微观分析的加总中引出宏观,从宏观分析的分拆中引出微观,从个量分析的加总中引出总量,从总量分析的分拆中引出个量,
158,互换是指两个或两个以上的当事人按共同商定的条件，在约定的时间内定期交换()的金融交易。,证券,负债,现金流,资产,
159,沪伦通下的全球存托凭证是由存托人签发、以（）为基础，在英国发行、代表中国境内基础，证券权益的证券。,深市A股,沪市A股,深市B股,沪市B股,
160,混合资本债券到期前，如果发行人核心资本充足率低于()，发行人可以延期支付利息。,0.04,0.05,0.08,0.1,
161,货币市场的主要功能是()。,短期资金融通,长期资金融通,套期保值,投机,
162,基本分析中自上而下的分析流程是（）。,宏观经济分析—行业分析—公司分析,区域分析—产业分析—宏观分析,行业分析—宏观分析—公司分析,公司估值分析—公司财务分析,
163,基金管理费通常按照每个估值日基金()的一定比率逐日提取。,总资产,净资产,总负债,净负债,
