id,context,question,A,B,C,D,answer
10,2.2 保险责任 在本附加合同保险期间内，本公司按照下列约定承担保险责任：轻度疾病豁免保险费 被保险人于本附加合同生效（或最后复效）之日起90日内（含第90日），因意外伤害（见释义）以外的原因，经专科医生（见释义）确诊初次发生本附加合同所指的轻度疾病（见释义）（无论一种或多种），本附加合同终止，本公司退还本附加合同所交保险费（不计利息）；被保险人遭受意外伤害或于本附加合同生效（或最后复效）之日起90日后因意外伤害以外的原因，经专科医生确诊初次发生本附加合同所指的轻度疾病（无论一种或多种），本附加合同终止，本公司将豁免主合同及指定附加合同自被保险人轻度疾病确诊之日起的续期保险费。2/41豁免保险费的，本公司视同自被保险人轻度疾病确诊之日起的主合同及指定附加合同续期保险费已经交纳。,需要提取的属性是：【豁免原因】；该属性的类型是：【ENUM】；该属性的取值范围是：【身故豁免、中度疾病豁免、特定疾病豁免、重度疾病豁免、全残豁免、其他豁免、轻度疾病豁免、未知】；,轻度疾病豁免,中度疾病豁免,特定疾病豁免,其他豁免,A
11,3）重大疾病门诊手术医疗费用保险金 第4页共29页被保险人因意外伤害或等待期满后因意外伤害之外的其它原因，经本公司认可的医院专科医生确诊初次发生本合同约定的重大疾病且必须接受门诊手术治疗的，门诊手术治疗期间所发生的合理且必需的重大疾病门诊手术费用，本公司根据与投保人的约定比例给付重大疾病门诊手术医疗费用保险金。2.5.2 免赔额设置免赔额由投保人与本公司在订立本合同时协商确定，并在本合同中载明。医疗7.5和公费医疗获得的补偿，不可用于抵扣免赔额。被保险人从其他途径已获得的医疗费用补偿可用于抵扣免赔额，但通过基本医疗保险、政府主办补充,需要提取的属性是：【免赔额规则】；该属性的类型是：【ENUM】；该属性的取值范围是：【责任间共享免赔额、只计次免赔额、独立计算免赔额、未知】；,独立计算免赔额,未知,只计次免赔额,责任间共享免赔额,D
12,害（释义5）以外的原因导致身故或全残（释义6），我们按本合同累计所交保险费（释义7） 给付一般身故或全残保险金，同时本合同效力终止。,需要提取的属性是：【身故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【猝死、意外身故、不限、自然身故、疾病身故、未知】；,自然身故,不限,意外身故,猝死,B
13,（2）特定门诊医疗费用 若被保险人因意外伤害或等待期后因意外伤害以外的原因，经本合同约定的医院诊断必须接受特定门诊治疗的，对于被保险人实际发生的合理且必需的特定门诊医疗费用，在扣除约定的免赔额后我们按本合同约定的给付比例给付一般医疗保险金。特定门诊治疗包括：①门诊肾透析治疗；②门诊恶性肿瘤（有关恶性肿瘤，参照本合同第9.1条）治疗，包括化学疗法（见10.19）、放射疗法（见10.20）、肿瘤免疫疗法（见10.21）、肿瘤内分泌疗法（见10.22）、肿瘤靶向疗法（见10.23）；③器官移植后的门诊抗排异治疗。2.6.2 免赔额本合同中所指免赔额均为年度免赔额，指被保险人自行承担，本合同不予赔偿的部分。被保险人从其他途径已获得的医疗费用补偿可用于抵扣免赔额，但通过基本医疗保险和公费医疗获得的补偿，不可用于抵扣免赔额。2.1 保障计划本合同保障计划的各项保险金年度给付限额、给付比例及年度免赔额见附表。一项符合本合同第9条约定保障范围及定义的重大疾病且接受治疗 的，对于被保险人实际发生的合理且必需的全部医疗费用，我们在给付保险金时不再扣除免赔额。2.1 保障计划本合同保障计划的各项保险金年度给付限额、给付比例及年度免赔额见附表。2.6.2 免赔额本合同中所指免赔额均为年度免赔额，指被保险人自行承担，本合同不予赔偿的部分。被保险人从其他途径已获得的医疗费用补偿可用于抵扣免赔额，但通过基本医疗保险和公费医疗获得的补偿，不可用于抵扣免赔额。,需要提取的属性是：【免赔额计算周期】；该属性的类型是：【ENUM】；该属性的取值范围是：【每次事故、保单年度、保障期间、保证续保期间、每日、未知】；,保单年度,每日,保障期间,未知,A
14,被保险人以乘客身份乘坐客运公共交通工具期间遭受意外伤害，并自该意外伤害发生之日起180日内身故的，除按第二项给付意外身故保险金外，我们按第二项确定的意外身故保险金金额给付公共交通意外身故特别保险金。,需要提取的属性是：【身故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【猝死、意外身故、不限、自然身故、疾病身故、未知】；,不限,猝死,疾病身故,意外身故,D
15,（一）意外住院医疗保险金（可选）在保险期间内，被保险人因遭受意外伤害（释义二），在医院（释义三）接受住院治疗 的，保险人对于被保险人每次住院支出的，符合当地社会基本医疗保险主管部门规定范围的及超出当地社会基本医疗保险主管部门规定范围的、必需且合理（释义四）的住院医疗费用， 在扣除约定的免赔额后，分别按照不同的约定给付比例给付意外住院医疗保险金，相关给付比例将在保险合同上予以载明。保险人累计承担的意外住院医疗保险金以本附加合同约定的意外住院医疗保险金额为限。保险期间届满被保险人治疗仍未结束的，保险人继续承担保险金给付责任，除另有约定外，住院治疗者最长延至本附加合同满期日后第三十日（含）止。第六条保险期间 -3-除另有约定外，本附加合同保险期间为一年，且应与主合同的保险期间保持一致。但保险期间最长不超过一年。（一）非因主合同所列意外伤害事故而发生的治疗；（五）保险金申请人所能提供的其他与确认保险事故的性质、原因等有关的其他证明和 资料；,需要提取的属性是：【免赔额计算周期】；该属性的类型是：【ENUM】；该属性的取值范围是：【每次事故、保单年度、保障期间、保证续保期间、每日、未知】；,保单年度,保证续保期间,未知,每次事故,A
16,（2）特定门诊医疗费用 若被保险人因意外伤害或等待期后因意外伤害以外的原因，经本合同约定的医院诊断必须接受特定门诊治疗的，对于被保险人实际发生的合理且必需的特定门诊医疗费用，在扣除约定的免赔额后我们按本合同约定的给付比例给付一般医疗保险金。特定门诊治疗包括：①门诊肾透析治疗；②门诊恶性肿瘤（有关恶性肿瘤，参照本合同第9.1、10.1条）治疗，包括化学疗法（见11.20）、放射疗法（见11.21）、肿瘤免疫疗法（见11.22）、肿瘤内分泌疗法（见11.23）、肿瘤靶向疗法（见11.24）；③器官移植后的门诊抗排异治疗。,需要提取的属性是：【费用报销范围】；该属性的类型是：【ENUM】；该属性的取值范围是：【不限医保、医保外、医保内、医保内+医保外自费药、未知】；,不限医保,未知,医保外,医保内+医保外自费药,A
17,5.质子重离子医疗费用 被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的重大疾病（无论一种或多种），或者在等待期后经医院初次确诊非因意外伤害导致罹患本合同所定义的重大疾病（无论一种或多种），保险人对被保险人在保险单上载明的特定医疗机构住院接受质子、重离子放射治疗期间发生的应当由被保险人支付的必需且合理的质子、重离子医疗费用，在扣除本合同约定的免赔额后，按照本合同约定的赔偿比例进行赔偿。特定医疗机构以在保险单中载明的名单为准。保险期间内保险人可以调整特定医疗机构名单，但以保险人在官方正式渠道（包括但不限于官网、官微）的通知为准。4/36保险人对于以上五项医疗费用的一次或累计赔偿金额以本合同约定的重大疾病医疗保险金额为限，保险人一次或累计赔偿金额达到本合同约定的重大疾病医疗保险金额时，保险人对被保险人在重大疾病医疗保险金项下的保险责任终止。,需要提取的属性是：【事故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【非意外伤害、不限、意外伤害、未知】；,未知,不限,意外伤害,非意外伤害,B
18,五、轻症疾病豁免保险费 若被保险人由我们认可的医院确诊初次发生轻症疾病，自确诊之日起，我们每年于保险费支付日豁免本主险合同当期应支付的保险费，被豁免的保险费视为已交纳，本主险合同继续有效。被保险人因意外伤害事故4发生保险事故的，无等待期。第六条保险责任 在本主险合同保险责任开始后的有效期内，自本主险合同生效（或最后复效）之日起九十日内为等待期。被保险人在等待期内因疾病发生保险事故的，我们无息退还实际已交纳的保险费 3，本主险合同终止。,需要提取的属性是：【续保免等待期】；该属性的类型是：【ENUM】；该属性的取值范围是：【否、长期险无续保或不支持续保、是、未知】；,长期险无续保或不支持续保,否,未知,是,A
19,（二）质子重离子医疗保险金 被保险人在等待期后在医院经专科医生初次确诊罹患本合同约定的癌症，并因此在载明于保险单上的特定医疗机构接受质子、重离子放射治疗的，保险人对被保险人在特定医疗机构接受质子、重离子放射治疗期间发生的应当由被保险人支付的必需且合理的质子、重离子医疗费用，保险人在扣除约定的免赔额后，按照本合同的约定进行赔偿。特定医疗机构以在保险单中载明的名单为准。保险期间内保险人有权调整特定医疗机构名单，具体名单以保险人在官方正式渠道（包括但不限于官网、官微）的通知为准。保险人对于上述（一）、（二）项责任范围内的医疗费用的累计赔偿金额以本合同约 定的必选责任保险金额为限，当保险人一次或累计赔偿金额达到本合同约定的必选责任保险金额时，本合同必选责任终止。保险金额、免赔额与保险费第十条本合同必选责任免赔额由投保人与保险人在本合同订立时协商确定，并在 保险单中载明。（一）癌症医疗保险金 在本合同保险期间内，如果被保险人在等待期后在医院经专科医生初次确诊罹患本合同约定的癌症，且因该癌症在医院接受治疗的，对被保险人因此所发生的以下必需且合理的医疗费用，保险人在扣除约定的免赔额后，依照本合同约定的赔偿比例在保险单载明的必选责任保险金额内赔偿癌症医疗保险金。,需要提取的属性是：【免赔额计算周期】；该属性的类型是：【ENUM】；该属性的取值范围是：【每次事故、保单年度、保障期间、保证续保期间、每日、未知】；,每日,每次事故,保障期间,保证续保期间,C
20,（二）重大疾病住院医疗保险金 在保险期间内，被保险人在等待期后，经医院初次确诊（见释义）罹患所定义的重大疾病在本公司指定或认可的医疗机构接受由具有相应资质的医护人员提供的住院治疗（包括日间住院医疗），本公司对由此发生的以下合理且必需的医疗费用进行赔付：（1）床位费；（2）膳⻝费、护理费；（3）重症监护室费；（4）检查检验费；（5）手术费、麻醉费、药品费、材料费、医疗机构拥有 的医疗设备（不含耐用医疗设备）使用费；（6）治疗费、医生费、会诊费；（7）手术植⼊器材费；（8）西式理疗费：物理治疗、职业治疗、语言治疗费；（9）耐用医疗设备费；（10）陪床费：未满18周岁被保险人住院期间其父亲或母 亲（限一名）或被保险人住院期间其出生未满16周的新生儿（前文所述父母亲或新生儿均简称为“陪同人员”）陪同住院加床费以及医疗机构提供的膳⻝费；（二）院外 指⾮被保险人就诊医院。（一）初次确诊 指自被保险人出生之日起第一次经医院确诊患有某种疾病，而不是指自本合同生效之日起第一次经医院确诊患有某种疾病。其中恶性肿瘤确诊之日为手术病理取材或病理活检取材日期，已通过医学检查初步确诊而未经手术治疗但后续行放射性疗法或化学药物性疗法的，以首次放疗或化疗日期为恶性肿瘤确诊日期。（5）手术费、麻醉费、药品费（见释义）、材料费、医 疗机构拥有的医疗设备（不含耐用医疗设备）使用费；,需要提取的属性是：【医院类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【互联网医院、海外医院、昂贵医院、民营医院(不含昂贵医院)、其他指定医院、公立医院、未知】；,昂贵医院,海外医院,民营医院(不含昂贵医院),公立医院,D
21,（二）质子重离子医疗保险金 指在保险期间内，被保险人在等待期后经医院专科医生确诊初次罹患恶性肿瘤——重度，并于保险人指定的医疗机构接受质子重离子治疗的，对于被保险人需个人支付的、必需且合理的质子重离子医疗费用（见释义17），保险人在扣除保险单载明的免赔额后，按照 约定的给付比例向被保险人给付质子重离子医疗保险金。保险人在本项下累计给付金额之和以保险单载明的质子重离子医疗保险金额为限，当累计给付金额之和达到质子重离子医疗 保险金额时，保险人对该被保险人在质子重离子医疗保险金项下的保险责任终止。本项责任下的指定医疗机构以在保险单中载明的名单为准。保险期间内保险人调整指定医疗机构的，以保险人在官方正式渠道（包括但不限于官网、官微）的通知为准，保险人应及时通知投保人或被保险人。质子重离子医疗保险金额包含于本保险合同约定的恶性肿瘤——重度医疗保险金额之内，若保险人在恶性肿瘤——重度医疗保险金责任及质子重离子医疗保险金责任下累计给付 保险金的金额达到恶性肿瘤——重度医疗保险金额，则恶性肿瘤——重度医疗保险金责任和质子重离子医疗保险金责任同时终止，保险人对被保险人不再承担给付这两项保险金的责任。以上“（一）恶性肿瘤——重度医疗保险金”和“（二）质子重离子医疗保险金”保 险责任不包含本保险合同约定的医院或指定医疗机构内的医生开具的当前治疗必需的药品处方中所列无法在本保险合同约定的医院或指定医疗机构内获得的药品或者其他任何在本保险合同约定的医院或指定医疗机构内无法获得的医用材料或者任何其他医疗项目。第八条保险金额是保险人承担给付或者给付保险金责任的最高限额。本保险合同的保险金额包括恶性肿瘤——重度医疗保险金额、质子重离子医疗保险金 额、恶性肿瘤——重度住院津贴保险金额和恶性肿瘤——重度异地转诊公共交通费用保险金 额。以上每项责任的保险金额由投保人与保险人在订立本保险合同时协商确定，并在保险单中载明。第六条本保险合同的保险责任包括“恶性肿瘤——重度医疗保险金”、“质子重离子 医疗保险金”、“恶性肿瘤——重度住院津贴保险金”和“恶性肿瘤——重度异地转诊公共交通费用保险金”。,需要提取的属性是：【赔付限额规则】；该属性的类型是：【ENUM】；该属性的取值范围是：【单独限额、责任间共享限额、险种保额、未知】；,责任间共享限额,单独限额,未知,险种保额,A
22,（二）意外伤害住院医疗保险金（必选） 在保险期间内，被保险人在本保险合同约定的保险区域内遭受意外伤害并在本合同约定的医疗机构接受住院治疗的，保险人对于住院期间发生的合理且必要的住院医疗费用，保险 人将按照本合同约定的保险金计算方法给付意外伤害住院医疗保险金。在每一保单年度内，因意外伤害住院的最高给付日数为180日，累计意外伤害住院天数超过180日发生的医疗费用，不属于保险责任范围。在本合同到期日前发生的并延续至本合同到期日后90日内（含第90日）的住院治疗，对此期间发生的合理且必要的住院医疗费用，保险人仍将按照本合同的约定给付意外伤害住院医疗保险金。保险人在本项下累计赔偿金额之和以本合同约定的意外伤害住院医疗保险金的保险金 额为限，一次或累计赔偿的金额达到本项意外伤害住院医疗保险金额时，保险人对于被保险 人在意外伤害住院医疗保险金项下的保险责任终止。3/16,需要提取的属性是：【病房类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【普通病房、特需病房、ICU病房、未知】；,ICU病房,未知,普通病房,特需病房,C
23,因疾病导致身故或全残（见9.4），我们按本合同已交保险费（见9.5）给付身 故或全残保险金，本合同终止。9.6意外伤害事故9.6 意外伤害事故指外来的、突发的、非本意的、非疾病的使被保险人身体受到伤害的客观事件。1.4犹豫期,需要提取的属性是：【意外免等待期】；该属性的类型是：【ENUM】；该属性的取值范围是：【是、不涉及、否、未知】；,未知,不涉及,否,是,D
24,支付的标准保险费的1.1倍给付身故或全残保险金，本合同终止。,需要提取的属性是：【赔付类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【报销、给付、年金、豁免保费、未知】；,豁免保费,年金,未知,给付,D
25,2.1.1 身故保险责任 在保险期间内被保险人遭受意外伤害，并自意外伤害发生之日起180日内因该意外伤害身故的，保险人按保险金额给付身故保险金，对该被保险人的保险责任终止。被保险人因遭受意外伤害且自该意外伤害发生日起下落不明，后经人民法院宣告死亡的，保险人按保险金额给付身故保险金。但若被保险人被宣告死亡后生还的，保险金受领人应于知道或应当知道被保险人生还后30日内退还保险人给付的身故 保险金。被保险人身故前保险人已给付2.1.2约定的残疾保险金的，身故保险金应扣除 已给付的保险金。,需要提取的属性是：【事故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【非意外伤害、不限、意外伤害、未知】；,不限,非意外伤害,意外伤害,未知,C
26,2）特殊门诊医疗费用保险金 被保险人因意外伤害或等待期满后因意外伤害之外的其它原因，经本公司认可的医院专科医生诊断并根据医嘱在门诊接受以下特殊门诊治疗的，特殊门诊治疗期间所发生的合理且必需的特殊门诊医疗费用，本公司根据与投保人的约定在扣除约定的免赔额后按照约定比例给付特殊门诊医疗费用保险金。特殊门诊治疗包括：1门诊肾透析；2门诊恶性肿瘤治疗，包括化学疗法7.11、放射疗法7.12、肿瘤免疫疗法7.13、肿瘤内分泌疗法7.14、肿瘤靶向疗法7.15；第3页共29页3器官移植后抗排异治疗。2.5.2 免赔额设置免赔额由投保人与本公司在订立本合同时协商确定，并在本合同中载明。医疗7.5和公费医疗获得的补偿，不可用于抵扣免赔额。被保险人从其他途径已获得的医疗费用补偿可用于抵扣免赔额，但通过基本医疗保险、政府主办补充,需要提取的属性是：【免赔额规则】；该属性的类型是：【ENUM】；该属性的取值范围是：【责任间共享免赔额、只计次免赔额、独立计算免赔额、未知】；,只计次免赔额,责任间共享免赔额,未知,独立计算免赔额,B
27,"在本附加合同保险期间内，被保险人在等待期(释义一)后,经中华人民共和国境内（不3.开具的特定药品处方仅限治疗被保险人在等待期后初次确诊的恶性肿瘤；被保险人在投保前或在等待期内已确诊恶性肿瘤的，保险人不承担给付院外特定药品费用医疗保险金的责任。",需要提取的属性是：【意外免等待期】；该属性的类型是：【ENUM】；该属性的取值范围是：【是、不涉及、否、未知】；,否,未知,是,不涉及,C
28,被保险人驾驶或乘坐个人非营业车辆或公务车时因交通事故而遭受意外伤害，并且自意外伤害发生之日起180日内因该意外伤害导致身故，我们在给付意外身故 保险金的同时，按同等金额给付驾乘交通意外身故特别保险金，本合同终止。,需要提取的属性是：【身故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【猝死、意外身故、不限、自然身故、疾病身故、未知】；,猝死,不限,未知,意外身故,D
29,五.重大疾病保险金（本项保险责任为必选责任） 若被保险人于等待期内因意外伤害以外的原因，确诊首次患有本合同所定义的重大疾病（见释义12）中的任意一种或多种，我们将按本合同已交保险费向被保险人给付重大疾病保险金，本合同 终止。8.意外伤害 指因遭受意外事故并以此为直接且单独原因导致的身体伤害。意外事故指外来的、非本意的、突然的、剧烈的、非疾病的意外事件。猝死不属于意外伤害。11.14单侧肺 脏切除指因疾病或意外事故实际实施的一侧肺脏切除术。10.32单侧肾 脏切除指因疾病或意外事故实际实施的一侧肾脏切除术。,需要提取的属性是：【意外免等待期】；该属性的类型是：【ENUM】；该属性的取值范围是：【是、不涉及、否、未知】；,未知,是,否,不涉及,B
