id,context,question,A,B,C,D,answer
15,"2023年7月25日，财联社电，艾隆科技高管李照提出减持计划，因为自身资金需求,持股人原持股份135000股，减持上市公司股份不超过33750股，计划减持股份比例不超过公司股份总数的0.04%,减持日期至2024年02月15日",李照计划减持的股份比例是多少？,李照计划减持的股份比例不超过1%。,李照计划减持的股份比例不超过0.04%。,李照计划减持的股份比例不超过0.1%。,李照计划减持的股份比例不超过10%。,B
16,"2023年7月4日，财联社电，振德医疗高管金海萍提出减持计划，因为个人资金需求,持股人原持股份132300股，减持上市公司股份不超过33000股，计划减持股份比例不超过公司股份总数的0.01%,减持日期至2024年01月24日",振德医疗高管金海萍计划减持的股份数目是多少股？,33000股。,22000股,66000股,44000股,A
17,"2023年7月6日，财联社电，贵州三力股东凌宗蓉提出减持计划，因为个人资金需求,持股人原持股份371800股，减持上市公司股份不超过371800股，计划减持股份比例不超过公司股份总数的0.09%,减持日期至2024年01月26日",凌宗蓉计划减持的股权比例是多少？,凌宗蓉计划减持的股权比例是10%。,凌宗蓉计划减持的股权比例不超过公司股份总数的0.09%。,凌宗蓉计划减持的股权比例是0.5%。,凌宗蓉计划减持的股权比例是1%。,B
18,"2023年7月6日，财联社电，中粮资本股东弘毅弘量(深圳)股权投资基金合伙企业提出减持计划，因为弘毅弘量自身财务安排,持股人原持股份146653493股，减持上市公司股份不超过69123167股，计划减持股份比例不超过公司股份总数的3.00%,减持日期至2024年01月26日",弘毅弘量计划减持中粮资本的股份比例不超过多少？,0.05,0.015,0.025,0.03,D
19,"2023年8月8日，财联社电，新风光股东许琳提出减持计划，因为自身资金需求,持股人原持股份821763股，减持上市公司股份不超过800000股，计划减持股份比例不超过公司股份总数的0.57%,减持日期至2024年02月24日",根据新闻资讯，许琳计划减持新风光股份。请问许琳计划减持的股份数量是多少股？,"许琳计划减持800,000股以上的新风光股份。","许琳计划减持800,763股的新风光股份。","许琳计划减持不超过800,000股的新风光股份。",许琳计划减持公司股份总数的0.57%的新风光股份。,C
20,"""【 电投能源（002128.SZ）：拟注册成立兴安电投能源有限责任公司】财联社 3月10日电，电投能源公告，拟在兴安盟突泉县注册成立全资子公司兴安电投能源有限责任公司负责开发建设国家电投兴安盟突泉县445MW风电项目。""",电投能源拟在哪里注册成立子公司?,广州市,北京市,兴安盟突泉县,上海市,C
21,"""【 广弘控股（000529.SZ）：2022年净利润同比预增147%-201%】财联社 1月12日电，广弘控股公告，2022年度预计实现归母净利润8.17亿元-9.97亿元，同比增长146.76%-201.13%。""",广弘控股预计2022年净利润同比增长率为多少？,广弘控股预计2022年净利润同比增长率为100%-150%。,广弘控股预计2022年净利润同比增长率为146.76%-201.13%。,广弘控股预计2022年净利润同比增长率为50%-100%。,广弘控股预计2022年净利润同比增长率为0%-50%。,B
22,"""【 华森制药（002907.SZ）：针对XBB毒株近期痛泻宁颗粒订单大幅激增】财联社 1月11日电，华森制药接受机构调研时表示，市场对新冠相关用药需求大增，相关品种订单数量激增。独家品种甘桔冰梅片已经出现供不应求的状况，目前产能已呈现阶段性饱和的状态。现在又有出现了针对于下消化道引起腹痛腹泻的XBB毒株，有专家推介了我们的痛泻宁颗粒，因此近期痛泻宁颗粒的订单大幅激增。""",近期针对XBB毒株引起的腹痛腹泻，为什么痛泻宁颗粒的订单大幅激增？,痛泻宁颗粒是一种针对肺部疾病的药物。,痛泻宁颗粒是一种治疗新冠病毒的药物。,根据新闻资讯，近期出现了针对下消化道引起腹痛腹泻的XBB毒株，专家推介了痛泻宁颗粒作为治疗方法，因此痛泻宁颗粒的订单大幅激增。,痛泻宁颗粒订单增加是因为市场需求减少，导致库存积压。,C
23,"""【 密尔克卫（603713.SH）：2022年净利润同比增长40.2%拟10派5.5元】财联社 3月21日电，密尔克卫公告，2022年实现营业收入115.76亿元，同比增长33.9%；净利润6.05亿元，同比增长40.2%；基本每股收益3.68元／股。拟向全体股东每10股派发现金红利5.5元（含税）。""",密尔克卫公告中提到的净利润同比增长是多少？,净利润同比增长115.76亿元,净利润同比增长6.05亿元,净利润同比增长40.2%,净利润同比增长33.9%,C
24,"""【 雅居乐集团（03383.HK）：1月份集团预售金额合计为人民币64.4亿元】财联社 2月6日电，雅居乐集团在港交所公告，集团于2023年1月的预售金额合计为人民币64.4亿元，对应建筑面积为41.9万平方米；平均价为每平方米人民币15,348元。""",雅居乐集团2023年1月份的预售金额合计为多少人民币？,80.2亿元,40.9亿元,64.4亿元,95.6亿元,C
25,"""【房地产及地产服务股震荡走强 中天服务（002188.SZ）涨停】财联社 1月11日电，中天服务涨停， 招商积余（001914.SZ）、 招商蛇口（001979.SZ）涨超5%， 三湘印象（000863.SZ）、 滨江集团（002244.SZ）、 特发服务（300917.SZ）、 南都物业（603506.SH）、 金地集团（600383.SH）、 保利发展（600048.SH）等跟涨。""",哪些股票跟涨中天服务（002188.SZ）？,招商积余（001914.SZ）、招商蛇口（001979.SZ）,招商积余（001914.SZ）、招商蛇口（001979.SZ）、三湘印象（000863.SZ）、滨江集团（002244.SZ）、特发服务（300917.SZ）、南都物业（603506.SH）、金地集团（600383.SH）、保利发展（600048.SH）,滨江集团（002244.SZ）、南都物业（603506.SH）,三湘印象（000863.SZ）、特发服务（300917.SZ）,B
26,"""【期货概念股继续活跃 弘业期货（03678.HK；001236.SZ）5连板】财联社 1月19日电，弘业期货5连板， 瑞达期货（002961.SZ）涨停， 南华期货（603093.SH）、 永安期货（600927.SH）、 弘业股份（600128.SH）、 中国中期（000996.SZ）等跟涨。""",哪些期货概念股在弘业期货连板活跃？,瑞达期货、南华期货、武汉期货、永安期货、弘业股份等期货概念股都在弘业期货连板活跃。,瑞达期货、南华期货、永安期货、弘业股份、中国中期等期货概念股都在弘业期货连板活跃。,弘业期货、瑞达期货、南华期货、永安期货、弘业股份等期货概念股都在弘业期货连板活跃。,弘业期货、瑞达期货、南华期货、永安期货、中国中期等期货概念股都在弘业期货连板活跃。,B
27,"""财联社1月11日电，有投资者问，金投网钴价格已经从57W跌至32W，请问贵司的钴产品是不是处于亏损状态了，贵司的钴产品盈亏平衡点是多少？是否有减产或暂停销售的计划？ 盛屯矿业（600711.SH）在互动平台表示，由于钴无法套期保值，公司在途产品及存货会产生损失。公司钴产品成本在动态变化中，公司会根据钴产品价格及市场状况相应调整产销计划。""",盛屯矿业（600711.SH）的钴产品处于盈亏平衡状态吗？是否有减产或暂停销售的计划？,盛屯矿业的钴产品处于盈利状态，没有减产或暂停销售的计划。,盛屯矿业的钴产品虽然有损失，但公司没有调整产销计划的计划，也不会有减产或暂停销售。,根据新闻资讯，由于钴无法套期保值，公司在途产品及存货会产生损失。公司钴产品成本在动态变化中，公司会根据钴产品价格及市场状况相应调整产销计划。因此，钴产品可能处于亏损状态，并且公司会根据市场情况进行产销计划的调整，包括可能的减产或暂停销售。,盛屯矿业的钴产品没有损失，并且公司已经确定了盈亏平衡点，不会有减产或暂停销售的计划。,C
28,"""财联社1月13日电，有投资者问，请问：贵公司被美国列入制裁实体清单，贵公司又不涉足芯片设计、制造、封装行业，针对缺芯卡脖子的关键、核心问题，光靠增加库存也只是杯水车薪、治标不治本，你们是如何解决的？从立足长远角度来看，有长期规划吗？ 海康威视（002415.SZ）在互动平台表示，近来年，在公司与众多供应商的合作推动下，公司供应链韧性得到提升。目前公司供应链稳定，我们将保持稳健谨慎的经营。""",海康威视公司如何解决缺芯卡的问题？,海康威视开始涉足芯片设计、制造、封装行业以解决缺芯卡问题。,海康威视表示，在与众多供应商的合作推动下，公司供应链韧性得到提升。目前公司供应链稳定，他们将保持稳健谨慎的经营。,海康威视采取了增加库存的方法来解决缺芯卡问题。,海康威视没有任何长期规划来解决缺芯卡问题，只是临时应对。,B
29,"""财联社1月18日电，有投资者问，作为显示龙头，除了电脑显示器外，智能手机屏幕有没有产品？ 冠捷科技（000727.SZ）在互动平台表示，公司旗下运营的Philips品牌经过多年发展推出了多种型号的移动电话、智能手机等产品，但并未涉足上游手机显示屏的研发与制造。欢迎访问我们的官网了解更多关于公司产品的最新资讯（tpv-tech.com）。""",冠捷科技是否涉足上游手机显示屏的研发与制造？,冠捷科技在互动平台上表示已经涉足上游手机显示屏的研发与制造。,冠捷科技表示并未涉足上游手机显示屏的研发与制造。,冠捷科技在官网上发布了涉足上游手机显示屏的研发与制造的新闻。,冠捷科技的智能手机产品中使用了自家研发制造的手机显示屏。,B
30,"""财联社1月5日电，有投资者问，贵公司股价真的走势很差，请问贵公司的核心竞争力是什么？未来发展点在哪里？难道仅仅做鞋子、包包这些产业吗？创新在哪里？ 万凯新材（301216.SZ）在互动平台表示，公司主营瓶级PET，不从事鞋子、包包的业务。公司核心竞争力、战略规划和创新能力详见公司2021年报相关资料。""",万凯新材（301216.SZ）主营业务是什么？,公司主营瓶级PET。,公司主营包包业务。,公司主营半导体材料业务。,公司主营鞋子业务。,A
31,"""财联社2月6日电，有投资者问，公司2022年12月曾公告拟投资不超过10.2亿元，在湖南省衡阳市祁东县建设1.8GWh和1.3GWh锂离子电池项目，请问，该项目的资金有着落了吗，预计何时开工建设？ 达志科技（300530.SZ）在互动平台表示，目前公司这两条生产线项目在正常推进过程中，公司后续披露的定期报告及相关公告。""",达志科技计划在湖南省衡阳市祁东县建设锂离子电池项目的资金和开工时间情况如何？,该项目的资金已经确定，并将于2022年12月开始建设。,该项目的资金已经落实，预计将于2022年12月开始建设。,公司尚未确定该项目的资金来源和开工时间。,目前公司这两条生产线项目在正常推进过程中，具体资金和开工时间将在公司后续披露的定期报告及相关公告中公布。,D
32,"""财联社2月7日电，有投资者问，大股东增发资金到位后，半年不到就进行多笔投资和关联交易并购，请问是否经过股东大会决策，是否抽逃上市公司资金？ 莎普爱思（603168.SH）在互动平台表示，公司以现金收购上海芳芷100%股权不构成《上市公司重大资产重组管理办法》规定的重大资产重组。本次关联交易经公司第五届董事会第十四次会议审议通过，无需提交股东大会审议。""",莎普爱思公司以现金收购上海芳芷100%股权是否经过股东大会决策？,从新闻中无法得知是否经过股东大会决策。,不是的，股东大会尚未审议。,是的，股东大会已经审议通过。,本次关联交易经公司第五届董事会第十四次会议审议通过，无需提交股东大会审议。,D
33,"""财联社2月9日电，有投资者问，尊敬的董秘，请问贵公司的孙公司中科国力旗下的智能客服是基于openai研发的吗？ 二六三（002467.SZ）在互动平台表示，中科国力为公司子公司海南二六三（002467.SZ）的参股公司，并非为公司孙公司。经了解，中科国力研发的智能客服系统是在中科院计算所相关NLP技术积累基础上自行研发的。""",中科国力旗下的智能客服是基于openai研发的吗？,中科国力研发的智能客服系统是在中科院计算所相关NLP技术积累基础上自行研发的。,中科国力的智能客服是由公司子公司海南二六三开发的。,智能客服是基于openai研发的。,中科国力的智能客服是由公司孙公司开发的。,A
34,"""财联社4月3日电，有投资者问，董秘贵公司如何看待2023年新能源行业正极材料的市场的？公司采取了什么措施去提升公司产品的市占率？</p> 在互动平台表示，公司始终坚定的看好新能源行业的长期发展，并致力于成为全球新能源材料行业的引领者。公司通过不断集中优势资源加大研发投入，不断优化产品结构，不断开拓新用户以提升市占率。</p>""",贵公司采取了什么措施去提升公司产品的市占率？,公司通过降低产品价格来提升市占率。,公司通过不断集中优势资源加大研发投入，不断优化产品结构，不断开拓新用户以提升市占率。,公司通过与竞争对手进行合并来提升市占率。,公司通过加大市场宣传力度来提升市占率。,B
35,【 ：一季度净利润同比增长315.06%】财联社 4月27日电，双良节能披露一季报，一季度归母净利润5.02亿元，同比增长315.06%。报告期内，“双碳”政策推动及单晶硅提产，销售增长。</p>,双良节能一季度归母净利润同比增长了多少？,一季度净利润同比增长了315.06%。,一季度净利润同比增长了100%,一季度净利润同比增长了200%,一季度净利润同比增长了400%,A
36,【 宸展光电：目前公司产品主要集中在中小尺寸受面板价格变动影响有限】财联社 7月17日电，宸展光电接受机构调研时表示，自去年11月份以来，面板价格出现回暖，但存在结构性行情，大尺寸面板的价格增长较多，中小尺寸的的价格比较稳定。目前，公司的产品主要集中在中小尺寸，受到的影响比较有限。公司产品成本结构上，面板与触控占比超过50%。,宸展光电目前受到面板价格变动的影响有多大？,公司的产品主要集中在中小尺寸触控面板，受到面板价格变动的影响比较大。,目前公司产品主要集中在中小尺寸面板，受到面板价格变动的影响比较有限。,公司的产品主要集中在大尺寸触控面板，受到面板价格变动的影响比较有限。,公司的产品主要集中在大尺寸面板，受到面板价格变动的影响比较大。,B
37,【 德必集团：目前70%-80%的项目都属于旧楼改造】财联社 7月27日电，德必集团在互动平台表示，公司响应政府政策，利用城市历史建筑、工业遗产、旧厂房、旧街区、旧仓库等存量空间发展文化产业，促进城市更新和产业升级，助力老工业城市和资源型城市转型。目前，公司70%-80%的项目都属于旧楼改造，持续拓展并稳定输出城市更新项目。,德必集团目前多少项目属于旧楼改造？,80%-90%,70%-80%,40%-50%,60%-70%,B
38,【 杭州热电：目前我司无超超临界机组和虚拟电厂业务】财联社 5月22日电，杭州热电发布异动公告，目前我司无超超临界机组和虚拟电厂业务。另外，2022年公司光伏业务占主营业务收入不到1%，对公司经营业绩影响有限。,杭州热电目前没有哪些业务？,超超临界机组和虚拟电厂业务。,光伏业务。,杭州热电没有任何业务。,杭州热电没有发布任何异动公告。,A
39,【 华谊集团：选举顾立立为董事长聘任钱志刚为总裁】财联社 5月29日电，华谊集团公告，公司收到董事长刘训峰和董事兼总裁王霞提交的书面辞职报告，刘训峰因工作需要辞去公司董事会董事长、董事职务，王霞因工作需要辞去公司董事及总裁职务。公司 5月29日召开董事会会议，选举顾立立为公司第十届董事会董事长，聘任钱志刚为公司总裁，聘任刘文杰、顾卫忠为公司副总裁。公司副总裁陈耀因工作需要不再担任公司副总裁职务。,华谊集团选举顾立立为董事长，聘任钱志刚为总裁的原因是什么？,顾立立和钱志刚是华谊集团的核心股东。,顾立立和钱志刚在华谊集团担任高管职务多年。,顾立立和钱志刚是华谊集团的创始人。,根据新闻资讯，顾立立被选举为华谊集团董事长，钱志刚被聘任为总裁是因为原董事长刘训峰和董事兼总裁王霞因工作需要辞去相应职务。,D
40,【 莎普爱思：拟转让斯坦利思4.5%的股权予乐纯生物】财联社 6月8日电，莎普爱思公告，拟将其持有的斯坦利思生物科技（杭州）有限公司4.5%的股权转让给上海乐纯生物技术股份有限公司，转让价款为1260万元。,莎普爱思拟将斯坦利思股权转让给乐纯生物的转让价款是多少?,760万元,1260万元。,2560万元,126万元,B
41,【 上海医药（601607.SH；02607.HK）：吲达帕胺片通过仿制药一致性评价】财联社 2月22日 电，上海医药公告，公司控股子公司赤峰蒙欣近日收到国家药监局颁发的关于吲达帕胺片的《药品补充申请批准通知书》，该药品通过仿制药质量和疗效一致性评价。,上海医药旗下公司赤峰蒙欣的吲达帕胺片通过了什么评价？,吲达帕胺片通过了仿制药安全评价。,吲达帕胺片通过了仿制药质量和疗效一致性评价。,吲达帕胺片未通过一致性评价。,吲达帕胺片通过了新药审核。,B
42,【 双象股份：年产30万吨光学级PMMA/MS项目正在建设中】财联社 5月31日电，双象股份发布股票交易异动公告称，近期公司经营情况正常，内外部经营环境未发生重大变化。公司全资子公司重庆双象光学材料有限公司年产30万吨光学级PMMA/MS项目正在建设中，公司将加快建设进度早日实现项目量产。,双象股份全资子公司重庆双象光学材料有限公司正在建设的光学级PMMA/MS项目的年产量是多少？,20万吨,50万吨,30万吨,10万吨,C
43,【 西部证券：预计上半年净利润同比增长98.65%】财联社 7月12日电，西部证券公告，预计上半年净利7.14亿元，同比增长98.65%。2023年上半年证券市场逐渐回暖，公司投资业务、投行业务及资管业务收入上升。,西部证券预计上半年净利润同比增长了多少？,1.5,0.5,0.9865,0.3,C
44,【 亚马逊16.5亿美元收购iRobot的交易引发欧盟深入调查】财联社 7月7日电，亚马逊16.5亿美元收购iRobot的交易引发欧盟深入调查。欧盟称，协议可能增强亚马逊作为在线市场提供商的实力。欧盟监管机构将在最迟2023年 11月15日对该交易做出决定。,亚马逊以多少美元收购iRobot的交易引发了欧盟的深入调查?,16.5亿美元,10亿美元,15亿美元,20亿美元,A
45,【 浙江东方：孙公司拟出资1.77亿元参与设立产业投资基金】财联社 6月28日电，浙江东方公告，公司全资孙公司东方创投拟出资1.77亿元，作为有限合伙人参与设立绿色产业基金。绿色产业基金总规模拟不低于5亿元。绿色产业基金将重点投资于碳中和相关的 绿色经济、数字经济与新制造领域的高成长性项目，重点关注前沿科技和新制造方向，同时兼顾配置部分其他回报预期较高的成长类企业。,浙江东方旗下孙公司拟以多少资金参与设立绿色产业基金？,2亿元,1亿元,1.77亿元,3亿元,C
46,【10月份沪牌拍卖结果公布中标率17.3%】财联社10月21日电，10月沪牌拍卖结果刚刚出炉：个人额度投放10850辆，个人在用车有效额度委托拍卖2822辆，合计拍卖总数13672辆，参加拍卖人数79135人，比上月减少了12454人，中标率17.3%。最低成交价92000元，平均成交价为92061元，比上个月92371元减少了310元。,10月份沪牌拍卖中标率是多少？,中标率是18.5%。,中标率是17.3%。,中标率是20%。,中标率是16.8%。,B
47,【11月左右进入广东流感高发季广东疾控建议尽快接种疫苗】财联社10月19日电，近日，广东省疾控中心发布重要提醒：随着天气转凉，流感病毒较为活跃，建议及早做好预防措施，尽快接种流感疫苗。依照往年情况，广东大概会在11月进入流感高发季。,为什么广东疾控建议尽快接种流感疫苗？,广东疾控中心建议尽快接种流感疫苗是因为随着天气转凉，流感病毒较为活跃，广东将在11月左右进入流感高发季，接种疫苗可以有效预防流感病毒的传播和感染。,广东疾控中心建议尽快接种流感疫苗是因为流感病毒目前已经爆发，需要采取紧急措施来控制疫情。,广东疾控中心建议尽快接种流感疫苗是因为广东地区正在进行流感疫苗价格优惠活动，为了鼓励民众接种，提前发出了相关建议。,广东疾控中心建议尽快接种流感疫苗是因为流感病毒已经变异，传染性更强，需要增强免疫力以应对新型病毒。,A
48,【2023年10月总票房破30亿】财联社10月21日电，据猫眼专业版数据，10月21日13时15分，2023年10月总票房破30亿，《坚如磐石》《前任4：英年早婚》《志愿军：雄兵出击》分列10月票房榜前三位。,2023年10月总票房破30亿的电影有哪些？,《坚如磐石》《前任4：英年早婚》《志愿军：雄兵出击》。,《战狼3》《红海行动2》《我和我的祖国2》,《流浪地球2》《中国女排》《少年的你2》,《复仇者联盟4》《星际迷航4》《侏罗纪世界4》,A
49,【2023年三季度全国铁路发送旅客11.5亿人次多项运输指标创历史新高】财联社10月20日电，从中国国家铁路集团有限公司获悉，三季度，全国铁路发送旅客11.5亿人次，较2019年同期增长11.6%，9月22日铁路12306售票2695.2万张，9月29日发送旅客2009.8万人次，单日售票量、单日旅客发送量均创历史新高，铁路运输安全和秩序良好。,2023年三季度全国铁路发送旅客人次增长多少？,0.105,0.098,0.116,0.122,C
50,【2023年深市共90家公司推出半年度现金分红预案同比增长53%】财联社10月20日电，统计数据显示，2020年至2022年，深市现金分红总额分别为3671亿元、4061亿元、4267亿元，呈逐年增长态势。同时，上市公司中期分红积极性不断提升。2023年共90家深市公司推出半年度现金分红预案，相比去年同期增长53%。9成公司已完成派现，合计派现超160亿元。,2023年深市半年度现金分红预案增长了多少？,0.1,75%。,32%。,53%。,D
51,【2023年暑运今天正式启动为期62天】财联社 7月1日电，从国铁集团了解到，从今天开始，全国铁路为期62天的暑运正式启动。其中，国铁北京局预计发送旅客7115万人次，日均发送114.8万人次，较往年有明显增长。由于学生流和旅游流多层叠加，南通、兰州、乌鲁木齐等方向客流需求旺盛，国铁北京局加开临客86.5对。,今年暑运国铁北京局预计发送旅客人次是多少？,预计发送旅客9000万人次,预计发送旅客8000万人次,预计发送旅客6000万人次,预计发送旅客7115万人次,D
52,【417名实施跨境电诈犯罪嫌疑人从菲律宾被押解回国】财联社10月20日电，近日，随着36名实施跨境电信网络诈骗犯罪的嫌疑人从菲律宾被押解回国，前期我国警方和菲律宾警方通过警务执法合作抓获的电信网络诈骗犯罪嫌疑人已有417人移交我方，其中包括网上在逃人员7名。这是公安部工作组赴菲律宾开展警务执法合作，严厉打击跨境电信网络诈骗犯罪取得的又一重要战果。,从菲律宾被押解回国的跨境电诈犯罪嫌疑人数量是多少？,20人,36人,417人,7人,C
53,【埃及高级官员：拉法口岸将于20日开放】财联社10月19日电，据今日俄罗斯电视台19日报道，埃及一位高级官员证实，拉法口岸将于20日开放，届时人道主义援助将可以进入加沙地带。该官员还透露，联合国秘书长将于10月20日上午抵达拉法口岸，监督20辆援助车辆进入加沙地带。,拉法口岸将于何时开放？,拉法口岸将于10月20日开放。,拉法口岸将于10月22日开放。,拉法口岸将于10月19日开放。,拉法口岸将于10月21日开放。,A
