id,context,question,A,B,C,D,answer
10,"10.4
重大器官移植术或造血干细胞移植术
重大器官移植术，指因相应器官功能衰竭，已经实施了肾脏、肝脏、心脏、
肺脏或小肠的异体移植手术。
造血干细胞移植术，指因造血功能损害或造血系统恶性肿瘤，已经实施了造
血干细胞（包括骨髓造血干细胞、外周血造血干细胞和脐血造血干细胞）的
移植手术。",重大器官移植术包括哪些器官的异体移植手术？,重大器官移植术包括肾脏、肝脏、心脏、肺脏、小肠以及脾脏的异体移植手术。,重大器官移植术只包括肝脏和心脏的异体移植手术。,重大器官移植术包括肾脏、肝脏、心脏、肺脏或小肠的异体移植手术。(根据保险条款内容：重大器官移植术指已经实施了肾脏、肝脏、心脏、肺脏或小肠的异体移植手术),重大器官移植术包括肾脏、肝脏、心脏、肺脏或小肠的同体移植手术。,C
11,"1.1
合同构成
本附加合同由主保险合同（以下简称“主合同”）的投保人提出申请，经我
们同意附加在主合同订定。
本附加合同是您与我们约定保险权利义务关系的协议，包括本保险条款、保
险单或其它保险凭证、投保单、与保险合同有关的投保文件、合法有效的声
明、批注、批单及其它您与我们共同认可的书面协议。",附加合同的构成包括哪些文件？,附加合同的构成只包括主保险合同。,附加合同的构成包括保险单和投保单。,附加合同的构成只包括保险条款和声明。,附加合同的构成包括本保险条款、保险单或其它保险凭证、投保单、与保险合同有关的投保文件、合法有效的声明、批注、批单及其它您与我们共同认可的书面协议。,D
12,"一、您与我公司订立的保险合同
第一条保险合同的构成
中邮年年好百万宝贝医疗保险（简称“百万宝贝”）合同（以下简称“本合同”）
由以下几个部分构成：本保险条款、保险单或其他保险凭证、投保单（其复印件
或电子影像印刷件与正本具有同等效力）、合法有效的声明、批注、批单，及您与
我公司共同认可的、与本合同有关的其他书面（见释义1）文件。",百万宝贝保险合同的构成是由哪些部分组成的？,百万宝贝保险合同由本保险条款、保险单和投保单构成。,百万宝贝保险合同只由保险条款和保险单构成。,百万宝贝保险合同由本保险条款、保险单和声明构成。,百万宝贝保险合同由本保险条款、保险单或其他保险凭证、投保单（其复印件或电子影像印刷件与正本具有同等效力）、合法有效的声明、批注、批单，及您与我公司共同认可的、与本合同有关的其他书面文件构成。,D
13,"7.3.17
因肾上腺皮脂腺瘤切除肾上腺
因肾上腺皮脂腺瘤所导致的醛固酮分泌过多而产生的继发性恶性高血压而
实际接受了肾上腺切除术治疗。诊断及治疗均须在本公司认可医院内由专
科医生认为是医疗必需的情况下进行。","以下哪种情况须在本公司认可医院内由专
科医生认为是医疗必需的情况下进行?",肾上腺皮脂腺瘤导致的醛固酮分泌过多而产生继发性恶性高血压,肾上腺皮脂腺瘤导致的雄激素分泌过多而产生性早熟,肾上腺皮脂腺瘤导致的醛固酮分泌不足而产生继发性低血压,肾上腺皮脂腺瘤导致的激素分泌过多而产生糖尿病,A
14,"3.2
宽限期
如果您到期未交纳保险费，自保险费约定交纳日的次日零时起60日为保险费交纳
的宽限期。宽限期内发生的保险事故，我们仍承担保险责任，但在给付保险金时会
扣除您欠交的保险费。
如果您在宽限期内未交纳保险费，则本合同自宽限期满日的24时起效力中止，但
本合同另有约定的除外。",如果在保险费约定交纳日的次日起的宽限期内发生保险事故，保险公司是否会承担保险责任？,未交保险费的情况下，保险公司不会承担任何保险责任。,是的，保险公司会在宽限期内发生的保险事故时承担保险责任。,不会，保险公司只在保险费交纳后才承担保险责任。,宽限期内发生的保险事故，保险公司只会扣除未交保险费后的保险金进行给付。,B
15,"15-原发性心肌
病心功能损害
指被保人因原发性心肌病导致慢性心功能损害造成永久不可逆性的心功能
衰竭。心功能衰竭程度达到纽约心脏病学会的心功能分级标准之心功能III
级。被保险人永久不可逆性的体力活动能力受限，不能从事体力活动。",慢性心功能损害是否必须由原发性心肌病引起才会得到保险理赔？,不是的，慢性心功能损害可以由任何原因引起，不一定是原发性心肌病。,是的，根据以上保险条款内容指出，被保险人必须因原发性心肌病导致慢性心功能损害才能得到保险理赔。,不是的，只要有慢性心功能损害就能得到保险理赔。,不是的，保险条款没有明确提到原发性心肌病，只要有心功能衰竭就能得到保险理赔。,B
16,"4.3.5
保险费率调整
通知、投保人
对于费率调整
的权利和义务
我们会及时将费率调整原因和调整后的保险费率情况以投保单中约定的方式
通知您。您不接受保险费率调整且不再继续投保本合同，可在当前保险期间届
满前向我们明确声明不再续保，本合同自届满日的24时起效力终止。您不再
续保本合同可能会造成一定的损失或风险。",保险费率调整通知的义务是由谁来承担？,投保人,保险代理人。根据以上保险条款内容可以得知，保险公司有责任以投保单中约定的方式通知投保人有关保险费率调整的情况。,监管部门,保险公司,D
17,"指因疾病或意外伤害导致双眼视力永久不可逆（注8）性丧失，双眼中较好眼须
满足下列至少一项条件：
（1）眼球缺失或摘除；
（2）矫正视力低于0.02（采用国际标准视力表，如果使用其他视力表应进行换
算）；
（3）视野半径小于5度。
被保险人申请理赔时年龄必须在3周岁以上，并且提供理赔当时的视力丧失诊断
及检查证据。",根据保险条款规定，何种情况下可以得到双眼视力永久不可逆性丧失的保险赔偿？,只要视力低于0.02，即可得到保险赔偿。,只要视野半径小于5度，即可得到保险赔偿。,双眼视力永久不可逆性丧失的赔偿并不取决于眼球缺失或摘除，只要在3周岁以上且提供诊断和检查证据即可。,可以得到保险赔偿的情况包括眼球缺失或摘除，矫正视力低于0.02（采用国际标准视力表），以及视野半径小于5度。,D
18,"二、特定疾病
．．．．
17医疗费用补偿金
若被保险人因遭受意外伤害事故或于等待期
注后因非意外伤害事故被医院的专科医生
．．．．
18首次确诊患有
本合同定义的特定疾病（无论一种或多种），并在医院接受治疗的，",保险合同是否包含对于被保险人因遭受意外伤害事故而需支付的医疗费用进行补偿的条款？,是的，根据保险条款的第17条，被保险人因遭受意外伤害事故需要支付的医疗费用可以获得补偿。,医疗费用补偿只适用于特定疾病的治疗费用。,只有在等待期后才能获得医疗费用补偿。,不包含，保险合同只补偿因非意外伤害事故导致的医疗费用。,A
19,"101-成骨不全症
第三型
指一种胶原病，特征为骨易碎，骨质疏松和易骨折。该病有4种类型：Ⅰ
型、Ⅱ型、Ⅲ型、Ⅳ型。只保障Ⅲ型成骨不全的情形。其主要临床特点有：
发展迟缓、多发性骨折、进行性脊柱后侧凸及听力损害。Ⅲ型成骨不全的诊
断必须根据身体检查、家族史，X线检查和皮肤活检报告资料确诊。",什么是Ⅲ型成骨不全的主要临床特点？,Ⅲ型成骨不全的主要临床特点包括发展迟缓、多发性骨折、进行性脊柱后侧凸和听力损害。,Ⅲ型成骨不全的主要临床特点为进行性脊柱后侧凸和皮肤活检报告资料。,Ⅲ型成骨不全的主要临床特点为发展迅速、单发性骨折及听力损害。,Ⅲ型成骨不全的主要临床特点为骨疏松和易骨折。,A
20,"6.3
合同内容变更
本主险合同有效期内，经您与我们协商一致，可以变更本主险合同的有关
内容，变更本主险合同的，应当由我们在保险单或者其他保险凭证上批注
或者附贴批单，或者由您与我们订立变更的书面协议。",在合同有效期内，变更合同的方式有哪些?,变更合同的方式必须经过法院的审批才可以实施。,只需口头协商即可进行合同的内容变更。,变更合同的方式只能由保险公司提出，并且需要您的书面同意。,可以由我们在保险单或者其他保险凭证上批注或者附贴批单，或者由您与我们订立变更的书面协议。,D
21,"83、
脊髓小脑变性症
脊髓小脑变性症为一组以小脑萎缩和共济失调为主要临床特点的疾病。必须符
合所有以下条件：
（1）脊髓小脑变性症必须由医院诊断，并有以下证据支持：
①影像学检查证实存在小脑萎缩；
②临床表现存在共济失调、语言障碍和肌张力异常。
（2）被保险人运动功能严重障碍，自主生活能力完全丧失，无法独立完成六项
基本日常生活活动中的三项或三项以上。",脊髓小脑变性症的诊断条件是什么？,脊髓小脑变性症的诊断条件是医院诊断，并且有以下证据支持：影像学检查证实存在小脑萎缩，临床表现存在共济失调、语言障碍和肌张力异常。,脊髓小脑变性症的诊断条件是医院诊断，并且有以下证据支持：影像学检查证实存在小脑萎缩，临床表现存在共济失调、语言障碍和肌张力正常。,脊髓小脑变性症的诊断条件是自行诊断，并且有以下证据支持：影像学检查证实存在小脑萎缩，临床表现存在共济失调、语言障碍和肌张力异常。,脊髓小脑变性症的诊断条件是医院诊断，并且有以下证据支持：影像学检查证实存在大脑萎缩，临床表现存在共济失调、语言障碍和肌张力异常。,A
22,"身故保险金的
申请
在申请身故保险金时，申请人须填写理赔申请书，并提供下列证明和资料：
(1)申请人的有效身份证件及与被保险人的法定关系证明；
(2)国家卫生行政部门认定的医疗机构、公安部门或其它相关机构出具的被
保险人的死亡证明；
(3)所能提供的与确认保险事故的性质、原因等有关的其他证明和资料。
保险金作为被保险人遗产时，必须提供可证明合法继承权的相关权利文件。",在申请身故保险金时，申请人需要提供哪些证明和资料？,申请人只需要提供有效身份证件即可申请身故保险金。,申请人需要提供有效身份证件、被保险人的死亡证明以及可证明合法继承权的相关权利文件。,申请人需要提供有效身份证件、被保险人的死亡证明以及与确认保险事故有关的其他证明和资料。,申请人只需要提供被保险人的死亡证明即可申请身故保险金。,C
23,"10.58需手术切除的
嗜铬细胞瘤
指发生在肾上腺或肾上腺外嗜铬组织的以分泌过多的儿茶酚胺为表现的神经
内分泌肿瘤。嗜铬细胞瘤必须明确诊断，并且满足下列所有条件：
(1)临床有高血压症候群表现；
(2)已经实施了嗜铬细胞瘤切除手术。",什么是嗜铬细胞瘤？,嗜铬细胞瘤的诊断需要进行放射性治疗。,嗜铬细胞瘤的主要症状是腹痛和恶心。,嗜铬细胞瘤是指发生在肾上腺或肾上腺外嗜铬组织的以分泌过多的儿茶酚胺为表现的神经内分泌肿瘤。,嗜铬细胞瘤是一种癌症形式。,C
24,"7.14药品费
指在住院以及特殊门诊就医期间根据医生开具的处方所发生的西药、中成药和中草药
的费用。
药品费不包括在治疗时当地政府适用的《城镇职工基本医疗保险药品目录》及相关规
定中不予给付的下列药品：营养补充类药品，免疫功能调节类药品，美容及减肥类药
品，预防类药品以及中草药类药品。",药品费包括哪些药品？,住院以及特殊门诊就医期间根据医生开具的处方所发生的西药、中成药和中草药的费用。,药品费包括所有门诊治疗期间所用的药品费用。,药品费不包括中草药的费用。,药品费只包括西药的费用。,A
25,"7.19检查化验
指由医生开具的由医院专项检查科室的专业检查、检验人员实施的各检查化验项目，
包括实验室检查、病理检查、放射线检查、CT、核磁共振检查（MRI）、B超、血管造
影、同位素、心电图、心功能、肺功能、骨密度、基因学检查。",保险公司是否承担基因学检查费用？,根据以上保险条款内容，保险公司不承担基因学检查费用，因为基因学检查不属于检查化验项目。,根据以上保险条款内容，保险公司承担检查化验的费用，包括基因学检查，因此保险公司应该承担基因学检查费用。,根据以上保险条款内容，保险公司只承担实验室检查、病理检查、放射线检查等常规检查的费用，基因学检查不在承担范围内。,根据以上保险条款内容，保险公司只承担一部分检查化验项目的费用，基因学检查费用需要个人自行承担。,B
26,"7.5.8
输卵管恶性肿瘤
指符合“恶性肿瘤——重度”定义，原发于输卵管的恶性肿瘤，经组织病
理学检查结果明确诊断，临床诊断属于世界卫生组织《疾病和有关健康问
题的国际统计分类》（ICD-10）主码为C57的恶性肿瘤范畴。
原位癌，或任何转移、侵袭至输卵管组织的其他恶性肿瘤或恶性病变不在
保障范围内。",什么是输卵管恶性肿瘤保险的保障范围？,输卵管组织内的原位癌也在保障范围内。,输卵管恶性肿瘤保险的保障范围不仅包括原发于输卵管的恶性肿瘤，还包括转移至输卵管组织的其他肿瘤或病变。,输卵管恶性肿瘤保险的保障范围包括符合“恶性肿瘤——重度”定义，原发于输卵管的恶性肿瘤。,任何转移至输卵管组织的其他恶性肿瘤或恶性病变也在保障范围内。,C
27,如被保险人在第二次确诊患有“恶性肿瘤--重度”之日起满3年后，经专科医生第三次确诊患有本合同所定义的“恶性肿瘤--重度”（无论一种或多种），我们将按本合同基本保险金额的100%再次给付恶性肿瘤,被保险人在第二次确诊患有“恶性肿瘤--重度”后，需要满足什么条件才能再次获得恶性肿瘤--重度关爱保险金？,被保险人需要在第二次确诊患有“恶性肿瘤--重度”之日起满1年后，经普通医生第三次确诊患有本合同所定义的“恶性肿瘤--重度”。,被保险人需要在第一次确诊患有“恶性肿瘤--重度”之日起满3年后，经专科医生第四次确诊患有本合同所定义的“恶性肿瘤--重度”。,被保险人需要在第二次确诊患有“恶性肿瘤--重度”之日起满5年后，经专科医生第三次确诊患有本合同所定义的“恶性肿瘤--重度”。,被保险人需要在第二次确诊患有“恶性肿瘤--重度”之日起满3年后，经专科医生第三次确诊患有本合同所定义的“恶性肿瘤--重度”。,D
28,"续90日以上，并且脑脊液检查显示脑膜炎双球菌阳性。
永久性神经损害是指由细菌性脑脊髓膜炎引起的耳聋、失明、动眼神经麻痹、瘫痪、脑积水、智力中度以上的损害，且上述症状持续90日以上仍无改善迹象。",请问永久性神经损害是指什么状况下才能被确认？,永久性神经损害是指由细菌性脑脊髓膜炎引起的耳聋、失明、动眼神经麻痹、瘫痪、脑积水、智力中度以上的损害，不需要上述症状持续90日以上才能被确认。,永久性神经损害是指由细菌性脑脊髓膜炎引起的耳聋、失明、动眼神经麻痹、瘫痪、脑积水、智力中度以上的损害，且上述症状持续90日以上仍无改善迹象。,永久性神经损害是指由细菌性脑脊髓膜炎引起的耳聋、失明、动眼神经麻痹、瘫痪、脑积水、智力中度以上的任何损害。,永久性神经损害是指由细菌性脑脊髓膜炎引起的耳聋、失明、动眼神经麻痹、瘫痪、脑积水、智力轻度以上的损害，且上述症状持续90日以上仍无改善迹象。,B
29,"6TNM分期指采用AJCC癌症分期手册标准。该标准由美国癌症联合委员会与国际抗癌联合会TNM委员会联合制定，是目前肿瘤医学分期的国际通用标准。T指原发肿瘤的大小、形态等；N指淋巴结的转移情况；M指有无其他脏器的转移情况。
甲状腺癌的TNM分期采用目前现行的AJCC第八版定义标准，我国国家卫生健康委员会2018年发布的《甲状腺癌诊疗规范
（2018年版）》也采用此定义标准，详见附表2。",甲状腺癌TNM分期标准由谁制定？,甲状腺癌TNM分期标准由国际医疗保险协会制定。,甲状腺癌TNM分期标准由世界卫生组织制定。,甲状腺癌TNM分期标准由美国癌症联合委员会与国际抗癌联合会TNM委员会联合制定。,甲状腺癌TNM分期标准由国家卫生健康委员会制定。,C
30,"7.2
合同效力恢复（复效）
本合同效力中止后2年内，您可以申请恢复合同效力（简称复效）。
经您与我们协商并达成协议，自您补交保险费及利息（按条款约定利率计算）、保
单贷款及利息（按条款约定利率计算）后次日零时起，本合同效力恢复。
45-40
自本合同效力中止之日起满2年您和我们未达成协议的，我们有权解除合同。我们
解除本合同的，向您退还本合同效力中止时的现金价值。",合同效力恢复需要补交的费用包括什么？,补交保险费、利息、保单贷款及利息,补交保险费、保单贷款及利息,补交保险费、利息、现金价值,补交保险费、利息,A
31,"3.6.25
中度类风湿性关节炎
根据美国风湿病学院的诊断标准，由我们认可的医院风湿科专科医生明确诊断并符
合下列所有理赔条件，但未达到“严重类风湿性关节炎”的给付标准：
（1）关节广泛受损，并经临床证实出现最少2个下列关节位置严重变形：手部、手
腕、肘部、膝部、髋部、踝部、颈椎或脚部；
（2）至少180天无法独立完成六项基本日常生活活动中的两项。",依据以上保险条款内容，什么情况下可以被认定为中度类风湿性关节炎？,只有当关节广泛受损，并经临床证实出现最少2个下列关节位置严重变形：手部、手腕、肘部、膝部、髋部、踝部、颈椎或脚部，并且至少180天无法独立完成六项基本日常生活活动中的两项时，可以被认定为中度类风湿性关节炎。,只要经临床证实关节有严重变形，就可以被认定为中度类风湿性关节炎。,只要关节广泛受损，就可以被认定为中度类风湿性关节炎。,只要无法独立完成六项基本日常生活活动中的两项，就可以被认定为中度类风湿性关节炎。,A
32,"37.肺功能衰竭指因慢性呼吸系统疾病导致呼吸功能衰竭，未达到本合同所指重度疾病“严重慢性呼吸衰竭”
的标准，且诊断必须满足以下所有条件：
（1）第一秒末用力呼吸量（FEV1）小于1升；
（2）残气容积占肺总量（TLC）的50%以上；
（3）PaO2<60mmHg。",以下哪个选项符合肺功能衰竭的诊断条件？,残气容积占肺总量TLC的50%以上，FEV1小于2升，PaO2小于80mmHg。,残气容积占肺总量TLC的50%以上，FEV1小于1升，PaO2小于60mmHg。,残气容积占肺总量TLC的30%以上，FEV1小于1升，PaO2小于60mmHg。,FEV1小于1升，PaO2小于70mmHg。,B
33,"1.2
合同成立与生效
您提出保险申请、我们同意承保，本合同成立。
本合同自我们同意承保、收取首期保险费并签发保险单后开始生效，具体的生
效日以保险单或其他保险凭证所载的日期为准，我们自生效日零时起承担本合
同约定的保险责任。",保险合同何时开始生效？,本合同自您申请保险并支付保险费后开始生效，具体的生效日期由保险公司确定。,本合同自我们同意承保、收取首期保险费并签发保险单后开始生效，具体的生效日以保险单或其他保险凭证所载的日期为准。,本合同自保险公司承保之时开始生效，并且生效日期与保险单上的日期无关。,本合同自保险单签发之后30天内开始生效，超过30天则作废。,B
34,"（19）阵发性睡眠性血红蛋白尿症
指一种由于体细胞XP22.1上PIG-A基因突变导致的获得性造血干细胞克隆性
疾病。须满足下列任一条件：
a.合并骨髓衰竭，并实施了免疫抑制剂治疗；
b.存在血管栓塞病史，并持续抗凝治疗。",阵发性睡眠性血红蛋白尿症属于哪种疾病范畴？,阵发性睡眠性血红蛋白尿症属于遗传性疾病。,阵发性睡眠性血红蛋白尿症属于获得性造血干细胞克隆性疾病。,阵发性睡眠性血红蛋白尿症属于感染性疾病。,阵发性睡眠性血红蛋白尿症属于器质性疾病。,B
35,"指双肾功能慢性不可逆性衰竭，依据肾脏病预后质量倡议（K/D0QI）
制定的指南，分期达到慢性肾脏病5期，且经诊断后已经进行了至少
90天的规律性透析治疗。规律性透析是指每周进行血液透析或每天进
行腹膜透析。",依据肾脏病预后质量倡议（K/D0QI）制定的指南，达到慢性肾脏病5期并经规律性透析治疗的时间要求是多久？,经诊断后至少进行了365天的规律性透析治疗。,经诊断后至少进行了30天的规律性透析治疗。,经诊断后至少进行了180天的规律性透析治疗。,经诊断后至少进行了90天的规律性透析治疗。,D
36,"8.2
城乡居民基本医疗保险
指根据《国务院关于整合城乡居民基本医疗保险制度的意见》（国发〔2016〕3
号），整合城镇居民基本医疗保险和新型农村合作医疗两项制度，建立的统一的城乡居民基本医疗保险制度。",城乡居民基本医疗保险是如何建立的?,城乡居民基本医疗保险是根据《国务院关于整合城乡居民基本医疗保险制度的意见》（国发〔2016〕3号）建立的。,城乡居民基本医疗保险是根据个人建立的。,城乡居民基本医疗保险是根据城镇居民基本医疗保险制度建立的。,城乡居民基本医疗保险是根据新型农村合作医疗制度建立的。,A
37,"（八十八）
●
肾上腺脑白质营养不良
指一种最常见过氧化物酶体病,主要累及肾上腺和脑白质，主要表现为进行性的
精神运动障碍
●
，视力及听力下降和（或）肾上腺皮质功能低下等。须经我们认可
医院的神经内科专科医生诊断，且已经造成自主生活能力完全丧失，无法独立完",肾上腺脑白质营养不良主要表现为什么症状？,呼吸困难和心血管疾病,增强免疫力和促进生长发育,肝脏功能低下及肾脏损伤,进行性的精神运动障碍、视力及听力下降和（或）肾上腺皮质功能低下等,D
38,"17.面部重建手术
指为修复意外伤害或暴力袭击造成的面部毁损，实际接受了在全身麻醉的情況
下，由整形外科医生实施的对严重缺陷、缺失、损害或变形的面部形态和结构
进行修复或重建的面部整形手术。
面部整形手术必须在意外伤害后的180天内实施。
因面部外伤后遗留的线条状瘢痕及色素沉着而施行的手术不在保障范围内。",面部整形手术可以在任何时间点进行吗？,面部整形手术必须在意外伤害后的180天内实施。,面部整形手术可以在意外伤害后的365天内实施。,面部整形手术必须在意外伤害后的90天内实施。,面部整形手术可以在任何时间点进行。,A
39,"9.7
轻度疾病
本合同所指轻度疾病，是被保险人发生符合以下定义所述条件的疾病、疾病状态或手术，共计43种，其中第1种至第3种为中国保险行业协会制定的《重大疾病保
险的疾病定义使用规范（2020年修订版）》中列明的疾病，其他为本公司增加的疾病。轻度疾病的名称及定义如下：",保险合同中所指的轻度疾病是指符合哪些条件的疾病、疾病状态或手术?,轻度疾病只限于《重大疾病保险的疾病定义使用规范（2020年修订版）》中列明的疾病。,轻度疾病是指任何形式的疾病、疾病状态或手术。,轻度疾病只包括一些常见的疾病，不包括罕见疾病或手术。,轻度疾病是指被保险人发生的已经明确诊断并符合《重大疾病保险的疾病定义使用规范（2020年修订版）》或者本公司增加的疾病定义的疾病、疾病状态或手术。,D
40,"8.中度脑炎后遗症或中度脑膜炎后遗症
指因患脑炎或脑膜炎导致神经系统永久性的中度功能障碍，但未达到本附加合
同所指重度疾病“严重脑炎后遗症或严重脑膜炎后遗症”的标准，即：疾病首
次确诊180天后，仍遗留下列功能障碍，其自主生活能力部分丧失，无法独立完
成六项基本日常生活活动（注3）中的二项。",什么是中度脑炎或中度脑膜炎的后遗症？,中度脑炎或中度脑膜炎的后遗症是指患者在治疗期间会有一些轻微的功能障碍，但不会对日常生活产生明显影响。,中度脑炎或中度脑膜炎的后遗症是指患者在治疗期间会有暂时性的功能障碍，但最终会完全康复。,中度脑炎或中度脑膜炎的后遗症是指患者在治疗期间会有一些中度的功能障碍，但会随着时间的推移逐渐恢复。,中度脑炎或中度脑膜炎的后遗症是指因患脑炎或脑膜炎导致神经系统永久性的中度功能障碍，但未达到严重脑炎后遗症或严重脑膜炎后遗症的标准。,D
